Venetian	Gascon	probability
f	h	1.0
ɰ	l	1.0
ɲ	ɲ	1.0
ʤ	-	1.0
a	s_#>	0.1
i	-	0.371
j	l	0.831
k	k	0.961
l	-	0.371
m	-	0.081
p	-	0.051
z	-	0.301
z	ʒ	0.431
a	-	0.102
e	w	0.052
i	i	0.252
r	r	0.262
r	ɾ	0.562
v	b	0.532
ɡ	ɡ	0.302
b	b	0.93
d	d	0.593
n	n	0.823
o	w	0.133
o	e	0.243
s	e_s	0.103
s	-	0.123
ɡ	ɣ	0.443
d	ð	0.374
j	-	0.084
n	ŋ	0.084
o	j	0.104
s	s	0.744
w	-	0.64
ʧ	-	0.064
ˈi	ˈi	0.784
ˈɔ	w_ˈe	0.064
e	j	0.115
e	e	0.375
j	i	0.085
o	u	0.175
ɡ	k	0.065
ˈa	ˈa	0.925
e	a	0.06
o	ɔ	0.076
r	-	0.086
v	-	0.056
w	w	0.36
ʧ	ʎ	0.936
ˈi	-	0.196
ˈɔ	ˈu	0.086
ˈɔ	w_ˈe_j	0.106
ˈɔ	ˈa_w	0.186
ˈɛ	ˈɛ	0.616
a	ɔ	0.607
i	e	0.377
v	β	0.387
ˈo	ˈy	0.17
ˈu	ˈy	0.967
a	a	0.108
e	-	0.398
z	z	0.208
ŋ	-	0.138
ˈo	ˈɔ	0.098
ˈo	ˈu	0.698
ˈɛ	ˈe	0.318
l	w	0.629
m	m	0.919
n	nː	0.059
o	-	0.269
p	p	0.949
r	a_r	0.09
t	t	0.959
ŋ	m	0.109
ŋ	ŋ	0.719
ɡ	-	0.19
ˈe	ˈe	0.969
ˈɔ	ˈɔ	0.559
