English	Westphalian	probability
b	b	0.932
b	-	0.068
d	d	0.753
d	t	0.157
f	f	0.85
f	v	0.1
h	h	0.927
h	k	0.073
j	j	0.533
j	x	0.23
j	ˈiɛ̯	0.128
j	ˈiː	0.108
k	k	0.894
k	-	0.106
kʰ	k	0.803
kʰ	-	0.197
l	l	1.0
m	m	1.0
n	n	1.0
p	p	0.898
p	b	0.102
pʰ	p	1.0
s	s	0.821
s	ʃ	0.179
t	t	0.792
t	x_t	0.103
t	ç	0.064
tʰ	t	0.932
tʰ	b	0.068
v	v	0.848
v	b	0.118
w	w	0.745
w	-	0.103
w	ˈiɛ̯	0.076
w	v	0.075
z	z	0.964
ð	d	0.526
ð	-	0.434
ŋ	ŋ	1.0
ə	ɐ	0.866
ə	-	0.104
əʊ̯	-	0.5
əʊ̯	ɐ	0.5
ɜː	ˈiɛ̯	1.0
ɡ	x	0.815
ɡ	-	0.185
ɪ	ɪ	0.793
ɪ	ˈɛ	0.129
ɪ	-	0.078
ɫ	l	0.954
ɹ	r	0.896
ɹ	-	0.104
ʃ	ʃ	1.0
ʤ	ɡ	0.608
ʤ	k	0.298
ʤ	ç	0.094
ʧ	k	1.0
ˈaɪ̯	ˈiː	0.36
ˈaɪ̯	ˈɪ	0.212
ˈaɪ̯	ˈyː	0.091
ˈaɪ̯	ˈɪə̯	0.081
ˈaɪ̯	ˈa	0.074
ˈaɪ̯	ˈɛ	0.074
ˈaʊ̯	ˈuː	0.595
ˈaʊ̯	ˈʊ	0.243
ˈaʊ̯	ˈaʊ̯	0.083
ˈaʊ̯	ˈuə̯	0.079
ˈe	ˈɛ	0.193
ˈe	ˈɪɛ̯	0.185
ˈe	ˈaɪ̯	0.13
ˈe	ˈɪ	0.107
ˈe	ˈaʊ̯	0.101
ˈeɪ̯	ˈa	0.296
ˈeɪ̯	ˈɛ	0.196
ˈeɪ̯	ˈaː	0.185
ˈeɪ̯	ˈaʊ̯	0.14
ˈeɪ̯	ˈɔː	0.093
ˈeɪ̯	ˈɪɛ̯	0.091
ˈiː	ˈaɪ̯	0.238
ˈiː	ˈøː	0.235
ˈiː	ˈaʊ̯	0.203
ˈiː	ˈɔː	0.104
ˈiː	ˈiː	0.066
ˈiː	ˈɪ	0.06
ˈuː	ˈoː	0.364
ˈuː	ˈɔː	0.139
ˈuː	ɐ	0.138
ˈuː	ˈa	0.113
ˈuː	ˈaɪ̯	0.077
ˈuː	-	0.07
ˈæ	ˈa	0.932
ˈæ	ˈɪɛ̯	0.057
ˈɐ	ˈʊ	0.513
ˈɐ	ˈuːə̯	0.082
ˈɐ	ˈeː	0.08
ˈɐ	ˈuː	0.07
ˈɐ	ˈuə̯	0.063
ˈɐ	ˈɔː	0.063
ˈɑː	ˈa	0.593
ˈɑː	ˈaː	0.209
ˈɑː	ˈɛː	0.147
ˈɑː	ˈɪɛ̯	0.051
ˈɒ	ˈa	0.388
ˈɒ	ˈɔ	0.312
ˈɒ	ˈuːə̯	0.179
ˈɒ	ˈeː	0.121
ˈɔː	ˈuːə̯	0.284
ˈɔː	ˈaː	0.262
ˈɔː	ˈœː	0.171
ˈɔː	ˈa	0.098
ˈɔː	ˈɔ	0.085
ˈɔː	ˈeː	0.05
ˈɔː	ˈøː	0.05
ˈəʊ̯	ˈeː	0.353
ˈəʊ̯	ˈɔ	0.146
ˈəʊ̯	ˈaɪ̯	0.075
ˈəʊ̯	ˈɔː	0.075
ˈəʊ̯	ˈoː	0.073
ˈəʊ̯	ˈɪɛ̯	0.073
ˈəʊ̯	ˈyːœ̯	0.069
ˈəʊ̯	ˈɪə̯	0.052
ˈəʊ̯	ˈɪ	0.05
ˈɛ	ˈɒː	0.439
ˈɛ	ˈø	0.215
ˈɛ	ˈɛː	0.215
ˈɛ	ˈɔː	0.131
ˈɜː	ˈuːə̯	0.596
ˈɜː	ˈɛː	0.169
ˈɜː	ˈɔː	0.148
ˈɜː	ˈɪɛ̯	0.087
ˈɪ	ˈɪ	0.506
ˈɪ	ˈiː	0.1
ˈɪ	ˈɛ	0.1
ˈɪ	ˈʏ	0.087
ˈɪ	ˈɔː	0.071
ˈʊ	ˈʊ	0.558
ˈʊ	ˈoː	0.306
ˈʊ	ˈuə̯	0.136
θ	d	0.759
θ	-	0.147
θ	t	0.094
