Western Lombard	Western Lombard	probability
ˈɑː_d	ˈɛ_d	1.0
ˈɑː_#>	ˈɛ_#>	1.0
ˈỹ	-	1.0
ˈy	ˈuː	1.0
ˈoː	ˈɔː	1.0
ˈo	ˈɔ	1.0
ˈĩ	ˈe_ŋ	1.0
ˈã	ˈa_ŋ	1.0
ˈa_s	ˈaː_s	1.0
ɲ	ɲ	1.0
ɛ	-	1.0
y	u	1.0
w	w	1.0
ũ	u_ŋ	1.0
t_a	t_a	1.0
t_#>	d_#>	1.0
t	t	1.0
r_a	r_a	1.0
r	r	1.0
p	p	1.0
o	e	1.0
n_a	ŋ	1.0
m	m	1.0
l	l	1.0
k_#>	ɡ_#>	1.0
k	k	1.0
ĩ	i	1.0
f_#>	v_#>	1.0
f	f	1.0
ẽ	v_e	1.0
e_r	a_r	1.0
e_m	m	1.0
b	b	1.0
ã	a_ŋ	1.0
a_l	a_l	1.0
a_#>	#>	1.0
a	a	1.0
<#_ˈa	<#_ˈaː	1.0
<#_u	<#_u	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_a	<#_a	1.0
v	v	0.926
d	d	0.926
n	n	0.9
ɡ	ɡ	0.889
j	j	0.857
#>	r_#>	0.8
s	s	0.74
ˈẽ	ˈæ_ŋ	0.714
ˈuː	ˈʌu̯	0.7
ˈe	-	0.667
s_#>	θ_#>	0.667
ˈɛ	ˈɛ	0.633
ʒ	ð	0.625
ˈøː	ˈɔː	0.615
z	z	0.6
i	i	0.6
e	e	0.591
ˈũ	ˈʌ_ŋ	0.571
ˈiː	ˈe	0.556
ˈɑː	ˈɛ	0.545
u	-	0.545
ˈœ	ˈɔ	0.5
ˈœ	-	0.5
ˈyː	ˈo	0.5
ˈu	-	0.5
ˈi	ˈiː_r	0.5
ʤ	ʤ	0.5
ʤ	-	0.5
u	u	0.455
ʧ	θ	0.45
ˈiː	ˈiː	0.444
ˈa	ˈɛ_r	0.44
ˈũ	ˈo_ŋ	0.429
ˈɔ	ˈɔ	0.421
e	-	0.409
z	-	0.4
i	-	0.4
ʒ	-	0.375
ˈɔ	ˈɔː	0.368
ˈɑː	ˈaː	0.364
ˈyː	ˈuː	0.357
ˈeː	ˈa	0.357
ʧ	ʧ	0.35
ˈe	ˈɛː	0.333
s_#>	#>	0.333
ˈuː	-	0.3
ˈu	ˈʌu̯	0.3
ˈi	ˈe	0.3
ˈẽ	ŋ	0.286
ˈeː	ˈa_j	0.286
ˈa	ˈɛ	0.28
ˈɛ	ˈa	0.267
ˈøː	ˈuː	0.231
ˈeː	ˈiː	0.214
ˈu	ˈʌ	0.2
ˈi	ˈiː	0.2
#>	j_r_#>	0.2
ˈa	ˈaː	0.16
s	z	0.16
ˈøː	-	0.154
ˈyː	ˈʌu̯	0.143
ˈeː	ˈɛː	0.143
j	-	0.143
ˈa	ˈa	0.12
ɡ	-	0.111
ˈɔ	ˈo	0.105
ˈɔ	-	0.105
ˈɛ	ˈɛː	0.1
ʧ	ð_e	0.1
ʧ	t	0.1
n	ŋ_n	0.1
ˈɑː	-	0.091
v	-	0.074
d	-	0.074
s	θ	0.06
