Eastphalian	Eastphalian	probability
ˈɛː	-	1.0
ˈɛɪ̯_#>	#>	1.0
ˈɛə̯	ˈɔ	1.0
ˈɔʏ̯	ˈi	1.0
ˈœ	-	1.0
ˈyː	ˈɑi̯_ɛ	1.0
ˈuː	ˈɑi̯	1.0
ˈaː	-	1.0
ˈaɪ̯	ˈa	1.0
ˈa_ɐ	ˈi̯ø	1.0
ˈa_l	ˈɔ_w	1.0
ɪ	ɪ	1.0
ɣ̊	ɡ̊	1.0
ɣ_ə	ɡ̊	1.0
ɣ	ɡ	1.0
ɡ	ɟ	1.0
ə_#>	#>	1.0
ɒː_n	ɑ	1.0
z̥	s	1.0
x	x	1.0
w	v	1.0
t_n	s_a	1.0
s_t	s_t	1.0
r	r	1.0
m	m	1.0
h	h	1.0
f_#>	b̥_#>	1.0
f	f	1.0
b_m	f_a	1.0
b	b	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
ʃ	ʃ	0.917
z	z	0.895
s	ʃ	0.833
ˈa	ˈɑ	0.824
v	v	0.808
ˈʊ	ˈu	0.8
ˈaʊ̯	ˈʏ	0.778
ˈiː	ˈai̯	0.75
l	w	0.75
ˈeː	-	0.714
ŋ	ŋ	0.714
ˈɪ	ˈɘ̟	0.65
d	t	0.636
ˈeo̯	ˈu	0.625
p	f	0.625
n	n	0.581
ɐ	ɛ_r	0.552
d̥	t	0.55
ˈøː	ˈɑi̯	0.5
ˈøː	-	0.5
k	k	0.48
ˈɛɪ̯	ˈi	0.474
d̥	d̥	0.45
ˈʏ	ˈɘ̟	0.444
ə	a	0.444
ˈoː	-	0.429
j	-	0.429
t	ʦ	0.417
ˈeo̯	ˈɑi̯	0.375
p	p	0.375
ˈɛ	ˈɘ̟	0.364
ˈɔ	ˈu	0.364
ˈɔ	-	0.364
d	d	0.364
ˈʏ	-	0.333
ˈɒː	ˈɔ	0.333
ˈɒː	ˈø	0.333
ˈɒː	-	0.333
ə	-	0.333
ç	ɡ̊	0.333
ç	x	0.333
ç	k	0.333
t	t	0.333
k	x	0.32
ˈɛɪ̯	ˈa	0.316
n	a	0.29
ˈoː	ˈu	0.286
ˈoː	j	0.286
ˈeː	ˈei̯	0.286
ŋ	ŋ_ɟ	0.286
j	ɡ	0.286
j	j	0.286
ɐ	r	0.276
ˈɛ	-	0.273
ˈɔ	ˈɑ	0.273
ˈiː	-	0.25
t	s	0.25
#>	ɡ̊_#>	0.25
#>	w_#>	0.25
#>	t_#>	0.25
#>	s_#>	0.25
ˈʏ	ˈɑi̯	0.222
ˈaʊ̯	-	0.222
ə	ɡ̊	0.222
ˈʊ	ˈʏ	0.2
ˈɛ	ˈɑ	0.182
ˈɛ	ˈa	0.182
ˈa	ˈɔ	0.176
ɐ	-	0.172
s	s	0.167
k	ç	0.16
l	l	0.139
v	-	0.115
ˈɛɪ̯	ˈɑ	0.105
ˈɛɪ̯	ˈai̯	0.105
z	-	0.105
ˈɪ	ˈɛ	0.1
ˈɪ	ˈei̯	0.1
ˈɪ	-	0.1
ʃ	ʧ	0.083
n	n_d	0.081
v	v_ˈɛ	0.077
l	u	0.056
l	-	0.056
