Aromanian	Aromanian	probability
ˈu_n	ˈɔ_n	1.0
ˈi_r	ˈi_ɾ	1.0
ʧ	k	1.0
ʎ_u	ɾ_u	1.0
ʎ_i	ɾ_a	1.0
ʎ_#>	ʣ_u_#>	1.0
ʎ	ʣ	1.0
ʃ_t	s_k	1.0
ɲ	m	1.0
ɨ	-	1.0
ə_t	a_t	1.0
ç	f	1.0
z_b	b	1.0
w_ə	β_ɛ	1.0
w	β	1.0
v	b	1.0
t_ˈa	ˈa	1.0
t_r	t_ɾ	1.0
s	s	1.0
r_n	r	1.0
r_b	ɾ_b	1.0
r_#>	l_u_#>	1.0
p_t	t	1.0
n_j	ɲ	1.0
n_e	n_ɛ	1.0
n_#>	n_u_#>	1.0
m_t	n_t	1.0
l_e̯ˈa	ɾ_ˈa	1.0
l_#>	ɖː_u_#>	1.0
k_ʎ	k_ɾ	1.0
k_ə	k_ɛ	1.0
k_e̯ˈa	p_ˈɛ	1.0
k_#>	k_u_#>	1.0
j_i	b_i	1.0
j	j	1.0
i_r	ɛ_ɾ	1.0
e̯ˈa_r	ɛ_ɾ	1.0
e	a	1.0
b	b	1.0
a_r	r	1.0
a	a	1.0
<#_ˈu	<#_ˈu	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_l	1.0
<#_u	<#_o	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_b	1.0
k	k	0.943
m	m	0.926
t	t	0.864
p	p	0.846
ˈa	ˈa	0.844
ˈɨ	ˈa	0.818
f	f	0.818
ə	a	0.814
l	ɾ	0.8
o̯ˈa	ˈɔ	0.733
ˈu	ˈu	0.731
r	ɾ	0.724
ʦ_i	k_ɛ	0.714
ʦ	k	0.692
i	ɛ	0.681
n	n	0.679
<#_ˈo	<#_ˈo	0.667
ˈi	ˈi	0.654
u	u	0.625
ʤ	ʣ	0.6
d	d	0.6
<#_a	<#_a	0.571
ˈo	ˈo	0.562
<#	<#_i	0.538
ˈe	ˈe	0.5
ʣ	ɡ	0.5
ʣ	-	0.5
ɡ	ɡ	0.5
ɡ	-	0.5
#>	u_#>	0.481
e̯ˈa	ˈi	0.471
ʃ	s	0.429
<#_a	<#	0.429
ʤ	-	0.4
d	ð	0.4
<#_ˈo	<#_ˈɔ	0.333
ˈo	ˈɔ	0.312
ʦ	t	0.308
<#	<#_b	0.308
e̯ˈa	ˈɛ	0.294
ʦ_i	ɛ	0.286
ʃ	s_i	0.286
ʃ	-	0.286
ˈe	ˈɛ	0.25
ˈe	ˈi	0.25
n	nː	0.25
e̯ˈa	ˈe	0.235
ˈi	ˈɛ	0.231
#>	ɛ_#>	0.222
l	-	0.2
ˈɨ	-	0.182
f	-	0.182
ˈa	ˈɛ	0.156
u	ɔ	0.156
p	-	0.154
<#	<#_a	0.154
#>	z_ɔ̆_#>	0.148
#>	a_#>	0.148
t	-	0.136
o̯ˈa	ˈu	0.133
o̯ˈa	-	0.133
ˈo	-	0.125
ˈu	-	0.115
ˈi	ˈe	0.115
i	i	0.111
r	-	0.103
u	o	0.094
ə	u	0.093
ˈu	ˈɔ	0.077
ˈu	ˈo	0.077
m	-	0.074
n	-	0.071
r	l	0.069
u	ˈɔ	0.062
u	-	0.062
k	p	0.057
i	u	0.056
i	e	0.056
r	ɛ_ɾ	0.052
r	r	0.052
