Bavarian	Bavarian	probability
β	v	1.0
ˈuɐ̯	ˈʏ	1.0
ˈu_ɡ̊	ˈɘ̟_k	1.0
ˈoɐ̯_#>	#>	1.0
ˈou̯	ˈu	1.0
ˈi_ɐ	ˈi_r	1.0
ˈeɐ̯	ˈi	1.0
ˈe_ɐ	ˈɑ	1.0
ˈau̯	ˈɑi̯	1.0
ʦ	ʦ	1.0
ʋ	v	1.0
ɡ̊_#>	ɡ̊_#>	1.0
ə	-	1.0
ɑ	-	1.0
ç	ç	1.0
x	x	1.0
s_ˈo	z_ˈɑ	1.0
s_n	s_a	1.0
r	r	1.0
n_a	n_a	1.0
n_#>	#>	1.0
m_#>	n_#>	1.0
l	w	1.0
kʰ	k	1.0
i	-	1.0
h	h	1.0
f_a	f_a	1.0
f	f	1.0
eɐ̯	ɑ	1.0
d̥_n	d_a	1.0
a_#>	#>	1.0
<#_r	<#_r	1.0
ʃ	ʃ	0.955
m	m	0.913
ˈi	ˈɘ̟	0.905
ˈiɐ̯	ˈi	0.9
n	n	0.861
ˈu	ˈu	0.818
ˈoɐ̯	ˈa	0.778
b̥	b	0.762
ˈa	-	0.714
a	ɛ_r	0.655
d̥	t	0.636
ˈɑ	ˈɑ	0.625
s	s	0.611
ˈɑː	ˈɔ	0.6
ˈoː	ˈø	0.6
ˈai̯	ˈai̯	0.579
ɡ̊	ɡ	0.579
j	w	0.579
ˈaː	ˈɑi̯	0.5
ˈaː	-	0.5
ɐ	r	0.5
ŋ	ŋ	0.5
#>	a_#>	0.5
ˈeː	ˈɑ	0.455
ˈɑː	ˈɑ	0.4
ˈoː	-	0.4
s	z	0.389
ˈɑ	-	0.375
ˈo	ˈu	0.375
ɡ̊	k	0.368
ˈe	ˈɛ	0.357
ˈe	ˈɑ	0.357
ˈɒː	ˈɑ	0.333
ŋ	n	0.312
ˈa	ˈɔ	0.286
#>	n_#>	0.278
ˈai̯	ˈɑi̯	0.263
ˈɒː	ˈɔ	0.25
ˈɒː	-	0.25
ˈo	-	0.25
ɐ	ˈʏ_r	0.25
ɐ	-	0.25
a	a	0.241
ˈoɐ̯	-	0.222
j	l	0.211
d̥	d	0.197
ˈo	ˈɔ	0.188
ˈo	ˈɑ	0.188
ŋ	ɟ	0.188
ˈu	ˈʏ	0.182
ˈeː	ˈi	0.182
ˈeː	ˈei̯_n	0.182
ˈeː	-	0.182
ˈɒː	ˈø	0.167
d̥	d̥	0.167
ˈai̯	-	0.158
ˈe	ˈɘ̟	0.143
ˈe	ˈa	0.143
b̥	-	0.143
n	a	0.139
#>	ɡ̊_#>	0.111
#>	x_#>	0.111
j	j	0.105
j	-	0.105
a	ə	0.103
ˈiɐ̯	ˈɪ	0.1
ˈi	ˈei̯	0.095
b̥	p	0.095
m	-	0.087
ɡ̊	c	0.053
