Romansch	Romansch	probability
ˈuː	ˈo	1.0
ˈo_ʨ	ˈɔ_t	1.0
ˈaː	ˈa	1.0
ˈa_l	ˈa_l	1.0
ˈa_j	ˈe	1.0
ʧ	θ	1.0
ʦ	-	1.0
ʥ	-	1.0
ʃ_ə	s_e	1.0
ɲ	ɲ	1.0
ɡ_l	ʤ	1.0
ə_r	e_r	1.0
z	-	1.0
w_r	r_o	1.0
w_n	ŋ	1.0
w_#>	o_#>	1.0
u	o	1.0
t_ˈaː	t_ˈa	1.0
t_#>	#>	1.0
t	t	1.0
r_ə	r_a	1.0
r_n	r_n	1.0
p	p	1.0
o	o	1.0
k_o	k_o	1.0
k_l	ʧ	1.0
k	k	1.0
j_ˈɛ	ˈo_ɡ	1.0
i	-	1.0
f	f	1.0
e	-	1.0
b	b	1.0
<#_ə	<#_a	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#	<#_ð	1.0
#>	o_#>	1.0
v	v	0.923
d	d	0.92
r	r	0.914
m	m	0.909
ʨ	k	0.833
l	l	0.818
ˈu	ˈo	0.789
ˈiː	ˈi	0.786
ə	a	0.785
ˈe	ˈe	0.778
ɡ	ɡ	0.778
ˈa	ˈa	0.774
s	s	0.72
ˈi	ˈi	0.667
ʃ	s	0.647
ŋ	ŋ	0.6
w	-	0.571
ˈɛː	ˈɛ	0.545
ˈɛ	ˈɛ	0.526
ˈɔː	ˈɔ	0.5
ˈɔː	-	0.5
ˈɔ	ˈɔ	0.5
ˈɔ	ˈa	0.5
ˈiə̯	ˈɛ	0.5
ˈiə̯	j_ˈe	0.5
ˈeː	ˈe	0.5
ˈeː	-	0.5
ʎ	ʧ_o	0.5
ʎ	j	0.5
n	ŋ	0.5
ˈɛː	ˈɛ_l	0.455
n	n	0.45
w	w	0.429
j	-	0.429
ŋ	ŋ_ɡ	0.4
ˈi	ˈu	0.333
ˈɛ	ˈe	0.316
j	j	0.286
j	d_e	0.286
ʃ	z	0.235
ˈe	-	0.222
ɡ	-	0.222
ˈiː	ˈu	0.214
ˈu	ˈu	0.211
s	-	0.2
ʨ	t	0.167
ˈɛ	-	0.158
ˈa	ˈɔ	0.129
ʃ	ð	0.118
ˈa	ˈe	0.097
ə	e	0.092
m	-	0.091
l	j	0.091
l	-	0.091
s	i	0.08
d	-	0.08
v	-	0.077
ə	o	0.062
r	e_r	0.052
