Alsatian	Bokmål Norwegian	probability
#>	#>	0.813
#>	ə_#>	0.135
<#	<#	1.0
<#_j	<#	1.0
<#_ʋ	<#	1.0
b̥	b	0.863
b̥	-	0.13
d̥	d	0.474
d̥	-	0.265
d̥	tʰ	0.245
e	m	0.232
f	f	0.666
f	p	0.225
f	ʋ	0.104
f_#>	#>	1.0
h	h	0.927
h	-	0.07
i	ə	0.506
i	-	0.262
i	i	0.119
i	ɪ	0.057
j	ˈæɪ̯	0.53
j	ɡ	0.461
k	ɡː	0.519
k	-	0.187
k	k	0.125
k	kː	0.119
kʰ	kʰ	0.811
kʰ	-	0.097
kʰ	ç	0.067
l	l	0.785
l	lː	0.168
m	m	0.77
m	mː	0.1
m	-	0.066
m	n	0.056
n	n	0.563
n	nː	0.238
n	-	0.137
n_#>	#>	1.0
n_d̥	nː	1.0
p͡f	p	0.574
p͡f	d	0.277
s	s	0.559
s	t	0.268
s	ʂ	0.06
s	sː	0.06
t	-	0.324
t	d	0.324
t	t	0.228
t	tʰ	0.061
t	tː	0.051
t_#>	#>	1.0
v	-	0.715
v	ʋ	0.193
w	ʋ	0.723
w	ˈœ	0.2
x	tː	0.742
x	j	0.102
x	-	0.061
ŋ	ŋː	0.901
ŋ	-	0.088
ə	ə	0.73
ə	-	0.228
ə_#>	#>	1.0
ɡ̊	ɡ	0.595
ɡ̊	j	0.165
ɡ̊	kʰ	0.125
ɡ̊	-	0.092
ʁ	ɾ	0.919
ʁ	-	0.07
ʁ_#>	#>	1.0
ʁ_n	ɳ	1.0
ʃ	s	0.714
ʃ	k	0.128
ʃ	ʃ	0.054
ʃ_#>	#>	1.0
ʋ	ʋ	0.759
ʋ	j	0.101
ʋ	ˈʉː	0.074
ʋ	-	0.059
ʦ	tʰ	0.478
ʦ	ʈ	0.098
ʦ	-	0.094
ʦ	t	0.094
ʦ	ç	0.094
ʦ	tː	0.065
ˈai̯	ˈœ	0.232
ˈaː	ˈiː	0.318
ˈaː	ˈæɪ̯	0.153
ˈe	ˈɛ	0.299
ˈe	ˈæː	0.193
ˈe	ˈeː	0.146
ˈe	ˈʉ	0.146
ˈe	-	0.097
ˈe	ˈɪ	0.071
ˈei̯	ˈeː	0.85
ˈei̯	ˈyː	0.072
ˈeː	ˈøː	0.451
ˈeː	ˈiː	0.326
ˈeː	ˈɛ	0.187
ˈi	ˈɪ	0.361
ˈi	ˈɛ	0.173
ˈi	ˈiː	0.15
ˈi	ˈœ	0.118
ˈi	ˈʏ	0.076
ˈi	ˈʊ	0.056
ˈi	ˈʉː	0.05
ˈiː	ˈyː	0.407
ˈiː	ˈiː	0.379
ˈiː	ˈœ	0.067
ˈiː	ˈɪ	0.055
ˈiː	ˈøː	0.052
ˈiː_t	ˈiː	1.0
ˈo	ˈuː	0.498
ˈo	ˈʉ	0.396
ˈo	ˈʉː	0.094
ˈoː	ˈoː	0.382
ˈoː	ˈøː	0.382
ˈoː	ˈœ	0.111
ˈoː	ˈɑ	0.111
ˈu	ˈʊ	0.334
ˈu	ˈʏ	0.315
ˈu	ˈʉ	0.126
ˈu	-	0.114
ˈu	ˈɔ	0.062
ˈyː	ˈʉː	0.922
ˈyː	ˈʉ	0.057
ˈæ	ˈeː	0.389
ˈæ	ˈæ	0.163
ˈæ	-	0.154
ˈæ	ˈiː	0.154
ˈæː	ˈeː	0.45
ˈæː	ˈʉː	0.13
ˈæː	-	0.072
ˈæː	ˈøː	0.072
ˈø	ˈʉː	0.482
ˈøi̯	ˈʉː	0.482
ˈøː	ˈuː	1.0
ˈœ	ˈøː	1.0
ˈɒ	ˈɑ	0.599
ˈɒ	ˈɑː	0.188
ˈɒ	ˈɛ	0.056
ˈɒ_s	ˈɑ	1.0
ˈɒː	ˈɑ	0.322
ˈɒː	ˈɑː	0.244
ˈɒː	ˈeː	0.129
ˈɒː	ˈoː	0.129
ˈɒː	ˈɛ	0.129
ˈəi̯	ˈɛ	0.448
ˈəi̯	ˈæɪ̯	0.331
ˈəi̯	ˈuː	0.08
ˈəi̯	ˈeː	0.078
ˈɛ	j	0.574
ˈɛ	ˈɛ	0.277
ˈʊː	ˈuː	0.62
ˈʊː	ˈʉː	0.12
ˈʊː	ˈøː	0.087
ˈʊː	ˈœʏ̯	0.085
ˈʊː	ˈœ	0.062
