Romanian	Galician	probability
f	f	1.0
kʲ	-	1.0
v	b	1.0
w	β	1.0
ŋ	-	1.0
ʃ	s	1.0
ʒ	ʃ	1.0
ʦ	θ	1.0
ʧʲ	ŋ	1.0
ˈə	ˈe	1.0
m	-	0.291
r	ɾ	0.491
ə	a	0.071
ɡ	-	0.421
ˈu	ˈu	0.461
ˈɨ	ˈɑ	0.301
d	d	0.652
e	ʊ	0.092
i	e	0.632
j	-	0.542
n	ɲ	0.112
r	r	0.072
u	o	0.522
z	d	0.702
ʤ	-	0.642
ˈi	ˈi	0.512
a	ɐ	0.143
e	ɪ	0.393
e̯ˈa	ˈɛ	0.3
r	-	0.253
t	ð_ʊ	0.063
t	-	0.153
ˈi	ˈe	0.393
j	ʎ	0.414
l	-	0.274
o̯ˈa	ˈɔ	0.484
p	β	0.054
s	s	0.754
u	ʊ	0.304
ʧ	θ	0.64
ˈa	ˈe	0.054
ˈe	ˈɛ	0.104
b	b	0.565
k	-	0.175
n	-	0.325
r	l	0.165
u	-	0.175
ə	ɐ	0.655
ˈi	-	0.095
ˈo	ˈɔ	0.405
l	l	0.726
o̯ˈa	ˈo	0.516
p	-	0.06
s	s_ʊ	0.086
t	ð	0.176
ʧ	-	0.36
ˈe	-	0.096
a	a	0.857
b	-	0.107
e̯ˈa	ˈe	0.7
k	ɣ_ʊ	0.137
p	p	0.727
ə	ʊ	0.07
ə	-	0.157
b	β	0.328
d	-	0.348
i	-	0.178
p	j	0.158
z	-	0.298
ʤ	ʃ	0.358
ˈa	a	0.078
ˈa	ˈa	0.868
ˈe	ˈe	0.8
ˈo	ˈu	0.058
ˈo	ˈo	0.538
ˈu	ˈɔ	0.08
e	-	0.079
e	ɐ	0.349
i	i	0.19
k	ɣ	0.159
k	k	0.529
m	m	0.709
n	n	0.459
s	-	0.159
t	t_ʊ	0.119
t	t	0.469
ɡ	ɡ	0.579
ˈu	ˈo	0.459
ˈɨ	ˈa	0.699
