French	French	probability
ʃ	ʧ	1.0
ʁ_#>	#>	1.0
ɲ	ɲ	1.0
ɡ_ɥ	ɡʲ	1.0
ɛ_#>	ˈa_s_#>	1.0
œ_ʁ	ˈu	1.0
v_ʁ	b_ʀ	1.0
t_#>	t_ɔ_#>	1.0
s_#>	s_ɔ_#>	1.0
p	p	1.0
k	k	1.0
j_ɛ	ˈa	1.0
i_ʁ	ˈi	1.0
i_#>	j_#>	1.0
f_#>	w_#>	1.0
e	ˈa	1.0
a_#>	#>	1.0
<#_ʁ	<#_ʀ	1.0
<#_e	<#_ɪ	1.0
n	n	0.931
l	l	0.921
s	s	0.917
f	f	0.9
ʁ	ʀ	0.89
ʒ	ʤ	0.889
m	m	0.885
d	d	0.882
b	b	0.882
e_#>	ˈa_#>	0.762
<#_l	<#_l	0.75
ɡ	ɡ	0.727
ɥ	ˈœ	0.714
t	t	0.692
ə	ə	0.667
y	ˈy	0.667
v	v	0.667
u	ˈu	0.652
i	ˈi	0.609
ɔ	w_ˈɔ	0.588
w	ˈɪ	0.571
j	ʎ	0.522
#>	ɔ_#>	0.496
a	ˈa	0.485
œ	ˈɔ	0.444
ɔ̃	ˈɔ̃	0.429
o	ˈa_w	0.412
ɑ̃	ˈã_ŋ	0.389
ɛ̃	ˈã	0.333
ə	ɒ	0.333
ɑ̃	ˈẽ_ŋ	0.333
œ	-	0.333
ø	ˈɔ_k	0.333
ø	ʎ	0.333
ø	k	0.333
z	ʒ	0.333
z	z	0.333
z	-	0.333
y	-	0.333
ɔ	u	0.294
o	ˈe_l	0.294
ɥ	-	0.286
ɔ̃	ˈũ_ŋ	0.286
ɡ	-	0.273
ɛ	ˈe	0.273
j	-	0.261
ɛ	ˈa	0.25
v	vʲ	0.25
<#_l	<#_ʎ	0.25
#>	ə_#>	0.244
a	ɒ	0.242
e_#>	#>	0.238
w_a	ə	0.231
t	ʧ	0.231
œ	j_ˈɔ	0.222
u	u	0.217
j	ˈe	0.217
ɔ̃	ˈũ	0.214
w	ˈe	0.214
w	w_ˈẽ	0.214
ɛ̃	ˈĩ	0.19
ɛ	ˈɪ	0.182
ɛ	ˈe_j	0.182
o	w_ˈɔ	0.176
ɑ̃	ã	0.167
w_a	ˈɪ	0.154
w_a	ˈu_s	0.154
w_a	ˈa_w	0.154
w_a	ˈa	0.154
w_a	i	0.154
a	j	0.152
ɛ̃	ˈĩ_ŋ	0.143
ɛ̃	ɲ	0.143
ɛ̃	ŋ	0.143
u	w	0.13
i	j	0.13
ɔ	w	0.118
o	ˈɛ	0.118
d	-	0.118
b	b_w	0.118
#>	ŋ_#>	0.118
m	mʲ	0.115
ɛ	ɒ	0.114
ʒ	ʧ	0.111
ɑ̃	ˈɪ̃_ŋ	0.111
f	fʲ	0.1
i	ˈɪ	0.087
i	ɔ	0.087
i	i	0.087
v	ʀ	0.083
s	ʃ	0.083
t	-	0.077
ɔ̃	ũ	0.071
n	n_w	0.069
a	ə	0.061
a	a	0.061
ʁ	ə	0.055
l	ʎ	0.053
