Mainland North Frisian	West Frisian	probability
ˈɔ	ˈoə̯	1.0
ˈœi̯	ˈuə̯	1.0
ˈu	-	1.0
ˈiː_tʲ	t	1.0
ˈaː	-	1.0
ˈa_ʀ	ˈɛː	1.0
ʃ	s_k	1.0
ʀ_n	n	1.0
ɣ̥	ɣ̥	1.0
ɛi̯	j_ɪ	1.0
ə_ʀ	r	1.0
ə_n	ə	1.0
ə_l	ə_l	1.0
ə	ə	1.0
ç	ɣ̥	1.0
z̥	-	1.0
x	χ	1.0
w	ɣ	1.0
v_ˈʊ	v	1.0
tʲ	t	1.0
p	p	1.0
nʲ	n	1.0
m	m	1.0
l_ə	l	1.0
l	l	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
b	b	1.0
n	n	0.965
s	s	0.944
k	k	0.933
t	t	0.918
ʀ	r	0.868
ɡ	ɡ	0.846
ŋ	ŋ	0.799
ˈɛː	-	0.75
d̥	d̥	0.733
ˈuː	ˈɪə̯	0.703
d	d	0.693
ˈœː	-	0.673
lʲ	l	0.594
v	ʋ	0.564
ˈyː	ˈɪə̯	0.556
ˈai̯	ˈɪ	0.555
dʲ	d̥	0.553
ˈɒ	-	0.551
ˈɛi̯	ˈiə̯	0.542
z	z	0.515
ˈiː	ˈiə̯	0.496
ˈɔu̯	ˈoə̯	0.487
z	t	0.485
ˈʏ	ˈuː	0.47
ˈi	ˈi	0.461
j	-	0.459
ˈa	ˈɪ	0.454
ˈɛ	-	0.449
ˈɒ	ˈa	0.449
dʲ	d	0.447
ˈai̯	-	0.445
ˈyː	ˈaː	0.444
ˈeː	-	0.414
lʲ	d̥	0.406
j	j	0.381
ˈʊ	ˈɔ	0.373
v	v	0.359
ˈeː	ˈɪ	0.35
ˈi	ˈiː	0.336
ˈɒː	ˈaː	0.335
ˈœː	ˈuː	0.327
ˈɔː	-	0.306
ˈɔː	ˈa	0.301
ˈɔu̯	ˈɔu̯	0.3
ˈuː	-	0.297
ˈœ	ˈuə̯	0.291
ˈœ	-	0.284
ˈa	-	0.282
ˈɛ	ˈi	0.279
ˈœ	ˈɔː	0.276
ˈɛi̯	ˈɛi̯	0.275
d̥	d_ə	0.267
ˈɛː	ˈɛ	0.25
ˈɒː	-	0.248
ˈʊ	ˈu	0.23
ˈʊ	-	0.229
ˈɔu̯	ˈuə̯	0.213
ˈʏ	-	0.206
ˈiː	ˈɪə̯	0.206
ˈɔː	ˈɔ	0.205
ˈʏ	ˈoː	0.201
ŋ	-	0.201
ˈɔː	ˈoə̯	0.187
ˈɛ	ˈiə̯	0.186
ˈɛi̯	ˈiː	0.183
ˈa	ˈa	0.182
ˈɒː	ˈɛː	0.168
ˈɒː	ˈa	0.168
j	ɣ_j	0.16
ɡ	ɡ_ˈɪə̯	0.154
d	-	0.153
ˈœ	j	0.149
ˈʏ	ˈøə̯	0.123
ˈi	ˈeː	0.123
ˈiː	ˈeː	0.12
ˈiː	j	0.12
ˈeː	ˈɛː	0.118
ˈeː	ˈa	0.118
ˈʊ	ˈa	0.114
ʀ	-	0.096
ˈɛ	ˈu̯o	0.087
d	t	0.083
ˈa	ˈɛ	0.082
ˈɒː	ˈai̯	0.081
ˈi	ˈɪ	0.081
v	-	0.077
d	z	0.071
k	k_j	0.067
ˈiː	ˈiː	0.058
s	-	0.056
ˈʊ	j_ˈɔ	0.054
