Swabian	Swabian	probability
ˈʌ	ɾ	1.0
ˈɪ	ˈɪ	1.0
ˈɛː_b	ˈeː_v	1.0
ˈɛː	ˈɒː	1.0
ˈɔː	ˈɒː	1.0
ˈɔə̯	ˈuə̯	1.0
ˈuː	ˈuə̯	1.0
ˈuə̯	ˈuə̯	1.0
ˈiː	ˈiə̯	1.0
ˈeə̯	-	1.0
ˈae̯_l	l	1.0
ˈae̯	-	1.0
ˈa_l	ˈu	1.0
ʦ	t	1.0
ʣ	t_ə	1.0
ʋ	ʋ	1.0
ʃ_d	s_t	1.0
ɪ_ɡ	ç	1.0
ɡ_s	s	1.0
ɡ_a	k_n	1.0
ŋ	ŋ	1.0
ç	k	1.0
x_#>	k_ə_#>	1.0
t	d̥	1.0
p͡f	-	1.0
n	n	1.0
m	m	1.0
kʰ	k	1.0
j	j	1.0
i	ɪ	1.0
h_ˈao̯	ˈoː	1.0
eə̯	iə̯	1.0
e	ə	1.0
d_#>	#>	1.0
b̥͡f	p	1.0
b_#>	v̥_#>	1.0
<#_ˈa	<#_ˈɒː	1.0
<#_ʁ	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_h	<#	1.0
ʁ	ɾ	0.905
b	b	0.882
a	n	0.867
ʕ	ɾ	0.812
ˈoː	ˈoː	0.8
f	v	0.781
ɡ	ɦ	0.759
ʌ	ɾ	0.75
l	l	0.727
ˈa	ˈɑ	0.714
x	h	0.714
ˈiə̯	ˈiə̯	0.667
ˈi	-	0.667
ˈao̯	ˈyː	0.615
ˈɔ	ˈoː	0.571
ˈe	ˈɪ	0.571
d	d	0.508
ʃ	s	0.476
ˈɛ	ˈæ	0.471
ˈəi̯	ˈi	0.462
ˈɔ	ˈɔ	0.429
ˈeː	ˈoː	0.429
ˈe	-	0.429
s	z	0.425
#>	ɦ̥_#>	0.421
ˈɔe̯	ˈɛː	0.4
ˈɔe̯	ˈeː	0.4
ˈəi̯	-	0.385
ˈu	ˈɔ	0.375
ˈu	ˈœ	0.375
ˈɛ	-	0.353
d	d̥	0.339
ˈo	ˈu	0.333
ˈiə̯	ˈuə̯	0.333
ˈi	ˈɛ	0.333
ˈaː	ˈɒː	0.333
ˈaː	ˈɑ_n	0.333
ˈaː	ˈɑ	0.333
ʃ	ʃ_h	0.333
s	t	0.325
ˈeː	ˈiə̯	0.286
ˈeː	-	0.286
x	k	0.286
ˈu	-	0.25
ʌ	ə_ɾ	0.25
ɡ	-	0.241
ˈao̯	ˈoː	0.231
f	p	0.219
l	w	0.212
#>	n_ə_#>	0.211
ˈɔe̯	ˈɛː_n	0.2
ˈoː	ˈøː	0.2
ˈo	ˈɔ	0.2
ˈo	ˈœ	0.2
ˈa	ˈɒː	0.19
ʃ	z	0.19
ʕ	ɾ_ə	0.188
ˈɛ	ˈeː	0.176
s	z̥	0.175
#>	k_#>	0.158
ˈəi̯	ˈyː	0.154
ˈao̯	-	0.154
ˈo	ˈoː	0.133
ˈo	-	0.133
d	t	0.119
b	v̥	0.118
#>	ʋ_ə_#>	0.105
#>	d̥_#>	0.105
ˈa	-	0.095
ʁ	-	0.095
s	s	0.075
a	ə_n	0.067
a	-	0.067
l	ˈɔ_w	0.061
