Neapolitan	Aromanian	probability
a	-	0.294
a	a	0.271
a	ə	0.196
a	i	0.08
a	u	0.08
a	ˈa	0.08
b	b	1.0
d	d	0.793
d	ʣ	0.197
e	i	0.839
e	u	0.138
f	f	0.482
f	ç	0.472
i	i	0.688
i	ˈi	0.197
i	-	0.095
j	-	0.368
j	j	0.215
j	l	0.141
j	ʎ	0.122
j	w	0.077
j_ˈɛ	ˈe	0.826
j_ˈɛ	e̯ˈa	0.148
k	k	0.74
k	-	0.141
k	p	0.086
k_j	ʎ	1.0
l	l	0.408
l	-	0.327
l	r	0.227
l_ə	r	0.786
l_ə	i	0.172
m	m	0.811
m	-	0.128
m	p	0.052
m_j	ɲ	1.0
m_ə	i	0.339
m_ə	ə	0.339
n	n	0.828
n	-	0.113
n	m	0.057
n_w	n	0.513
n_ʤ	ɲ	1.0
o	u	0.644
o	r	0.251
p	p	0.762
p	k	0.146
p_w	p	0.513
r	r	0.552
r	-	0.26
r	a	0.166
s	s	0.648
s	-	0.203
s	ʃ	0.121
t	t	0.786
t	p	0.1
t	-	0.053
u	u	0.608
u	-	0.385
v	b	0.334
v	-	0.282
v	v	0.15
v	j	0.128
v	w	0.078
v_j	v	0.513
v_ə	w	1.0
w	-	0.646
w	l	0.334
w_ə	ə	1.0
w_ˈɔ	ˈo	0.634
w_ˈɔ	ˈu	0.364
ŋ	n	0.413
ŋ	ŋ	0.219
ŋ	b	0.148
ŋ	m	0.148
ə	-	0.292
ə	i	0.272
ə	ə	0.262
ə	u	0.138
ɡ	ɡ	0.384
ɡ	b	0.172
ɡ	k	0.172
ɡ	ʤ	0.162
ɲ	n	0.289
ɲ	ɲ	0.153
ɲ	ŋ	0.116
ɲ	ɡ	0.116
ɲ	ʣ	0.108
ɲ	m	0.088
ɲ	j	0.082
ɾ	r	0.806
ɾ	-	0.099
ɾ	d	0.085
ʃ	ʦ	0.384
ʃ	s	0.203
ʃ	t	0.124
ʃ	ʃ	0.124
ʃ	f_l	0.089
ʎ	-	0.435
ʎ	ʎ	0.435
ʎ	ʣ	0.053
ʎ	ˈɨ	0.053
ʤ	ʤ	0.456
ʤ	ʣ	0.357
ʤ	-	0.124
ʤ_ə	i	0.513
ʦ	-	0.425
ʦ	ʣ	0.28
ʦ	ʦ	0.115
ʦ	t	0.087
ʧ	k	0.472
ʧ	-	0.322
ʧ	ʦ	0.144
ˈa	ˈa	0.629
ˈa	ˈɨ	0.235
ˈa	e̯ˈa	0.062
ˈe	e̯ˈa	0.525
ˈe	ˈi	0.261
ˈe	ˈe	0.187
ˈe_s	e̯ˈa	0.513
ˈi	ˈi	0.406
ˈi	ˈe	0.226
ˈi	e̯ˈa	0.224
ˈo	ˈu	0.475
ˈo	o̯ˈa	0.367
ˈo	ˈo	0.123
ˈo_m	ˈu	1.0
ˈu	ˈu	0.666
ˈu	ˈo	0.14
ˈu	o̯ˈa	0.122
ˈɔ	o̯ˈa	0.369
ˈɔ	ˈo	0.314
ˈɔ	ˈa_v	0.187
ˈɔ	ˈa	0.087
ˈɛ	ˈa	0.278
ˈɛ	ˈe	0.231
ˈɛ	ˈi	0.194
ˈɛ	e̯ˈa	0.19
ˈɛ	ˈu	0.055
ˈɛ	ˈɨ	0.053
