Ripuarian	Scots	probability
b	b	1.0
d	d	0.485
d	θ	0.354
d	ð	0.148
d̥	d	0.492
d̥	θ	0.312
d̥	r_d	0.117
d̥	-	0.079
e	i	1.0
f	f	0.802
f	p	0.084
h	h	1.0
j	ɡ	0.468
j	j	0.335
j	-	0.197
k	k	0.35
k	kʰ	0.32
k	ɡ	0.094
k	ʧ	0.07
k	d	0.062
k	-	0.052
l	l	0.952
m	m	0.922
m	-	0.078
n	n	0.849
n	-	0.087
n	r_n	0.065
p	p	0.533
p	pʰ	0.253
p	d	0.214
s	t	0.585
s	s	0.278
s	z	0.099
t	t	0.845
t	d	0.155
v	v	0.668
v	-	0.193
v	ʍ	0.139
v̥	f	0.928
v̥	-	0.072
x	ç	0.551
x	x	0.366
x	k	0.083
z	s	0.958
ŋ	n	0.555
ŋ	ŋ	0.405
ɐ	r	0.461
ɐ	ə	0.435
ɐ	-	0.104
ɕ	k	0.493
ɕ	ç	0.356
ɕ	ʧ	0.086
ɕ	x	0.066
ə	ə	0.536
ə	-	0.396
ɡ̊	d	0.805
ɡ̊	x	0.106
ɡ̊	θ	0.07
ɣ	-	0.609
ɣ	k	0.391
ɪ	-	0.593
ɪ	i	0.407
ʀ	r	0.945
ʃ	s	0.52
ʃ	ʃ	0.48
ʋ	w	0.851
ʋ	ʍ	0.097
ʦ	tʰ	0.582
ʦ	t	0.295
ʦ	r_t	0.123
ˈa	ˈa	0.338
ˈa	ˈɑː	0.252
ˈa	ˈɪ	0.136
ˈa	ˈø	0.106
ˈa	ˈe	0.076
ˈa	ˈeː	0.072
ˈaʊ̯	ˈuː	0.483
ˈaʊ̯	ˈi	0.376
ˈaʊ̯	ˈu	0.141
ˈaː	ˈeː	0.395
ˈaː	ˈɑː	0.197
ˈaː	ˈɛ	0.103
ˈaː	ˈe	0.09
ˈaː	ˈa	0.083
ˈaː	ˈoː	0.083
ˈe	ˈɪ	0.718
ˈe	ˈəi̯	0.158
ˈe	ˈø	0.051
ˈeɪ̯	ˈe	0.654
ˈeɪ̯	ˈiː	0.254
ˈeɪ̯	ˈɛ	0.092
ˈeː	ˈiː	0.377
ˈeː	ˈe	0.244
ˈeː	ˈɪ	0.137
ˈeː	ˈɛ	0.114
ˈeː	ˈi	0.098
ˈiː	ˈəi̯	0.226
ˈiː	ˈɑː	0.197
ˈiː	ˈiː	0.172
ˈiː	ˈɪ	0.125
ˈiː	ˈi	0.123
ˈiː	ˈaɪ̯	0.065
ˈiː	ˈʌu̯	0.059
ˈo	ˈʌ	0.734
ˈo	ˈøː	0.101
ˈo	ˈu	0.077
ˈoʊ̯	ˈi	0.5
ˈoʊ̯	ˈu	0.5
ˈoː	ˈeː	0.205
ˈoː	ˈø	0.188
ˈoː	ˈɪ	0.172
ˈoː	ˈiː	0.145
ˈoː	ˈo	0.128
ˈoː	ˈi	0.077
ˈu	ˈɪ	0.402
ˈu	ˈʌ	0.385
ˈu	ˈo	0.213
ˈuː	ˈu	0.493
ˈuː	ˈe	0.15
ˈuː	ˈi	0.107
ˈuː	ˈɛ	0.086
ˈuː	ˈeː	0.065
ˈuː	ˈuː	0.065
ˈyː	ˈiː	0.364
ˈyː	ˈəi̯	0.235
ˈyː	ˈo	0.188
ˈyː	ˈi	0.149
ˈøʏ̯	j	1.0
ˈøː	ˈi	0.806
ˈøː	ˈiː	0.111
ˈøː	ˈɪ	0.083
ˈœ	ˈɪ	0.537
ˈœ	ˈaːɪ̯	0.237
ˈœ	ˈi	0.226
ˈɔ	ˈo	0.329
ˈɔ	ˈu	0.15
ˈɔ	ˈuː	0.112
ˈɔ	ˈø	0.096
ˈɔ	ˈɪ	0.091
ˈɔ	ˈoː	0.08
ˈɔ	ˈʌ	0.06
ˈɛ	ˈɛ	0.506
ˈɛ	ˈa	0.144
ˈɛ	ˈɪ	0.144
ˈɛ	-	0.092
ˈɛ	ˈəi̯	0.06
ˈɛ	ˈeː	0.054
ˈɛː	ˈeː	0.242
ˈɛː	ˈi	0.149
ˈɛː	ˈɛː	0.144
ˈɛː	ˈɛ	0.107
ˈɛː	ˈʌ	0.093
ˈɛː	ˈe	0.067
ˈɛː	ˈɪ	0.06
ˈɛː	j	0.051
ˈɪ	ˈɪ	0.59
ˈɪ	ˈəi̯	0.178
ˈɪ	ˈaɪ̯	0.126
ˈʊ	ˈʌ	0.899
ˈʊ	ˈɪ	0.101
ˈʏ	ˈəi̯	0.372
ˈʏ	ˈiː	0.274
ˈʏ	ˈɪ	0.192
ˈʏ	ˈʌu̯	0.101
ˈʏ	ˈi	0.062
