West Frisian	Eastphalian	probability
b	b	0.932
b	-	0.068
d	d	0.822
d	-	0.069
d	t	0.069
d	r	0.048
f	f	1.0
h	h	1.0
j	-	0.434
j	ˈɛɪ̯	0.181
j	ˈiː	0.137
j	j	0.088
j	ˈoː	0.077
j_ˈuə̯	ˈyː	0.495
j_ˈɔ	ˈɪ	1.0
k	k	0.928
k	-	0.071
l	l	0.936
l	-	0.062
m	m	1.0
n	n	0.739
n	n_d	0.141
n	ŋ	0.047
p	p	0.795
p	b	0.155
r	ɐ	0.589
r	r	0.409
r_ˈɛ	r	1.0
s	s	0.646
s	z	0.326
s	ʃ	0.035
s_k	ʃ	1.0
t	t	0.751
t	d	0.191
t	-	0.042
v	v	0.544
v	w	0.196
v	-	0.088
v	f	0.088
v	b	0.069
z	z	0.784
z	j	0.127
ŋ	ŋ	0.816
ŋ	-	0.113
ŋ	ç	0.065
ɕ	z	1.0
ə	-	0.387
ə	n	0.281
ə	ə	0.273
ə	ɪ	0.057
ɡ	ɣ	0.767
ɡ	j	0.22
ɣ	ɣ	0.701
ɣ	ɡ	0.165
ɣ	k	0.067
ɪ	ɪ	0.245
ʋ	v	1.0
ʦ	d	0.416
ʦ	k	0.315
ʦ	t	0.239
ˈa	ˈa	0.627
ˈa	ˈɒː	0.108
ˈa	ˈœ	0.072
ˈa	ˈɪ	0.072
ˈa	ˈaː	0.06
ˈaː	ˈɒː	0.351
ˈaː	ˈɛɪ̯	0.149
ˈaː	ˈa	0.14
ˈaː	ˈaː	0.112
ˈaː	-	0.102
ˈeː	ˈɛɪ̯	0.758
ˈeː	ˈeo̯	0.092
ˈi	ˈiː	0.342
ˈi	ˈɪ	0.335
ˈi	ˈɛː	0.143
ˈi	ˈɛɪ̯	0.104
ˈiə̯	ˈɛɪ̯	0.408
ˈiə̯	ˈɒː	0.238
ˈiə̯	ˈɔʏ̯	0.145
ˈiə̯	ˈeː	0.079
ˈiə̯	ˈɛ	0.06
ˈiː	ˈiː	0.587
ˈiː	ˈɛː	0.125
ˈiː	ˈɪ	0.125
ˈiː	ˈɛɪ̯	0.124
ˈoə̯	ˈɔ	0.233
ˈoə̯	ˈoː	0.159
ˈoə̯	ˈɛː	0.153
ˈoə̯	ˈa	0.153
ˈoə̯	ˈɒː	0.153
ˈoː	ˈaʊ̯	0.629
ˈoː	ˈuː	0.361
ˈu	ˈuː	0.66
ˈu	ˈʊ	0.162
ˈuə̯	ˈaʊ̯	0.569
ˈuə̯	ˈoː	0.254
ˈuə̯	ˈʊ	0.168
ˈuː	ˈuː	0.481
ˈuː	ˈʊ	0.197
ˈuː	ˈeo̯	0.145
ˈuː	ˈøː	0.084
ˈuː	-	0.084
ˈy	ˈɔ	1.0
ˈyː	ˈʏ	0.608
ˈyː	ˈuː	0.262
ˈø	w	0.495
ˈøə̯	ˈʏ	0.495
ˈɔ	ˈʊ	0.409
ˈɔ	ˈɔ	0.233
ˈɔ	ˈɛ	0.121
ˈɔ	-	0.08
ˈɔ	ˈœ	0.08
ˈɔu̯	ˈɔ	0.327
ˈɔu̯	ˈɛɪ̯	0.162
ˈɔː	ˈɔ_l	0.474
ˈɔː	ˈa	0.351
ˈɔː	ˈeː	0.132
ˈɛ	ˈeː	0.339
ˈɛ	ˈa	0.153
ˈɛ	-	0.133
ˈɛ	ˈɛː	0.127
ˈɛ	ˈɒː	0.127
ˈɛ_j	ˈiː	0.495
ˈɛi̯	ˈɛː	0.418
ˈɛi̯	ˈa	0.209
ˈɛi̯	ˈɪ	0.209
ˈɛi̯	ˈɛ	0.137
ˈɛː	ˈʏ	0.183
ˈɛː	ˈɛə̯	0.173
ˈɛː	ˈɛɪ̯	0.173
ˈɛː	ˈaː	0.113
ˈɛː	ˈa	0.113
ˈɪ	ˈɪ	0.506
ˈɪ	ˈɛ	0.154
ˈɪ	ˈʏ	0.095
ˈɪ	ˈøː	0.054
ˈɪ	ˈœ	0.054
ˈɪ_r	ɐ	1.0
ˈɪə̯	ˈeo̯	0.512
ˈɪə̯	ˈa	0.095
ˈɪə̯	-	0.076
ˈɪə̯	ˈɒː	0.076
ˈɪə̯	ˈɛɪ̯	0.076
ˈɵ	ˈɔʏ̯	1.0
χ	ç	0.493
χ	x	0.309
χ	ɣ	0.19
