Old French	Old French	probability
ˈɛ_f	β_u	1.0
ˈɔ_j	ˈi	1.0
ˈỹ	ˈu	1.0
ˈy_j	ˈɔ	1.0
ˈy	ˈu	1.0
ˈĩ	ˈi	1.0
ˈã_j	ˈa	1.0
ˈã	ˈa	1.0
ʧ_j	k_ˈa	1.0
ʧ	k	1.0
ɛ	-	1.0
ɔ	o	1.0
z	-	1.0
y	-	1.0
w_ˈɛ	ˈɔ	1.0
ũ	ɔ	1.0
t_ə	t_a	1.0
s_ə	s	1.0
s_#>	z_ɔ̆_#>	1.0
r_ˈɔ	ɾ_ˈu	1.0
r_ˈi	ɾ_ˈi	1.0
r_#>	ɾ_ɛ_#>	1.0
p_l	p_ɾ	1.0
p	p	1.0
o_j	ˈi	1.0
n_ə	n_a	1.0
n_d	nː	1.0
m	m	1.0
k_l	k_ɾ	1.0
k_#>	k_u_#>	1.0
j_ˈɛ	ˈe	1.0
j_ɲ	n_ʣ	1.0
ĩ	i	1.0
i	-	1.0
f_#>	ɛ_#>	1.0
f	f	1.0
b	b	1.0
ã_n	a_n	1.0
a	a	1.0
<#_ˈã	<#_ˈa	1.0
<#_ʦ	<#_k	1.0
<#_ʤ	<#_ʣ	1.0
<#_w	<#_ˈo	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#	1.0
<#	<#_i	1.0
k	k	0.889
t	t	0.882
ˈa	ˈa	0.85
s	s	0.818
ɡ	ɡ	0.8
e	i	0.778
d	d	0.7
ˈe	ˈa	0.684
ɲ	-	0.667
r_ə	ɾ_u	0.667
j_s	k_ɛ	0.667
v	b	0.655
r	ɾ	0.618
n	n	0.606
l	l	0.606
ŋ	m	0.6
ˈi	ˈi	0.577
ʎ	ʣ	0.571
ə	a	0.566
j_n	n	0.545
#>	u_#>	0.537
ˈu	ˈu	0.5
j_#>	ɣ_ɛ_#>	0.5
j_#>	k_u_#>	0.5
ˈũ	ˈɔ	0.474
j_n	n_u	0.455
ʎ	k_ɾ	0.429
ˈẽ	ˈɛ	0.4
ŋ	-	0.4
w	-	0.385
ʦ	ʦ	0.375
ʦ	-	0.375
ʤ	ɡ	0.375
ʤ	-	0.375
#>	ɛ_#>	0.338
ˈɛ	ˈɛ	0.333
ˈẽ	ˈe	0.333
ɲ	ɲ	0.333
u	ɔ	0.333
r_ə	ɛ	0.333
j_s	t_u	0.333
w	u	0.308
j	-	0.308
d	-	0.3
ˈɛ	ˈa	0.273
ˈɔ	ˈɛ	0.259
ʦ	k	0.25
ʤ	ð	0.25
u	ˈɔ	0.25
u	u	0.25
ˈɛ	ˈe	0.242
ˈɔ	ˈo	0.222
e	a	0.222
ˈu	ˈɔ	0.214
l	ɖː	0.212
ˈũ	ˈu	0.211
ˈũ	ˈo	0.211
v	β	0.207
ɡ	ɣ	0.2
ə	ɛ	0.193
ˈi	ˈɛ	0.192
j	ɛ	0.192
ˈɔ	ˈɔ	0.185
ˈɔ	ˈi	0.185
u	-	0.167
r	r	0.162
ˈe	ˈi	0.158
ˈe	ɾ	0.158
ˈi	ˈe	0.154
w	β	0.154
w	ˈɔ	0.154
n	n_u	0.152
ˈa	-	0.15
ˈu	ˈɔ_j	0.143
ˈu	ˈo	0.143
ˈẽ	ˈi	0.133
ˈẽ	-	0.133
s	z	0.121
n	nː	0.121
l	ɾ	0.121
t	-	0.118
j	j	0.115
k	ɛ	0.111
ˈũ	-	0.105
r	ɛ_ɾ	0.103
ˈɛ	ˈi	0.091
ˈi	ɛ	0.077
j	ˈe	0.077
j	ˈa	0.077
j	ɾ	0.077
j	k_ɛ	0.077
j	k	0.077
ˈɔ	ˈa	0.074
ˈɔ	ɾ	0.074
v	p_ɛ	0.069
v	p	0.069
#>	n_ɛ_#>	0.062
ˈɛ	ˈo_k	0.061
s	z_ɛ̆	0.061
n	ɛ	0.061
n	ŋ	0.061
l	u	0.061
ə	u	0.06
