Old High German	Hessian	probability
ˈɑː_r	ˈɑː	1.0
ˈɑː_n	ˈɛ̃ː	1.0
ˈɑ_t	ˈa_d̥	1.0
ˈɑ_s	ˈɑː_s	1.0
ˈuo̯_n	ˈĩː	1.0
ˈoː_n	ˈẽː	1.0
ˈou̯	ˈaː	1.0
ˈiː_n	ˈɑ̃i̯	1.0
ˈiː	ˈai̯	1.0
ˈiu̯_n	ˈoĩ̯	1.0
ˈiu̯	ˈoi̯	1.0
ˈi_r	ˈiː_ɐ	1.0
ˈi	ˈi	1.0
ˈeː	ˈeː	1.0
ˈei̯_n	ˈãː	1.0
ˈe	ˈe	1.0
ʦː	ʦ	1.0
ʦ	ʦ	1.0
ɡ_ɑ	ɣ̊	1.0
ɡ_r	k_ʀ	1.0
ɛ_r	æ̆	1.0
ɛ_h	ɛː	1.0
ɑ_r	æ̆	1.0
ɑ_n	ə	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
x_t	ʃ_t	1.0
x_s	k_s	1.0
v	v	1.0
u	-	1.0
tː	d̥	1.0
s̻ː	z̥	1.0
s̻	s	1.0
s_ˈu	s	1.0
s_ˈi	s_ˈi	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
rː	ˈæ	1.0
r_n	ɐ_n	1.0
r_i	æ̆	1.0
p	p	1.0
oː	ɑ	1.0
ou̯	ˈaː	1.0
nː	n	1.0
n_u	ˈõː	1.0
n_d	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_ɑ	l	1.0
l_t	l	1.0
l	l	1.0
kː_ɑ	k	1.0
kː	ɡ̊	1.0
k	-	1.0
j	j	1.0
fː	f	1.0
f_ɑ	v̥	1.0
f	f	1.0
eː_n	ə	1.0
e_n	ə	1.0
d_r	t_ʀ	1.0
d	d̥	1.0
i	-	0.916
ɑ	-	0.907
ˈio̯	ˈiː	0.852
ˈoː	ˈoː	0.848
o	-	0.805
w	v	0.794
h	h	0.786
ˈei̯	ˈaː	0.775
kʰ	kʰ	0.771
s	s	0.746
ˈuː	ˈau̯	0.734
n_t	n_d̥	0.734
n	n	0.686
ˈɑ_r	ˈɑː	0.656
ˈuo̯	ˈuː	0.574
t	d̥	0.561
b	b̥	0.546
ˈɑ	ˈɑ	0.5
xː	ʃ	0.498
ˈɑː	ˈɑː	0.452
x	x	0.44
x	ʃ	0.436
ˈu	ˈu	0.428
r	ɐ	0.421
t	t	0.406
ˈo	ˈɔ	0.403
p͡f	f	0.4
p͡f	-	0.4
ˈo	ˈo	0.375
ˈɑː	ˈoː	0.361
ˈɑ_r	ˈɑ	0.344
ˈɛ	ˈɛ	0.34
r	ʀ	0.317
xː	ɣ̊	0.312
ˈuo̯	ˈu	0.297
ɡ	ʒ̊	0.297
ˈɛ	ˈæ	0.295
ɡ	j	0.293
ɡ	ɣ̊	0.273
ˈuː	-	0.266
n_t	n	0.266
ˈɑ	ˈa	0.255
n	ə	0.25
kʰ	k	0.229
b	v	0.229
ˈei̯	ˈai̯	0.225
b	p	0.225
ˈo	ˈoː	0.222
ˈu	ˈi	0.219
h	-	0.214
ˈu	-	0.206
w	-	0.206
ˈɑ	ˈɑː	0.204
p͡f	pʰ	0.2
o	ə	0.195
xː	-	0.191
ˈɑː	-	0.187
s	-	0.155
ˈɛ	ˈɛː	0.152
ˈoː	oː	0.152
r	æ̆	0.15
ˈio̯	ˈi	0.148
ˈu	ˈɔ	0.147
ˈɛ	ˈæː	0.142
ɡ	i_ʃ	0.136
ˈuo̯	ˈiː	0.128
x	-	0.124
r	ˈæː	0.112
s	ʃ	0.099
ɑ	i	0.093
i	ɐ	0.084
ˈɛ	ˈe	0.07
n	-	0.064
