Limburgish	Saterland Frisian	probability
b	b	0.974
b	-	0.044
d	d	0.668
d	t	0.2
d	-	0.125
f	x	0.351
f	f	0.306
f	n	0.141
f	w	0.135
j	-	0.431
j	ə	0.153
j	j	0.15
j	l	0.13
j	ˈoːu̯	0.063
k	k	0.713
k	-	0.114
k	s	0.097
k	x	0.041
k	ɣ	0.039
l	l	0.97
m	m	1.0
n	n	0.928
n	-	0.07
p	p	1.0
s	s	0.49
s	s_k	0.184
s	s_t	0.166
s	z	0.089
s	k_s	0.057
t	t	0.653
t	d	0.346
v	f	0.758
v	v	0.115
v	-	0.063
v	ɣ	0.06
w	l	0.131
x	x	0.723
x	-	0.169
x	ɣ	0.099
z	s	0.949
z	z	0.056
ŋ	ŋ	0.859
ŋ	x	0.13
ə	ə	0.639
ə	-	0.288
ə	ɪ	0.056
ɡ	ɣ	1.0
ɣ	ɣ	0.612
ɣ	j	0.198
ɣ	-	0.125
ɣ	ɡ	0.06
ɦ	h	1.0
ɪ	ɪ	0.385
ɪ	ə	0.195
ɪː	ˈɪ	0.131
ʀ	r	0.885
ʀ	-	0.115
ʃ	s_k	1.0
ʦ	s	0.131
ˈaː	ˈɔː	0.374
ˈaː	ˈaːi̯	0.127
ˈaː	ˈoː	0.106
ˈaː	-	0.096
ˈaː	ˈɔ	0.096
ˈeː	ˈi	0.228
ˈeː	j	0.175
ˈeː	ˈeː	0.123
ˈeː	ˈɛɪ̯	0.099
ˈeː	ˈɔː	0.059
ˈi	ˈeː	0.269
ˈi	ˈɛɪ̯	0.229
ˈi	ˈɪ	0.156
ˈi	j_ˈoː	0.136
ˈi	ˈi	0.072
ˈiː	ˈi	0.582
ˈiː	ˈiː	0.327
ˈiː	ˈoː	0.086
ˈoː	ˈuː	0.413
ˈoː	ˈoːu̯	0.381
ˈoː	ˈu	0.147
ˈu	ˈoː	0.826
ˈu	ˈeː	0.147
ˈuː	ˈuː	0.744
ˈuː	ˈoː	0.104
ˈuː	ˈɛɪ̯	0.081
ˈuː	ˈu	0.059
ˈv	f	0.131
ˈyː	ˈuː	0.269
ˈyː	ˈu	0.188
ˈyː	ˈeː	0.177
ˈyː	ˈoː	0.119
ˈæ	ˈeː	0.322
ˈæ	ˈoː	0.204
ˈæ	ˈɛː	0.188
ˈæ	ˈʊ	0.119
ˈæː	ˈiː	0.292
ˈæː	ˈɛ	0.221
ˈæː	ˈɛː	0.221
ˈøː	ˈɛɪ̯	0.491
ˈøː	ˈuː	0.351
ˈøː	ˈœː	0.115
ˈœ	ˈɛː	0.594
ˈœ	ˈaːu̯	0.126
ˈœ	ˈɛ	0.126
ˈœi̯	ˈɛɪ̯	0.275
ˈœi̯	ˈeː	0.275
ˈœi̯	ˈuː	0.243
ˈœi̯	ˈyː	0.072
ˈœː	ˈɔː	0.442
ˈœː	ˈʊ	0.114
ˈɑ	ˈaː	0.272
ˈɑ	ˈɔː	0.201
ˈɑ	ˈɛ	0.171
ˈɑ	ˈa	0.13
ˈɑ	ˈɔ	0.098
ˈɑː	ˈoːu̯	0.549
ˈɑː	ˈuː	0.253
ˈɑː	ˈaː	0.16
ˈɒː	ˈɛɪ̯	0.251
ˈɒː	ˈoː	0.219
ˈɒː	ˈiː	0.172
ˈɒː	ˈɔː	0.149
ˈɒː	ˈɛ	0.099
ˈɔ	ˈɔ	0.321
ˈɔ	ˈoːu̯	0.238
ˈɔ	ˈʊ	0.207
ˈɔ	-	0.136
ˈɔ	ˈɔː	0.074
ˈɔu̯	ˈoː	0.508
ˈɔː	ˈoː	0.582
ˈɔː	ˈoːu̯	0.215
ˈɔː	ˈʊ	0.187
ˈɛ	ˈɪ	0.276
ˈɛ	ˈɔː	0.182
ˈɛ	ˈɛ	0.182
ˈɛ	ˈiː	0.161
ˈɛ	ˈa	0.122
ˈɛi̯	ˈɛɪ̯	0.258
ˈɛː	ˈeː	0.421
ˈɛː	ˈaː	0.128
ˈɛː	ˈɔː	0.107
ˈɛː	ˈɛ	0.107
ˈɛː	ˈɛː	0.084
ˈɛːi̯	ˈɔːɪ̯	0.285
ˈɛːi̯	ˈɛɪ̯	0.248
ˈɛːi̯	ˈeː	0.145
ˈɪ	ˈɔː	0.242
ˈɪ	ˈɪ	0.162
ˈɪ	ˈi	0.141
ˈɪ	ˈʊ	0.099
ˈɪ	ˈɔ	0.099
ˈɪː	ˈɪ	0.546
ˈɪː	ˈiː	0.23
ˈɪː	ˈʊ	0.102
ˈɪː	ˈɔ	0.099
ˈʊ	ˈʊ	0.508
ˈʊː	ˈʊ	0.35
ˈʊː	ˈoːu̯	0.312
ˈʊː	ˈuː	0.122
ˈʊː	ˈoː	0.099
ˈʊː	ˈu	0.093
ˈʊː_ʀ	ˈoːu̯	1.0
ˈʏ	ˈɛː	0.385
ˈʏ	ˈɪ	0.195
ˈʏː	ˈyː	0.574
ˈʏː	ˈuː	0.17
ˈʏː	ˈʊ	0.058
β	v	0.92
β	w	0.046
β	-	0.045
