Limburgish	Saterland Frisian	probability
b	b	0.942
b	-	0.058
d	d	0.643
d	t	0.192
d	-	0.165
f	f	0.38
f	v	0.21
f	w	0.168
f	x	0.149
f	-	0.093
i	i	1.0
j	-	0.462
j	ə	0.153
j	l	0.134
j	j	0.128
j	a	0.084
k	k	0.781
k	s	0.094
k	x	0.068
k	ɣ	0.057
l	l	0.98
m	m	0.973
n	n	0.983
p	p	1.0
s	s	0.823
s	z	0.071
s	k_s	0.065
t	t	0.665
t	d	0.326
v	f	0.828
v	v	0.099
w	l	1.0
x	x	0.74
x	ɣ	0.154
x	k	0.106
z	s	0.966
ŋ	ŋ	0.781
ŋ	x	0.219
ə	ə	0.761
ə	-	0.214
ɡ	ɣ	0.663
ɡ	z	0.337
ɣ	ɣ	0.525
ɣ	j	0.276
ɣ	-	0.103
ɣ	ɡ	0.095
ɦ	h	0.955
ɪ	ə	0.663
ɪ	ɪ	0.337
ʀ	r	0.899
ʀ	-	0.101
ʃ	s	1.0
ˈaː	ˈɔː	0.249
ˈaː	ˈɔ	0.182
ˈaː	ˈoː	0.149
ˈaː	-	0.108
ˈaː	ˈoːu̯	0.103
ˈaː	ˈiː	0.059
ˈaː	ˈɛɪ̯	0.059
ˈeː	j	0.306
ˈeː	ˈi	0.198
ˈeː	ˈɛɪ̯	0.13
ˈeː	ˈeː	0.095
ˈeː	ˈɔː	0.067
ˈeː	-	0.052
ˈi	ˈoː	0.351
ˈi	ˈeː	0.225
ˈi	ˈɛɪ̯	0.139
ˈi	ˈɪ	0.133
ˈi	ˈi	0.111
ˈiː	ˈi	0.463
ˈiː	ˈiː	0.332
ˈiː	ˈoː	0.103
ˈiː	k_ˈi	0.102
ˈoː	ˈuː	0.634
ˈoː	ˈu	0.243
ˈoː	ˈoːu̯	0.123
ˈu	ˈoː	0.864
ˈu	ˈeː	0.136
ˈuː	ˈuː	0.68
ˈuː	ˈoː	0.136
ˈuː	ˈøː	0.078
ˈuː	ˈɛɪ̯	0.075
ˈyː	ˈeː	0.434
ˈyː	ˈuː	0.254
ˈyː	ˈoː	0.219
ˈyː	ˈu	0.093
ˈæ	ˈɛɪ̯	0.323
ˈæ	ˈɛː	0.237
ˈæ	ˈʊ	0.195
ˈæ	ˈeː	0.159
ˈæ	ˈoː	0.085
ˈæː	ˈiː	0.429
ˈæː	ˈɛː	0.295
ˈæː	ˈɛ	0.277
ˈøː	ˈuː	0.364
ˈøː	ˈɛɪ̯	0.298
ˈøː	ˈɔː	0.168
ˈøː	ˈœː	0.117
ˈøː	ˈi	0.053
ˈœ	ˈɛː	0.721
ˈœ	ˈɛ	0.114
ˈœ	ˈaːu̯	0.089
ˈœ	ˈɔ	0.076
ˈœi̯	ˈuː	0.548
ˈœi̯	ˈeː	0.285
ˈœi̯	ˈyː	0.147
ˈœː	ˈʊ	0.663
ˈœː	ˈɔː	0.337
ˈɑ	ˈɔː	0.331
ˈɑ	ˈa	0.165
ˈɑ	ˈaː	0.164
ˈɑ	ˈɔ	0.128
ˈɑ	ˈɛ	0.101
ˈɑ	ˈɛː	0.077
ˈɑː	ˈoːu̯	0.781
ˈɑː	ˈuː	0.128
ˈɑː	ˈaː	0.09
ˈɒː	ˈoːu̯	0.323
ˈɒː	ˈoː	0.235
ˈɒː	ˈiː	0.224
ˈɒː	ˈɛɪ̯	0.128
ˈɔ	ˈɔ	0.345
ˈɔ	ˈoːu̯	0.203
ˈɔ	ˈʊ	0.116
ˈɔ	-	0.102
ˈɔ	ˈa	0.08
ˈɔ	ˈɔː	0.077
ˈɔ	ˈɛ	0.077
ˈɔu̯	ˈuː	0.531
ˈɔu̯	ˈoːu̯	0.306
ˈɔu̯	ˈoː	0.163
ˈɔː	ˈoː	0.55
ˈɔː	ˈuː	0.233
ˈɔː	ˈoːu̯	0.149
ˈɔː	ˈʊ	0.069
ˈɛ	ˈiː	0.377
ˈɛ	ˈɪ	0.347
ˈɛ	ˈɛ	0.118
ˈɛ	ˈɔː	0.083
ˈɛ	ˈa	0.075
ˈɛː	ˈeː	0.447
ˈɛː	ˈiː	0.121
ˈɛː	ˈɛː	0.119
ˈɛː	ˈaː	0.106
ˈɛː	ˈɛ	0.063
ˈɛː	ˈoː	0.054
ˈɛː	ˈɔː	0.053
ˈɛːi̯	ˈɛɪ̯	0.627
ˈɛːi̯	ˈeː	0.196
ˈɛːi̯	ˈɔːɪ̯	0.177
ˈɪ	ˈa	0.399
ˈɪ	ˈɔː	0.229
ˈɪ	ˈɔ	0.154
ˈɪ	ˈi	0.084
ˈɪ	ˈɪ	0.059
ˈɪː	ˈɪ	0.5
ˈɪː	ˈiː	0.29
ˈɪː	ˈɔ	0.105
ˈɪː	ˈʊ	0.105
ˈʊ	ˈʊ	1.0
ˈʊː	ˈʊ	0.357
ˈʊː	ˈoːu̯	0.309
ˈʊː	ˈɔː	0.081
ˈʊː	-	0.074
ˈʊː	ˈuː	0.073
ˈʊː	ˈoː	0.055
ˈʊː	ˈu	0.05
ˈʏ	ˈɛː	0.5
ˈʏ	ˈɪ	0.5
ˈʏː	ˈyː	0.501
ˈʏː	ˈuː	0.323
ˈʏː	ˈʊ	0.176
β	v	0.932
