Hessian	Hessian	probability
ˈɛ̃ː	ˈoː_n	1.0
ˈɔ_ɐ	ˈɔː	1.0
ˈɔ	-	1.0
ˈɑ̃i̯	ˈe_ŋ	1.0
ˈæː	-	1.0
ˈæ	-	1.0
ˈuː	ˈoː	1.0
ˈõː	ˈoː_n	1.0
ˈoĩ̯	ˈʏ_ŋ	1.0
ˈĩː	ˈøː_n	1.0
ˈẽː	-	1.0
ˈãː	ˈeː_n	1.0
ʦ	ʦ	1.0
ʤ̥	-	1.0
ʣ̥	-	1.0
ʃ_t	ɕ	1.0
ʃ_d̥	ʃ_t	1.0
ʀ	ʀ	1.0
ɛː	e	1.0
ɑ	-	1.0
ɐ_n	ʀ_ə	1.0
ɐ_d̥	d̥	1.0
ŋ	ŋ	1.0
æ̆	ɐ	1.0
z̥	s	1.0
v̥	f	1.0
pʰ	p	1.0
oː	ˈuː	1.0
m	m	1.0
kʰ	k	1.0
j	j	1.0
h	h	1.0
<#_ˈu	<#_ˈʊ	1.0
#>	ə_#>	1.0
ə	ə	0.923
f	f	0.906
ɐ	ɐ	0.818
p	b	0.8
ˈa	ˈa	0.75
x	x	0.75
n	n	0.75
v	ʋ	0.719
ˈɑ	ˈa	0.714
ˈe	ˈɛ	0.714
ɣ̊	-	0.714
ˈau̯	ˈuː	0.7
k	k	0.7
ˈɛ	ˈɛ	0.667
ˈo	ˈɔ	0.667
ˈeː	ˈiː	0.667
ɡ̊	j	0.667
b̥	b	0.667
ˈu	ˈo	0.615
ˈɛː	ˈɛː	0.6
ʒ̊	-	0.6
d̥	d	0.562
ʃ	ʃ	0.536
l	l	0.51
ˈoː	ˈuː	0.5
ˈoi̯	ˈyː	0.5
ˈiː	ˈeː	0.5
i	ɪ	0.5
i	ə	0.5
s	z	0.475
ˈai̯	ˈiː	0.455
ˈi	ˈe	0.441
t	d	0.438
l	ɫ	0.429
ˈɛː	-	0.4
ʒ̊	ʃ	0.4
ʃ	ɕ	0.393
ˈoi̯	-	0.375
ˈɛ	-	0.333
ˈɑː	ˈaː	0.333
ˈo	-	0.333
ˈeː	-	0.333
ɡ̊	k	0.333
b̥	v̥	0.333
ˈoː	-	0.3
ˈau̯	ˈɔʊ̯	0.3
k	j	0.3
ˈɑ	ˈaː	0.286
ˈiː	-	0.286
ˈe	-	0.286
ˈaː	ˈɔʊ̯	0.286
ɣ̊	ɣ	0.286
s	s	0.275
ˈai̯	ˈeɪ̯	0.273
ˈai̯	-	0.273
ˈa	ˈaː	0.25
x	ɣ̊	0.25
t	-	0.25
s	z̥	0.25
n	ŋ	0.25
d̥	d̥	0.25
ˈi	ˈɪ	0.235
ˈu	ˈoː	0.231
ˈɑː	ˈoː	0.222
v	v	0.219
ˈiː	ˈiː	0.214
ˈoː	ˈɔ	0.2
p	p	0.2
t	d̥	0.188
ɐ	-	0.182
ˈi	ˈœ	0.176
ˈu	-	0.154
d̥	ɡ̊	0.146
ˈaː	ˈoː	0.143
ˈaː	ˈeː	0.143
ˈaː	ˈeɪ̯	0.143
ˈaː	ˈa	0.143
ˈaː	-	0.143
ˈoi̯	ˈøʏ̯	0.125
t	t	0.125
ˈɑː	ˈɛ_ɐ	0.111
ˈɑː	ˈoː_ɐ	0.111
ˈɑː	ˈa	0.111
ˈɑː	-	0.111
f	p	0.094
ˈi	ˈʏ	0.088
ə	n	0.077
ʃ	-	0.071
v	-	0.062
l	ɫ_d̥	0.061
ˈi	ˈeː	0.059
