Czech	Czech	probability
ʧ	-	1.0
ʦ	k	1.0
ʒ	ɡ	1.0
ʃ	ʃ	1.0
ɲ	n	1.0
z̥	zʲ	1.0
uː	a_́	1.0
r̝̊	ˀ_r	1.0
p	p	1.0
ou̯	-	1.0
m	m	1.0
l̩	i_́	1.0
k_iː	u	1.0
j_ɛ	ai̯	1.0
f	j_a	1.0
b̥	m_b	1.0
b	b	1.0
<#_s	<#_s	1.0
<#_o	<#_a	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
<#_c	<#_t	1.0
<#	<#_d	1.0
v	w	0.9
z	zʲ	0.889
n	n	0.833
l	l	0.833
#>	s_#>	0.778
ɦ	ɡ	0.75
o_#>	a_#>	0.714
k	k	0.667
r	r	0.625
r̩	r	0.6
x	ʃ	0.556
t	t	0.526
o	a	0.5
d̥	d_u	0.5
d̥	d_a	0.5
aː	r_ˀ	0.5
aː	oː	0.5
a_#>	oː_#>	0.5
a_#>	#>	0.5
s	sʲ	0.467
iː	a_s	0.429
a	aː	0.419
r̩	i_r	0.4
d	d	0.364
ɪ	uː_́ˀ	0.333
ɪ	ei̯	0.333
ɪ	-	0.333
u	au̯	0.333
u	a_ŋ	0.333
u	a	0.333
s	s	0.333
o	a_́	0.333
k	k_a	0.333
a	aː_́ˀ	0.323
ɛ	e_́	0.286
o_#>	#>	0.286
d	-	0.273
iː	a	0.238
x	a	0.222
x	-	0.222
#>	ˀ_#>	0.222
t	t_ei̯	0.211
ɛ	-	0.2
s	-	0.2
a	-	0.194
iː	-	0.19
r	r_a	0.188
r	a_́	0.188
d	n_d	0.182
d	n	0.182
o	-	0.167
n	-	0.167
l	l_i	0.167
t	-	0.158
ɛ	e	0.143
iː	uː_́ˀ	0.143
ɦ	ˀ_ɡ	0.125
ɦ	-	0.125
z	z	0.111
t	t_a	0.105
v	ˀ_w	0.1
ɛ	i	0.086
ɛ	eː	0.086
ɛ	ai̯	0.086
ɛ	a	0.086
a	n	0.065
