East Frisian Low Saxon	Wymysorys	probability
χ	x	1.0
ˈʏə̯	ˈɘ̟	1.0
ˈʊə̯	-	1.0
ˈʊ	ˈu	1.0
ˈɪə̯	-	1.0
ˈɛːɪ̯_#>	#>	1.0
ˈɛːɪ̯	ˈai̯	1.0
ˈɔː	-	1.0
ˈɑːʊ̯	ˈɑi̯	1.0
ˈɑː_ɐ	ˈi̯ø	1.0
ˈɑː	-	1.0
ˈœy̯	ˈi	1.0
ˈœ	ˈu	1.0
ˈøːø̯	-	1.0
ˈæːɪ̯	-	1.0
ˈyː	-	1.0
ˈuːu̯	ˈɑi̯	1.0
ˈuː	ˈɑi̯	1.0
ˈeːe̯	-	1.0
ɣ̊_#>	k_#>	1.0
ɣ̊	ɡ̊	1.0
ə	-	1.0
z̥	s	1.0
w	v	1.0
v̥_#>	#>	1.0
v̥	b̥	1.0
v_n	n	1.0
v	v	1.0
s_t	s_t	1.0
s_k_#>	ʃ_#>	1.0
s_k	ʃ	1.0
r	r	1.0
p_#>	f_#>	1.0
n_#>	#>	1.0
m	m	1.0
l_#>	w_#>	1.0
k_n	x_a	1.0
j	j	1.0
h	h	1.0
f	f	1.0
b	b	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
#>	a_#>	1.0
z	z	0.889
ˈɑʊ̯	ˈʏ	0.8
ˈiː	ˈai̯	0.8
l	w	0.789
ˈɪ	ˈɘ̟	0.765
s	ʃ	0.75
p	f	0.667
ˈɑ	ˈɑ	0.647
d	t	0.64
k	k	0.636
ɡ	ɡ	0.619
d̥	t	0.583
ŋ	ŋ	0.571
ˈeː	ˈɑ	0.556
ɐ	ɛ_r	0.545
ˈoː	ˈu	0.538
n	n	0.525
ˈʏ	ˈɘ̟	0.5
ˈʏ	-	0.5
ˈɑːɑ̯	ˈɔ	0.5
ˈɑːɑ̯	-	0.5
nː	n_a	0.5
nː	d_a	0.5
ˈɛ	ˈa	0.444
ˈeː	-	0.444
ˈøː	-	0.429
ŋ	ŋ_ɡ̊	0.429
ˈɒː	ˈø	0.417
d̥	d̥	0.417
ˈɔ	ˈu	0.4
ˈæɪ̯	ˈa	0.4
t	ʦ	0.35
ˈɛ	ˈɘ̟	0.333
ˈɒː	-	0.333
ˈæɪ̯	ˈi	0.333
p	-	0.333
t	t	0.325
t	s	0.325
n	a	0.322
ˈoː	-	0.308
ˈɔ	ˈɑ	0.3
ˈɔ	-	0.3
ˈøː	ˈɘ̟	0.286
ˈøː	ˈɑi̯	0.286
d	d	0.28
ˈɒː	ˈɔ	0.25
ɡ	-	0.238
ˈɑ	ˈɔ	0.235
ˈɛ	-	0.222
ˈɑʊ̯	-	0.2
ˈiː	-	0.2
ɐ	r	0.182
k	ç	0.182
k	x	0.182
l	l	0.158
ˈoː	ˈɑi̯	0.154
ɡ	ɟ	0.143
ˈæɪ̯	ˈɑ	0.133
ˈæɪ̯	-	0.133
s	s	0.125
s	k_s	0.125
ɐ	-	0.121
ˈɪ	ˈɛ	0.118
ˈɪ	-	0.118
ˈɑ	ˈɛ	0.118
z	-	0.111
ɐ	ə	0.091
n	n_d	0.085
d	-	0.08
ɐ	ˈʏ	0.061
l	-	0.053
