Neapolitan	Québécois French	probability
b	b	1.0
f	f	1.0
kː	-	1.0
lː	-	1.0
mː	-	1.0
nː	-	1.0
r	ʁ	1.0
sː	-	1.0
tː	-	1.0
ŋ	-	1.0
ɲː	-	1.0
ʃː	s	1.0
ʤ	ʒ	1.0
ʤː	-	1.0
ʧː	ʦ	1.0
a	a	0.621
e	-	0.611
l	l	0.961
t	d	0.061
ə	ẽɪ̯̃	0.081
ˈo	aœ̯	0.301
ˈu	ʊ	0.051
ˈɔ	ɑɔ̯	0.521
ˈɛ	j	0.11
k	p	0.112
s	-	0.192
ə	ɛ	0.112
ə	-	0.672
ɡ	ɡ	0.752
ʃ	-	0.372
ʃ	s	0.592
ˈa	a	0.142
ˈe	w	0.492
ˈi	w	0.092
ˈo	ɒ̃ʊ̯̃	0.292
ˈu	-	0.12
ˈu	u	0.222
ˈɔ	ɥ	0.092
i	-	0.763
k	-	0.313
m	-	0.083
u	-	0.613
w	-	0.853
ɾ	ʁ	0.63
ˈa	e	0.193
ˈi	ɪ	0.223
ˈo	-	0.23
a	æɛ̯	0.284
j	l	0.364
t	-	0.634
ɾ	-	0.364
ˈu	ɥ	0.114
ˈu	y	0.344
a	-	0.095
d	-	0.055
n	n	0.295
n	-	0.705
v	-	0.315
ˈɛ	-	0.395
d	d	0.416
j	j	0.066
k	k	0.286
p	e_p	0.116
p	p	0.716
v	v	0.516
ˈa	-	0.286
ˈe	-	0.326
ˈi	-	0.36
ˈɛ	ã	0.126
ˈɛ	æɛ̯	0.326
j	ʒ	0.087
m	m	0.917
p	-	0.07
t	t	0.27
u	u	0.387
w	oʊ̯	0.147
ə	œ	0.057
ˈe	æɛ̯	0.137
ˈi	i_ʁ	0.067
ˈo	u	0.177
d	ʒ	0.08
i	ẽɪ̯̃	0.188
p	v	0.098
s	s	0.808
ɡ	-	0.248
ˈi	i	0.258
ˈɔ	ɔ	0.098
d	ʣ	0.449
e	œ	0.389
j	-	0.449
k	ʃ	0.29
v	b	0.169
ˈa	ã	0.129
ˈa	æɛ̯	0.229
ˈu	ʏ	0.149
ˈɔ	-	0.289
