Catalan	Sicilian	probability
b	v	0.608
b	b	0.273
b	-	0.085
d	d	0.694
d	-	0.15
d	nː	0.142
f	f	0.953
i	i	0.634
i	ɪ	0.212
i	-	0.088
j	ʤː	0.484
j	-	0.333
j	ˈe	0.183
k	k	0.829
k	kː	0.121
l	l	0.43
l	-	0.25
l	ɖː	0.121
l	j	0.07
l	w	0.055
m	m	0.816
m	mː	0.146
n	n	0.903
n	-	0.066
p	p	0.883
p	c	0.069
r	ɾ	0.497
r	r	0.2
r	ʐ	0.1
r	-	0.095
r	ʐː	0.062
s	s	0.492
s	ɕ	0.215
s	-	0.141
t	t	0.459
t	tː	0.271
t	ʈː	0.057
u	u	0.382
u	ʊ	0.167
u	o	0.158
u	-	0.067
u	a	0.066
u	ˈɔ	0.057
u	ˈu	0.053
w	ɕ_ɪ	0.214
w	w	0.201
w	ɪ	0.141
w	ʦː	0.126
w	i	0.085
w	ɾ_ɪ	0.084
w	v_ɪ	0.083
z	-	0.416
z	ɕ	0.37
z	t	0.214
ð	t	0.953
ŋ	ŋ	0.79
ŋ	-	0.162
ə	a	0.649
ə	ɪ	0.146
ə	ʊ	0.077
ə	i	0.05
ɡ	ɡ	0.551
ɡ	-	0.281
ɡ	k	0.066
ɡ	ʃː	0.053
ɣ	k	0.385
ɣ	ɡ	0.28
ɣ	w	0.233
ɣ	kː	0.101
ɲ	ɲː	0.526
ɲ	n	0.23
ɲ	nː	0.161
ɲ	ɲ	0.082
ɾ	ɾ	0.551
ɾ	ɽ	0.13
ɾ	-	0.123
ɾ	r	0.087
ɾ	ɪ_ɾ	0.087
ʃ	ʃː	1.0
ʎ	l	0.449
ʎ	ɖː	0.348
ʎ	ɟː	0.115
ʎ	cː	0.071
ʎː	ɟː	1.0
ʒ	j	0.633
ʒ	ʤ	0.202
ʒ	ɕ	0.065
ʤ	k	0.846
ʤ	ɾ	0.154
ʧ	ʦː	0.538
ʧ	j	0.231
ʧ	sː	0.231
ˈa	ˈa	0.976
ˈe	ˈɛ	0.499
ˈe	ˈi	0.29
ˈe	ˈa	0.12
ˈe	-	0.052
ˈi	ˈi	0.688
ˈi	ɪ	0.104
ˈi	ˈɛ	0.091
ˈi	ˈu	0.064
ˈo	ˈu	0.7
ˈo	ˈɔ	0.141
ˈo	ˈi	0.072
ˈo	ˈo	0.058
ˈu	ˈu	0.85
ˈu	ˈɔ	0.15
ˈɔ	ˈɔ	0.728
ˈɔ	ˈu	0.114
ˈɔ	ˈo	0.079
ˈɔ	w	0.067
ˈɛ	ˈi	0.465
ˈɛ	ˈɛ	0.404
ˈɛ	ˈu	0.056
β	p	0.448
β	v	0.341
β	b	0.128
β	mː	0.082
