Limburgish	Limburgish	probability
ˈʏː	-	1.0
ˈʏ	-	1.0
ˈʊː_n	ˈoː	1.0
ˈʊ	ˈʉ	1.0
ˈɛːi̯	-	1.0
ˈɔː	-	1.0
ˈɔu̯	-	1.0
ˈɑː	ˈɑ	1.0
ˈœː	ˈɔ	1.0
ˈœ_d̥	ʉ	1.0
ˈœ	ˈʏ	1.0
ˈæ	-	1.0
ˈyː	-	1.0
ˈuː	ˈʉː	1.0
ˈu	ˈæʉ̯	1.0
ˈi_#>	ˈøː_#>	1.0
ɣ̊_#>	ɡ_#>	1.0
ɣ̊	ɡ	1.0
ɡ	-	1.0
ə_ʀ	ɾ	1.0
ə_v̥	ʋ	1.0
ə_l	l	1.0
ŋ_k	ʰkː	1.0
z̥_#>	s_#>	1.0
z̥	s_e	1.0
w	ˈʉ	1.0
v_ə	ʋ_e	1.0
n_d̥	nː	1.0
n_d	nː	1.0
n_#>	#>	1.0
m	m	1.0
k_#>	#>	1.0
i	ˈɛ_tː	1.0
d̥	lː	1.0
b	b	1.0
<#_β	<#	1.0
<#_ʀ	<#_ɾ	1.0
<#_t	<#_tʰ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
ɦ	h	0.9
d̥_#>	#>	0.882
ŋ	ŋː	0.875
j	-	0.867
ʀ	ɾ	0.865
v	f	0.864
l	l	0.816
ɣ	ɡ	0.778
x	ʰtː	0.75
p	p	0.75
n	n	0.75
t	t	0.742
ˈɒː	ˈoː	0.727
ˈiː	ˈiː	0.727
ˈɛ	-	0.714
ʃ	ʂ	0.714
ˈɪː	ˈɪ	0.7
z	s	0.692
ˈɛː	ˈæɪ̯	0.688
s	s	0.684
β	ʋ	0.636
ʀ_ə	ɾ	0.636
#>	k_#>	0.6
d	d	0.594
ə	ɑ	0.59
ˈaː	ˈɑ	0.55
ˈɪ	-	0.5
ˈœi̯	ˈyː	0.5
ˈœi̯	-	0.5
ˈøː	ˈøː	0.5
ˈøː	-	0.5
ˈoː	ˈuː	0.5
ˈoː	-	0.5
v̥_#>	ʋ_#>	0.5
v̥_#>	#>	0.5
ˈɔ	ˈʉ	0.444
ˈi	ˈoː	0.429
ˈɑ	ˈɑ	0.417
ˈæː	ˈɛ	0.4
ˈæː	ˈɑ	0.4
#>	s_#>	0.4
ʀ_ə	ɾ_n	0.364
ˈaː	ˈɑː	0.35
k	k	0.344
d	tʰ	0.344
ˈʊː	ˈuː	0.333
ˈɔ	-	0.333
ˈɛː	-	0.312
ˈɪː	-	0.3
ˈʊː	ˈʉ	0.286
ˈɛ	ˈiː	0.286
ˈi	ˈeː	0.286
ˈi	-	0.286
ʃ	s_k	0.286
k	kʰ	0.281
ˈɒː	-	0.273
ˈiː	-	0.273
ˈɪ	ˈʉ	0.25
ˈɪ	ˈɛ	0.25
ˈɑ	ˈɛ	0.25
x	ɡ	0.25
n	nː	0.25
ˈeː	ˈʉː	0.241
ˈeː	ˈeː	0.241
ˈɔ	ˈʉː	0.222
ɣ	j	0.222
ˈæː	ˈæ	0.2
z	ʂ	0.192
k	ç	0.188
ˈɑ	ˈɔ	0.167
ˈɑ	-	0.167
p	pʰ	0.167
ə	-	0.164
t	-	0.161
s	s_t	0.158
ˈʊː	ˈʊ	0.143
ˈʊː	-	0.143
ˈeː	ˈyː	0.138
ˈeː	ˈiː	0.138
ˈeː	-	0.138
β	kʰ_ʋ	0.136
β	-	0.136
v	ʋ	0.136
j	l	0.133
ŋ	ɲ	0.125
d̥_#>	d_#>	0.118
z	s_ˈʏ	0.115
s	-	0.105
l	lː	0.105
ˈeː	j	0.103
ˈaː	-	0.1
ɦ	j	0.1
t	ʰtː	0.097
ˈʊː	ˈœ	0.095
k	ɡː	0.094
k	-	0.094
β	v	0.091
p	ʰpː	0.083
ə	e	0.082
l	j	0.079
ə	ə	0.066
d	ç	0.062
ʀ	ɾ_ˈɛ	0.058
s	sː	0.053
