Proto-Balto-Slavic	Proto-Slavic	probability
́_m	̂	1.0
ɛ	e	1.0
ŋ	-	1.0
z	z	1.0
w	v	1.0
u_́	ŭ	1.0
t_a	t_ŭ	1.0
sʲ	s	1.0
r	r	1.0
o	-	1.0
l_a	l_ŭ	1.0
l	l	1.0
k_t	tʲ	1.0
i_́	ĭ	1.0
i_s	ĭ	1.0
ei̯	i	1.0
e_́	e	1.0
e_r	e_r	1.0
d	d	1.0
b	b	1.0
ai̯	ɛː	1.0
a_́	o_̌	1.0
a_s	ŭ	1.0
a_r	o_r	1.0
a_n	õː_̂	1.0
aː	a	0.927
́ˀ	ˀ	0.882
m	m	0.853
t	t	0.839
uː	ɨ	0.817
eː	-	0.803
zʲ	z	0.802
oː	a	0.774
ɡ	ɡ	0.76
ʃ	x	0.754
u	ŭ	0.734
ˀ	-	0.733
s	j_ĭ	0.658
p	p	0.625
e	e	0.599
n	n	0.595
au̯	uː	0.592
i	ĭ	0.565
j	-	0.518
j	j	0.482
́	̂	0.419
k	k	0.393
p	-	0.375
n	-	0.367
a	ŭ	0.338
k	ʧ	0.294
a	o	0.27
ˀ	̌	0.267
u	k_ŭ	0.266
ʃ	s	0.246
ɡ	ʒ	0.24
́	-	0.233
e	-	0.228
oː	-	0.226
a	õː	0.224
au̯	uː_̂	0.217
i	-	0.213
zʲ	ɡ	0.198
eː	a	0.197
au̯	u	0.191
́	̌	0.186
s	s	0.185
uː	ɨː	0.183
e	eː	0.173
k	-	0.172
t	d	0.161
m	-	0.147
k	ʦ	0.141
́ˀ	̂	0.118
́	ˀ	0.116
i	ẽ	0.102
s	t	0.087
a	oː	0.08
i	ĭ_̂	0.076
aː	-	0.073
s	ŭ	0.07
a	ĭ	0.061
