Eastern Lombard	Eastern Lombard	probability
ˈu_#>	ˈʌ_ŋ_#>	1.0
ˈe_#>	ˈe_#>	1.0
ˈa_t_#>	ˈɛ_#>	1.0
ˈa_n	ˈa_ŋ	1.0
ʋ	v	1.0
ɲ	ɲ	1.0
ŋ	ŋ	1.0
ø	u	1.0
y	u	1.0
w	w	1.0
u	u	1.0
t_e	t	1.0
t_a	t_a	1.0
t_#>	d_#>	1.0
t	t	1.0
r_ˈɛ	r_ˈa	1.0
r_t	r_t	1.0
r_a	r_a	1.0
p	p	1.0
m	m	1.0
l	l	1.0
k_r	k_r	1.0
k_#>	ɡ_#>	1.0
k	k	1.0
f_#>	v_#>	1.0
d_a	d_a	1.0
d	d	1.0
b	b	1.0
a_s	a_θ	1.0
a_r	a_r	1.0
a_#>	#>	1.0
a	a	1.0
<#_ˈø	<#_ˈɔː	1.0
<#_ˈa	<#_ˈaː	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_u	1.0
<#_e	<#_v	1.0
<#_a	<#_a	1.0
r	r	0.95
#>	r_#>	0.923
f	f	0.917
ɡ	ɡ	0.889
<#	<#_v	0.867
j	j	0.84
n	n	0.784
ˈu	ˈʌu̯	0.769
ˈy	ˈuː	0.75
o	-	0.667
i	-	0.625
s	s	0.606
ʧ	ʧ	0.583
ˈɛ	ˈɛ	0.562
z	ð	0.562
e	e	0.536
ˈa	ˈɛ	0.516
ˈɔ	ˈɔ	0.5
ʤ	ʤ	0.429
ʧ	-	0.417
i	i	0.375
ˈo	ˈɔː	0.35
o	u	0.333
ˈɔ	ˈo	0.312
z	z	0.312
ˈø	ˈo	0.304
ˈa	ˈaː	0.29
ʤ	ʧ	0.286
ʤ	ð	0.286
ˈi	ˈiː	0.276
ˈø	ˈɔː	0.261
ˈɛ	ˈa	0.25
ˈy	ˈo_ŋ	0.25
ˈo	ˈʌ	0.25
s	θ	0.242
ˈe	ˈæ_ŋ	0.24
ˈu	-	0.231
ˈø	ˈuː	0.217
n	ŋ	0.216
e	-	0.214
ˈi	ˈe_ŋ	0.207
ˈe	ˈiː	0.2
ˈe	ˈe	0.2
ˈɔ	ˈɔː	0.188
e	i	0.179
ˈe	ˈɛː	0.16
j	-	0.16
ˈo	ˈɛ	0.15
ˈo	ˈo	0.15
ˈi	ˈe	0.138
ˈi	ˈa_j	0.138
<#	<#_ˈaː	0.133
ˈø	ˈɔ	0.13
z	-	0.125
s	z	0.121
ˈe	ˈa_j	0.12
ɡ	-	0.111
ˈi	e_r	0.103
ˈo	-	0.1
ˈa	ˈa_ŋ	0.097
ˈa	ˈa	0.097
ˈø	-	0.087
f	v_e	0.083
ˈe	ˈa	0.08
#>	v_#>	0.077
e	ˈa	0.071
ˈi	ˈi	0.069
ˈi	-	0.069
ˈɛ	ˈæ	0.062
ˈɛ	ˈe	0.062
ˈɛ	-	0.062
