Ukrainian	Bulgarian	probability
j	-	1.0
kʲ	k	1.0
m	m	1.0
n	n	1.0
nʲ	n	1.0
p	p	1.0
r	r	1.0
rʲ	r	1.0
s	s	1.0
sʲ	s	1.0
tʲ	t	1.0
x	x	1.0
z	z	1.0
zʲ	z	1.0
ɪ	i	1.0
ʃ	ʃ	1.0
ʊ	ɐ	1.0
ʍ	-	1.0
ʒ	ʒ	1.0
ʦ	ʦ	1.0
ˈa	ˈa	1.0
ˈu	ˈɤ	1.0
t	t	0.891
ɔ	ˈa	0.091
ʋ	-	0.091
ˈɔ	ˈɔ	0.191
ɫ	ɫ	0.592
ʋʲ	vʲ	0.552
ˈɔ	ˈa	0.132
ˈɛ	ɐ	0.162
ˈɪ	-	0.402
e	ɐ	0.3
lʲ	l	0.173
lʲ	lʲ	0.53
t	-	0.053
ɔ	ɛ	0.063
ɛ	ɛ	0.663
ɦ	k	0.353
ʧ	ʧ	0.523
i	-	0.094
ɐ	ɛ	0.274
ˈɔ	ɐ	0.104
ˈɛ	ˈɤ	0.34
b	b	0.485
b	p	0.515
d	t	0.185
d	d	0.815
e	-	0.685
k	k	0.95
w	f	0.125
w	v	0.875
ɔ	ˈɔ	0.175
ɔ	o	0.565
ˈɑ	ˈɛ	0.205
ˈɑ	ˈa	0.795
i	ɛ	0.906
t	j	0.056
ˈi	ˈa	0.386
ˈɔ	ˈɛ	0.156
lʲ	ɫ	0.297
ɐ	ɐ	0.607
ɛ	ˈɛ	0.337
ɦ	ɡ	0.647
ʧ	t	0.477
ˈi	ˈɛ	0.237
ɔ	ɐ	0.058
ɫ	l	0.408
ʋʲ	v	0.448
ˈi	ɛ	0.058
ˈɔ	o	0.198
ˈɛ	ˈɛ	0.498
ˈɪ	ˈi	0.598
ɐ	ˈa	0.119
ʋ	v	0.909
ˈi	ˈɔ	0.319
ˈɔ	ˈɤ	0.219
