Standard Croatian	Lithuanian	probability
ʨ	k_tʲ	1.0
ʧ	-	1.0
ʦ	-	1.0
ʒ	ɡʲ	1.0
ʎ	lʲ	1.0
ʋ_j	vʲ	1.0
ʃ	-	1.0
ɡ̊	ɛ_nʲ	1.0
ɡ	ɡ	1.0
x	-	1.0
s_a	ʃ	1.0
r̩	ɪ_rʲ	1.0
r_a	aː	1.0
p	pʲ	1.0
oː_̂	ɐ	1.0
oː	aː	1.0
o_̌	ɐ	1.0
o_̂	aː_̌	1.0
l_j	lʲ	1.0
eː_̌	ɐɪ̯	1.0
eː_̂	̌	1.0
e_̂	ɛ	1.0
d̥	d	1.0
aː_̌	z	1.0
a_̂	oː	1.0
b	b	0.78
j	-	0.773
u	ɪ	0.675
l	ɫ	0.673
k	k	0.661
i	uː	0.625
m	mʲ	0.571
ʋ	vʲ	0.558
aː	ɐ	0.55
z	ʑ	0.544
d	d	0.536
n	n	0.476
̌	-	0.474
aː	-	0.45
eː	-	0.447
m	m	0.429
o	ɐ	0.365
̂	̌	0.364
t	t	0.362
iː	iː	0.358
ʋ	v	0.356
o	æː	0.356
e	æː	0.352
s	ɕ	0.344
t	tʲ	0.341
iː	-	0.337
̂	̂	0.327
l	lʲ	0.327
u	iː_̌	0.325
r	r	0.316
e	-	0.315
s	sʲ	0.314
z	ʒ	0.308
iː	ʊ	0.305
eː	eː	0.293
r	rʲ	0.284
o	ɪ	0.28
n	s	0.278
uː	-	0.274
d	dʲ	0.274
a	ɐ	0.269
a	-	0.248
n	-	0.246
e	ɛ	0.242
t	-	0.235
j	aɪ̯	0.227
b	bʲ	0.22
̌	̌	0.211
̌	̂	0.211
k	-	0.207
a	uə̯	0.204
uː	ɪ_ɫ	0.194
uː	ɐ	0.194
s	s	0.19
r	s	0.178
a	oː	0.174
eː	ɛ	0.166
̂	ˈ	0.164
s	ʃ	0.152
z	-	0.148
uː	aʊ̯	0.147
i	ɪ	0.14
k	kʲ	0.132
r	-	0.126
i	ɛɪ̯	0.117
i	æɪ̯	0.117
d	n_d	0.116
̌	ˈ	0.105
a	eː	0.105
r	r_ɐ	0.096
uː	ɛʊ̯	0.095
uː	ŋ	0.095
eː	ɪ	0.094
e	aː	0.092
̂	ɪ_ˈ	0.091
ʋ	-	0.086
d	s	0.074
t	s	0.062
̂	-	0.055
