Bokmål Norwegian	Bokmål Norwegian	probability
ˈʊ	-	1.0
ˈʉː_#>	ˈuː_#>	1.0
ˈɛ_ɡː	ˈɑːɪ̯	1.0
ˈɑ_ɾ	ˈɑː_ɐ	1.0
ˈœʏ̯	ˈɑː	1.0
ˈœ_nː	ˈĩː	1.0
ˈœ_n	ˈõː	1.0
ˈøː_#>	ˈeː_#>	1.0
ˈæː	ɐ	1.0
ʋ_#>	b̥_#>	1.0
ʈː	ɐ_ʣ̥	1.0
ɾ_ˈœ	r	1.0
ɳ	ɐ_n	1.0
ɪ	ɪ	1.0
ɡː_#>	ɡ̊_#>	1.0
ə_ɾ	ɐ	1.0
ə_n	eː	1.0
ŋː	ŋ	1.0
ç	kʰ	1.0
tː_ə	s	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
pː	f	1.0
pʰ	-	1.0
p_#>	f_#>	1.0
n_#>	#>	1.0
mː	m	1.0
m	m	1.0
l_ˈøː	l_ˈɑː	1.0
l_ʋ	l_f	1.0
kː	ŋ_ɡ̊	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
d	d̥	1.0
b	b̥	1.0
<#_ˈɛ	<#_ˈɛ	1.0
<#_ˈɔ	<#_ˈu	1.0
<#_ɾ	<#_r	1.0
<#_n	<#_n	1.0
l	l	0.939
ʋ	β	0.923
ˈɑ	ˈɑ	0.909
ˈɪ	ˈɪ	0.867
n	n	0.812
kʰ	kʰ	0.8
t	s	0.786
ˈʏ	ˈɪ	0.75
ˈœ	-	0.75
<#	<#_β	0.75
ɡ	ɡ̊	0.733
s	s	0.714
tʰ	d̥	0.684
ˈʉ	ˈu	0.667
ˈyː	ˈiː	0.667
p	f	0.667
lː	l	0.636
nː	n	0.611
ˈoː	ˈoː	0.538
ə	ə	0.525
ˈiː	ˈaɪ̯	0.5
ʂ	ʃ	0.5
ʂ	s	0.5
k	ʃ	0.5
ˈʉː	ˈau̯	0.471
ɾ	ɐ	0.463
ə	-	0.458
ˈɑː	ˈɑ	0.455
ˈɛ	ˈɛ	0.45
ˈuː	ˈuː	0.429
nː	n_d̥	0.389
tː	ʣ̥	0.375
tː	x_d̥	0.375
k	x	0.375
ɾ	r	0.366
ˈɑː	ˈɑː	0.364
ˈøː	ˈoː_d̥	0.364
ˈæɪ̯	-	0.364
lː	l_d̥	0.364
ˈʉː	-	0.353
ˈʉ	ˈɔ	0.333
ˈeː	ˈɛ	0.333
p	b̥	0.333
tʰ	ʣ̥	0.316
j	-	0.308
#>	ʃ_#>	0.294
ˈuː	ˈɔ	0.286
s	ʃ	0.286
ˈøː	-	0.273
ˈæɪ̯	ˈɛː	0.273
ˈʏ	-	0.25
ˈɔ	ˈɛ	0.25
ˈɔ	ˈɑ	0.25
ˈɔ	ˈu	0.25
ˈɔ	-	0.25
ˈœ	ˈɔ	0.25
ˈyː	ˈaɪ̯	0.25
tː	ʃ_d̥	0.25
<#	<#_j	0.25
#>	n_#>	0.235
ˈoː	-	0.231
j	ˈɛ	0.231
j	ɡ̊	0.231
j	h	0.231
ˈeː	ˈɛː	0.222
ˈeː	ˈiː	0.222
ˈeː	-	0.222
t	d̥	0.214
ˈɛ	ˈaɪ̯	0.2
kʰ	ɡ̊	0.2
ˈiː	ˈɪ	0.188
ˈiː	-	0.188
n	ə	0.188
ˈɑː	ˈɑː_d̥	0.182
ˈøː	ˈuː	0.182
ˈøː	ˈoː	0.182
ˈæɪ̯	ˈɛː_ʃ	0.182
ˈæɪ̯	ʃ	0.182
#>	ə_#>	0.176
#>	ɐ_#>	0.176
ˈoː	ˈɑ	0.154
ˈɛ	ˈeː	0.15
ˈuː	ˈuː_d̥	0.143
ˈuː	ˈu	0.143
ˈɪ	-	0.133
ɡ	j	0.133
ɡ	-	0.133
ˈiː	ˈɑ̃ɪ̯	0.125
k	-	0.125
ˈʉː	β	0.118
#>	b̥_#>	0.118
ˈɛ	ˈɑ	0.1
ˈɛ	-	0.1
ˈɑ	-	0.091
ˈyː	ˈi	0.083
ˈoː	ˈo	0.077
ʋ	-	0.077
ɾ	r_ɐ	0.073
l	x_l	0.061
ˈʉː	ˈau̯̯	0.059
