Friulian	Campidanese	probability
a	a	0.618
a	-	0.193
a	e	0.115
a	ˈe	0.052
aː	r	0.265
b	b	0.946
b	v	0.05
c	k	0.802
c	t	0.087
c	-	0.066
c	ʧ	0.055
d	d	0.455
d	ð	0.264
d	-	0.103
d	r	0.078
e	a	0.804
e	e	0.096
f	f	0.744
f	-	0.149
f	β_u	0.102
i	u	0.422
i	i	0.238
i	e	0.139
i	a	0.09
i	r_i	0.055
j	-	0.379
j	j	0.17
j	ˈe	0.101
j	l	0.088
j	a	0.067
j	u	0.059
j	e	0.058
j	o	0.054
k	k	0.599
k	ɣ_u	0.177
k	k_u	0.134
k	ɡ	0.069
k_l	ʧ	0.515
l	l	0.456
l	l_u	0.123
l	ɖ	0.118
l	j	0.089
l	-	0.077
l	r	0.073
l_t	t	0.515
m	m	0.894
m	n	0.058
m	ɣ	0.058
m_j	m	0.515
n	n	0.83
n	n_u	0.145
o	o	0.384
o	ˈo	0.203
o	u	0.134
o	ˈu	0.134
o	ˈi	0.105
p	p	0.863
p	p_u	0.07
p	b	0.061
r	r	0.708
r	r_u	0.149
r	r_i	0.073
r	-	0.067
s	s	0.473
s	i_s	0.138
s	z	0.107
s	ʃ	0.082
s	ʒ_i	0.074
t	t	0.289
t	t_u	0.209
t	t_i	0.163
t	t_e	0.07
t	ð_u	0.063
t	d_i	0.053
t_j	t	1.0
u	u	0.288
u	a	0.165
u	o	0.148
u	e	0.122
u	j	0.122
u	ˈo	0.083
v	b	0.492
v	-	0.273
v	β	0.063
v_j	b	1.0
w	w	0.315
w	u	0.186
w	o	0.177
w	-	0.149
w	ˈo	0.073
w_ˈa	ˈo	1.0
w_ˈi	ˈo	1.0
w_ˈɛ	ˈo	1.0
z	-	0.488
z	z	0.219
z	ʒ	0.14
ŋ	ŋ	0.617
ŋ	n	0.163
ŋ	-	0.125
ŋ	v	0.051
ɟ	ɡ	0.574
ɟ	d	0.296
ɡ	ɡ	0.321
ɡ	k	0.243
ɡ	ɣ	0.224
ɡ	b	0.144
ɡ	-	0.061
ɲ	ɲ	0.34
ɲ	n	0.258
ɲ	ʤ	0.258
ɲ	r	0.115
ʤ	-	0.333
ʤ	b	0.333
ʤ	ʤ	0.137
ʤ	t	0.088
ʧ	ʧ	0.314
ʧ	-	0.224
ʧ	ʒ	0.101
ʧ	s	0.095
ʧ	z	0.074
ʧ	ʤ	0.074
ʧ	ʦ	0.061
ʧ	k	0.053
ˈa	ˈa	0.954
ˈa_w	ˈo	0.515
ˈaː	ˈa	0.522
ˈaː	ˈa_r	0.314
ˈaː	ˈa_i	0.085
ˈaː	ˈi	0.055
ˈe	ˈi	0.46
ˈe	ˈe	0.423
ˈe	-	0.063
ˈe	ˈo	0.056
ˈeː	ˈi	0.731
ˈeː	i	0.147
ˈeː	ˈe	0.112
ˈi	ˈi	0.729
ˈi	ˈe	0.218
ˈiː	ˈe	0.428
ˈiː	i	0.254
ˈiː	ˈi	0.146
ˈiː	r_i	0.142
ˈo	ˈu	0.597
ˈo	ˈo	0.357
ˈo	ˈe	0.052
ˈoː	ˈo	0.57
ˈoː	ˈa	0.242
ˈoː	ˈu	0.155
ˈu	ˈu	0.821
ˈu	ˈi	0.096
ˈu	ˈo	0.074
ˈuː	ˈo	0.615
ˈuː	ˈu	0.38
ˈɔ	ˈo	0.86
ˈɔ	ˈu	0.085
ˈɔ	-	0.062
ˈɔː	ˈo	1.0
ˈɛ	ˈe	0.823
ˈɛ	ˈi	0.062
ˈɛ	e	0.055
ˈɛ	-	0.05
ˈɛː	r	1.0
