Eastphalian	Eastphalian	probability
ˈɛɪ̯_#>	#>	1.0
ˈɛə̯	ˈɑː	1.0
ˈøː	ˈœ	1.0
ˈyː	ˈyː	1.0
ˈaː	-	1.0
ˈaɪ̯	ˈæɪ̯	1.0
ɣ_ˈɔ	ɡ	1.0
ɡ	ɡː	1.0
ə_#>	#>	1.0
ɒː	ə	1.0
ɐ_t	ʈː	1.0
ŋ_k	kː	1.0
ç_t	tː	1.0
z̥_#>	s_#>	1.0
x_#>	#>	1.0
x	tː	1.0
w	ʋ	1.0
v_ˈʊ	ˈʉ	1.0
v_n_#>	#>	1.0
t_ə	ə	1.0
t_n	t_ə	1.0
t_#>	#>	1.0
s	s	1.0
r	ɾ	1.0
n_n	nː_ə	1.0
n_#>	#>	1.0
m_n	mː_ə	1.0
l_ə	lː	1.0
k_ə	k	1.0
k_#>	k_#>	1.0
f	f	1.0
d̥_#>	#>	1.0
d̥	d	1.0
d_ɐ	ɾ	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
b	b	0.909
z	s	0.889
h	h	0.882
ə	ə	0.875
p	p	0.875
ŋ	ŋː	0.818
ˈa	ˈɑ	0.792
ˈaʊ̯	ˈuː	0.778
l	l	0.771
ˈɛː	-	0.75
ˈuː	ˈʉː	0.75
ˈiː	ˈiː	0.75
#>	ə_#>	0.727
m	m	0.714
ˈɔʏ̯	ˈøː	0.667
ˈɒː	ˈoː	0.667
ʃ	s_k	0.667
v	ʋ	0.667
t	t	0.667
ˈʊ	ˈʉ	0.6
ˈeː	j	0.6
ɣ	-	0.6
ɐ	ɾ	0.588
f_#>	ʋ_#>	0.571
ˈɛ	-	0.545
ˈɪ	ˈɪ	0.542
ˈʏ	ˈʏ	0.5
ˈœ	ˈɔ	0.5
ˈœ	-	0.5
ˈeo̯	ˈøː	0.5
k	kʰ	0.5
j	ˈʉː	0.5
j	-	0.5
d	tʰ	0.462
d	d	0.462
ˈɛ	ˈɛ	0.455
ˈɔ	ˈɑ	0.429
f_#>	#>	0.429
ˈeː	ˈʉː	0.4
ɣ	ɡ	0.4
n	n	0.353
ˈɛɪ̯	ˈyː	0.348
ˈɔʏ̯	ˈœ	0.333
ˈɒː	ˈɑː	0.333
ˈoː	ˈɔ	0.333
ʃ	ʂ	0.333
v	-	0.333
ˈʏ	ˈɛ	0.3
ˈɔ	ˈœ	0.286
ˈɔ	-	0.286
n	ə	0.275
n	nː	0.275
#>	ɾ_#>	0.273
ɐ	ə_ɾ	0.265
ˈɛɪ̯	-	0.261
ˈɛː	ˈeː	0.25
ˈuː	-	0.25
ˈiː	-	0.25
t	tː	0.25
k	k	0.25
k	-	0.25
l	lː	0.229
ˈoː	ˈuː	0.222
ˈoː	ˈoː	0.222
ˈoː	-	0.222
ˈaʊ̯	-	0.222
ˈɛɪ̯	ˈeː	0.217
ˈʏ	-	0.2
ˈʊ	ˈuː	0.2
ˈʊ	-	0.2
ˈeo̯	ˈøː_j	0.2
ˈeo̯	-	0.2
ŋ	ə	0.182
ˈɛɪ̯	ˈæɪ̯	0.174
ˈɪ	ˈiː	0.167
ˈɪ	-	0.167
ˈɪ	ˈɛ	0.125
ˈa	ˈɛ	0.125
ə	ɡː	0.125
p	pː	0.125
h	j	0.118
z	-	0.111
ˈeo̯	ˈœʏ̯	0.1
m	ʋ_n	0.095
m	mː	0.095
m	-	0.095
b	-	0.091
ɐ	ˈæː	0.088
ˈa	ˈɔ	0.083
t	-	0.083
d	-	0.077
ɐ	ɳ	0.059
n	ˈiː	0.059
