Walloon	Walloon	probability
ˈɛ̃ː	a	1.0
ˈɛ̃_n	n_ɐ	1.0
ˈɛː_ʀ	ɾ	1.0
ˈɛ_s	s_t	1.0
ˈɛ_j	ˈi_l	1.0
ˈœ̃	ˈu_ɲ	1.0
ˈyː	ˈo_j	1.0
ˈy	ˈo_j	1.0
ˈeː	ˈe	1.0
ˈa_ʀ	ɾ_t	1.0
ʤ	ʃ	1.0
ʒ	-	1.0
ʀ_w	ɾ	1.0
ɲː	ʃ_e	1.0
ɲ	ɲ	1.0
ɔ̃	o_n	1.0
ɔː	-	1.0
z	s	1.0
w_ˈa	ˈɔ_ɾ	1.0
u	-	1.0
p_l	ʧ	1.0
p	p	1.0
n_#>	#>	1.0
m	m	1.0
k_l	ʧ	1.0
j_ˈɛ	ˈɛ	1.0
j_#>	#>	1.0
ẽ	i_ŋ	1.0
d	d	1.0
b	b	1.0
<#_ʤ	<#	1.0
<#_ʀ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
v	b	0.87
ɛ	e	0.8
k	k	0.8
ʀ	ɾ	0.773
ˈa	ˈa	0.733
ɡ	ɡ	0.714
ˈɑ̃	ˈa_n	0.667
ˈoː	ˈo_w	0.667
t	t	0.667
<#_s	<#_s	0.667
f	f	0.654
ˈɔ	ˈo	0.611
ˈa_#>	ʊ_#>	0.6
i	-	0.6
ʧ	k	0.588
l	l	0.583
a	a	0.583
ˈøː	-	0.545
ˈi	ˈe	0.545
ɔ	o	0.538
#>	ʊ_#>	0.509
ˈɛː	ˈa_ð	0.5
ˈɛː	ɾ	0.5
ˈɛ_#>	ʊ_#>	0.5
ˈɛ_#>	j_#>	0.5
ˈuː	ˈɔ	0.5
ˈuː	ˈo	0.5
ˈu	ˈu	0.5
ˈu	-	0.5
s	s	0.5
n	ɐ	0.444
ˈẽ	ŋ	0.429
#>	ɐ_#>	0.402
ˈa_#>	#>	0.4
i	i	0.4
ˈɔː	ˈa_l	0.364
ˈɔː	ˈa	0.364
ˈɛ	ˈe	0.36
ˈe	ˈa_ɾ	0.353
f	β	0.346
w	ˈe	0.344
ˈɑ̃	ˈɑ	0.333
ˈoː	ˈɔ	0.333
n	ɲ	0.333
<#_s	<#_θ	0.333
ˈiː	ˈɛ	0.312
ˈiː	ˈi	0.312
ˈɛ̃	ˈe_n	0.308
ˈe	ɾ	0.294
ˈɔ̃	ˈo	0.286
ˈẽ	ˈi_ɲ	0.286
ˈẽ	ˈi_ŋ	0.286
ɡ	ɣ	0.286
s	θ	0.278
ˈɔː	-	0.273
ˈøː	ˈu	0.273
ˈi	ˈi_ɾ	0.273
ˈiː	-	0.25
ʃ	ʃ_ɐ	0.25
ʃ	s	0.25
w	-	0.25
l	ˈa	0.25
a	e	0.25
t	t_ɾ	0.238
j	ɟ_ɐ	0.233
ˈɛ̃	ˈɑ	0.231
ɔ	ˈo	0.231
s	e_s	0.222
n	-	0.222
w	ˈɔ	0.219
ˈɔ̃	ˈo_ŋ	0.214
ˈɔ̃	ŋ	0.214
ˈɛ	ˈi	0.2
ɛ	ˈe_j	0.2
j	ˈɛ	0.2
ˈøː	ˈe	0.182
ˈi	ˈi	0.182
ˈe	ˈa	0.176
ˈe	-	0.176
ʧ	k_a	0.176
ˈɔ	-	0.167
ʃ	ʃ	0.167
ʃ	s_k	0.167
ʃ	-	0.167
l	-	0.167
a	-	0.167
ˈɛ	-	0.16
ˈɛ̃	ˈi_n	0.154
ˈɛ̃	ˈe	0.154
ˈɛ̃	ŋ	0.154
ɔ	u	0.154
ˈɔ̃	ˈu_n	0.143
ˈɔ̃	-	0.143
ˈa	l_ʊ	0.133
ˈa	-	0.133
j	ɐ	0.133
j	l	0.133
j	-	0.133
v	β	0.13
ˈiː	ˈe_j	0.125
w	ɣ	0.125
ˈɛ	θ	0.12
k	ɡ	0.12
ʧ	ʃ_ʊ	0.118
ʧ	k_ˈa	0.118
ˈɔ	ˈɔ_s	0.111
ˈɔ	ˈɔ	0.111
j	ɟ	0.1
t	-	0.095
ʀ	r	0.091
ˈɛ	ˈɛ	0.08
ˈɛ	s	0.08
k	-	0.08
ɔ	ɔ	0.077
ʀ	ʊ	0.068
ʀ	-	0.068
j	ɣ_ɐ	0.067
w	ɾ	0.062
