Latin	Latin	probability
ˈɪ	ˈi	1.0
ˈɛ̃ː	ˈi_n	1.0
ˈɛ_k	ˈe	1.0
ˈyː	ˈi	1.0
ˈuː	ˈu	1.0
ˈu	ˈu	1.0
ˈoe̯	ˈɛ	1.0
ˈo	-	1.0
ˈiː_r	ˈi_ɾ	1.0
ˈi	ˈi	1.0
ˈeː_r	ɛ_ɾ	1.0
ˈe	ˈɛ	1.0
ˈaː_t	ˈa_ð	1.0
ˈaː	ˈa	1.0
ˈau̯	-	1.0
ˈae̯	ˈe	1.0
ˈa	ˈa	1.0
ʊ̃ː_#>	#>	1.0
ʊ_ɫ	ɾ	1.0
ɛ̃ː_#>	#>	1.0
ɛ̃ː	ɛ	1.0
ɛ̃	ɛ	1.0
ɛ_r	ɾ	1.0
ŋ_kʷ	m	1.0
ŋ_k	n	1.0
w_ʊ̃ː	β_u	1.0
w_ɛ̃ː	ɛ	1.0
uː	u	1.0
u	-	1.0
tː	t	1.0
tʰ	t	1.0
t_ˈaː	t_ˈa	1.0
t_r	t	1.0
t_i	ʦ	1.0
sː	s	1.0
rː	r	1.0
r_ˈeː	ɾ_ˈɛ	1.0
r_ʊ̃ː	ɾ_u	1.0
r_s	s	1.0
r_n	r	1.0
r_m	ɾ_m	1.0
r_b	ɾ_b	1.0
p_ˈʊ	p_ˈu	1.0
p_ɫ	p_ɾ	1.0
p_s	s	1.0
o_ɫ	l	1.0
nː	nː	1.0
n_i	ɲ	1.0
n_d	nː	1.0
mː	m	1.0
m_b	m_b	1.0
m	m	1.0
lʲ_i	ʣ	1.0
lʲ	l	1.0
kː	k	1.0
kʰ	k	1.0
k_ʊ̃ː	k_u	1.0
k_t	t	1.0
iː	i	1.0
i_ˈaː	j_ˈa	1.0
i_ãː	a	1.0
h	-	1.0
fː	f	1.0
f	f	1.0
eː	i	1.0
e	-	1.0
d_i	ʣ	1.0
bː	b	1.0
ãː_#>	#>	1.0
ãː	a	1.0
aː_t	a_t	1.0
ae̯	-	1.0
a	a	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɫ	<#_l	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_k	<#_k	1.0
<#_j	<#_ʣ	1.0
<#_d	<#_d	1.0
<#_au̯	<#_a	1.0
<#	<#_i	1.0
ʊ̃ː	u	0.974
p	p	0.947
r	ɾ	0.903
k	k	0.889
ˈʊ	ˈu	0.882
t	t	0.867
n	n	0.864
ˈiː	ˈi	0.857
ɛ	ɛ	0.836
oː	ɔ	0.833
ʊ	u	0.8
aː	a	0.778
w	b	0.769
ˈoː	ˈɔ	0.75
ˈeː	ˈɛ	0.75
d	ð	0.733
ɪ	i	0.636
ɡ	ɡ	0.615
lʲː	ɖː	0.615
ŋ	ŋ	0.6
kʷ	k	0.6
b	b	0.577
ɫ	l	0.552
s	s	0.543
#>	ɛ_#>	0.533
ˈɛ	ˈɛ	0.513
ˈɔ	ˈɔ	0.5
ˈɔ	ˈo	0.5
ɔ	ɔ	0.5
i	-	0.5
<#_r	<#_ɾ	0.5
<#_r	<#_r	0.5
ˈɛ	ˈe	0.487
kʷ	-	0.4
s	z	0.37
b	β	0.346
ɫ	ɾ	0.345
ɔ	o	0.333
#>	ŭ_#>	0.333
ˈoː	ˈo	0.25
ˈeː	ˈe	0.25
i	z	0.25
i	j	0.25
ɡ	ɣ	0.231
w	β	0.231
lʲː	l	0.231
aː	ˈa	0.222
ʊ	-	0.2
ŋ	m	0.2
ŋ	-	0.2
ɔ	-	0.167
oː	-	0.167
ɡ	-	0.154
lʲː	ʣ	0.154
ɪ	ˈi	0.136
ɪ	-	0.136
d	d	0.133
d	-	0.133
#>	a_#>	0.133
ˈʊ	-	0.118
n	nː	0.106
ɛ	e	0.104
ɫ	-	0.103
ɪ	ɛ	0.091
b	-	0.077
ˈiː	i	0.071
ˈiː	-	0.071
t	ʦ	0.067
t	-	0.067
k	ˈɔ	0.056
k	-	0.056
p	-	0.053
