Lengadocian	Lengadocian	probability
ˈɛ_j	ˈɛ	1.0
ˈɔ_k	ɣ_u	1.0
ˈu_l	ˈu_ɣ	1.0
ˈu_#>	ˈo_n_u_#>	1.0
ˈe_w	u	1.0
ˈe_t	ˈi_ð	1.0
ˈe_l	ˈi_s	1.0
ˈa_#>	ˈa_i_#>	1.0
ʎ_ɔ_#>	#>	1.0
ʎ	ɭː	1.0
ʀ_#>	ɾ_u_#>	1.0
ɾ_ɔ	ɾ_a	1.0
ɾ_e	ɾ_u	1.0
ɥ_ˈɛ	ˈɔ	1.0
ɡ	ɡ	1.0
ɔ_#>	#>	1.0
ɔ	a	1.0
ŋ	ŋ	1.0
ð	ð	1.0
z_ˈa	z_ˈa	1.0
w_t	t_ɛ	1.0
t_ɔ	t_a	1.0
p	p	1.0
m_b	m	1.0
m_#>	m_i_n_i_#>	1.0
m	m	1.0
l_#>	l_u_#>	1.0
j_ˈɛ	ˈe	1.0
j_ʀ	i	1.0
j_s	ʃ	1.0
i	i	1.0
f	f	1.0
e_#>	#>	1.0
b	b	1.0
a_w	o	1.0
a_n	a_n	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#_ʤ	1.0
<#_t	<#_t	1.0
<#_s	<#_ʧ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#	1.0
<#	<#_a	1.0
ˈa	ˈa	0.894
a	a	0.875
k	k	0.848
ɲ	n_ʤ	0.833
ˈy	ˈu	0.824
ɾ	ɾ	0.8
n	n	0.8
ˈi	ˈi	0.774
s	s	0.765
ʦ	ʒ	0.714
s_#>	z_ŭ_#>	0.7
d	d	0.667
t	t	0.636
ʧ	t_u	0.625
ɣ	ɣ	0.625
β	β	0.615
e	i	0.605
ˈɔ	ˈo	0.6
ɥ	ˈo	0.6
z	ʒ	0.6
<#_a	<#_a	0.6
w	u	0.571
n_#>	n_t_i_#>	0.571
ˈɛ	ˈɛ	0.543
ʀ	r	0.52
ˈe	ˈi	0.519
ʤ	ʤ	0.5
w_#>	i_#>	0.5
w_#>	#>	0.5
#>	u_#>	0.5
#>	i_#>	0.461
w	-	0.429
n_#>	n_t_u_#>	0.429
j	-	0.429
ˈu	ˈu	0.417
ˈɔ	ˈɔ	0.4
ɥ	ˈɔ	0.4
z	-	0.4
u	ɔ	0.4
<#_a	<#_ˈa	0.4
β	-	0.385
ʧ	t	0.375
ɣ	-	0.375
ˈɛ	ˈe	0.343
ˈe	ˈɛ	0.333
u	u	0.333
ʀ	ɾ	0.32
l	l	0.314
s_#>	z_ɔ̆_#>	0.3
ʦ	-	0.286
u	o	0.267
ˈu	ˈɔ	0.25
ʤ	i_ɣ	0.25
ʤ	-	0.25
d	-	0.222
j	j	0.214
j	i	0.214
n	nː	0.2
l	ɾ	0.2
t	ð	0.182
ˈy	ˈu_ɾ	0.176
ˈu	ˈo	0.167
ɲ	ɲ	0.167
ʀ	-	0.16
l	ɭː	0.143
j	ˈɛ	0.143
e	u	0.132
ˈi	ˈi_n	0.129
a	-	0.125
ɾ	-	0.12
ˈɛ	-	0.114
l	ɖː_u	0.114
l	ɖː	0.114
d	n	0.111
ˈa	ˈa_n	0.106
e	e	0.105
e	-	0.105
s	z	0.098
ˈi	i	0.097
t	t_ˈa	0.091
t	-	0.091
ɾ	ˈa	0.08
ˈe	ˈɛ_n	0.074
ˈe	-	0.074
k	ɣ_u	0.065
s	ʧ	0.059
l	ɣ	0.057
l	u	0.057
ˈu	ˈɔ_ɾ	0.056
ˈu	ˈɔ_n	0.056
ˈu	ɾ_ˈu	0.056
e	i_ɾ	0.053
