North Frisian	Icelandic	probability
ˈʏ	ˈɪ	1.0
ˈɛː	ˈœː	1.0
ˈɛ	ˈaːi̯	1.0
ˈɔː	ˈɔu̯	1.0
ˈɔ	ˈɔ	1.0
ˈɒː	ˈaː	1.0
ˈœi̯	ˈoːu̯	1.0
ˈœ_lʲ	t_l̥	1.0
ˈyː_dʲ	ˈœːy̯_ð	1.0
ˈeː_#>	j_ˈɛː_r̥_#>	1.0
ˈai̯_#>	r̥_#>	1.0
ʃ_#>	s_k_ʏ_r̥_#>	1.0
ʃ	s_c	1.0
ɡ	ɟ̊	1.0
ə_r	ɪ_r̥	1.0
ə_n_#>	n_#>	1.0
ŋ_ə	ŋ_ɡ̊	1.0
ŋ	ŋ_ɡ̊	1.0
x_t	ʰt	1.0
x	ˈɛ_ʰt	1.0
tʲ	t	1.0
t	t	1.0
s_t	s_t	1.0
s_#>	s_#>	1.0
s	nː	1.0
r_ˈiː	r_ˈiː	1.0
r_#>	r̥_#>	1.0
p_#>	p_ʏ_r̥_#>	1.0
p	p	1.0
n_ə	n_d̥	1.0
m	m	1.0
lʲ_#>	l_d̥_ʏ_r̥_#>	1.0
l_#>	l_#>	1.0
k_ə_#>	k_#>	1.0
k	ʰk	1.0
j_ə	ɡ̊	1.0
j	-	1.0
i	ɡ̊	1.0
h	ç	1.0
f_#>	v_ʏ_r̥_#>	1.0
dʲ_#>	ð_#>	1.0
dʲ	ð	1.0
d_#>	ð_#>	1.0
<#_ˈʊ	<#_ˈʏ	1.0
<#_ˈiː	<#	1.0
<#_ˈeː	<#_ˈa	1.0
<#_ʃ	<#_s	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_tʲ	<#_θ	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_h	<#_h	1.0
<#_f	<#_f	1.0
<#_d	<#_d̥	1.0
<#_b	<#_b̥	1.0
ə_#>	a_#>	0.925
<#_v	<#_v	0.786
<#_k	<#_kʰ	0.778
r	r	0.758
#>	ʏ_r̥_#>	0.735
v	v	0.65
ˈøː	ˈuː	0.6
ˈi	ˈiː	0.6
nʲ_#>	#>	0.6
ˈœ	ˈoːu̯	0.571
l	l	0.559
<#_t	<#_tʰ	0.556
ˈʊ	ˈu	0.5
ˈɛi̯	ˈai̯	0.5
ˈɛi̯	ɣ	0.5
ˈuː	ˈœːy̯	0.5
ˈaː	ˈɪː	0.5
ˈaː	ˈɔː	0.5
ˈa_r	ˈa_r̥	0.5
ˈa_r	ˈa_r	0.5
ə	-	0.5
k_#>	k_ʏ_r̥_#>	0.5
k_#>	k_#>	0.5
t_#>	#>	0.444
<#_t	<#_θ	0.444
ˈœ	ˈa	0.429
ˈa	ˈɛ	0.429
ˈøː	ˈiː	0.4
nʲ_#>	n_d̥_#>	0.4
n_#>	n̥_#>	0.4
ˈyː	ˈuː	0.357
n	nː	0.357
n	n_d̥	0.357
ˈeː	ˈɛː	0.333
ˈeː	ˈaː	0.333
ˈeː	ˈau̯	0.333
t_#>	ʏ_r̥_#>	0.333
d	ð_ʏ	0.333
d	ð	0.333
d	j	0.333
ˈiː	ˈɛːi̯	0.318
ˈʊ	ˈʏ	0.3
n_#>	#>	0.3
ˈa	ˈɪː	0.286
ˈa	ˈɪ	0.286
n	n	0.286
ˈɒ	ˈɛ	0.25
ˈɒ	ˈɑu̯	0.25
ˈɒ	ˈaː	0.25
ˈɒ	ˈa	0.25
ˈuː	ˈɑːu̯	0.25
ˈuː	v	0.25
l	l̥	0.235
ˈiː	j_ˈoːu̯	0.227
t_#>	t_#>	0.222
<#_k	<#_cʰ	0.222
ˈyː	ˈiː	0.214
<#_v	<#	0.214
l	t_l̥	0.206
ˈʊ	-	0.2
ˈi	ˈɪ	0.2
ˈi	ˈɛ	0.2
v	-	0.2
#>	a_#>	0.191
ə	ʏ	0.167
ə	ð	0.167
ə	a	0.167
v	kʰ_v	0.15
n_#>	ʏ_#>	0.15
n_#>	n_#>	0.15
ˈyː	ˈʏ	0.143
ˈyː	ˈœːy̯	0.143
ˈyː	ˈaːu̯	0.143
ˈiː	ˈiː	0.136
ˈiː	j_ˈuː	0.136
r	r_t	0.121
ˈiː	ˈɪ	0.091
ˈiː	ˈɛi̯	0.091
ə_#>	ɪ_#>	0.075
#>	ɪ_#>	0.074
r	r̥	0.061
r	-	0.061
