Old Frisian	West Frisian	probability
ˈo_r	ˈoə̯	1.0
ˈe_r	ˈɛː	1.0
ˈe_j	ˈɛi̯	1.0
ʦ	ʦ	1.0
ʣ	z	1.0
ɣ_ə	χ	1.0
ɡ_ə	ə	1.0
ɡ	ɡ	1.0
ə_r	r	1.0
ə_n	ə_n	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
x	χ	1.0
v	-	1.0
tː	t	1.0
t_ə	t	1.0
s_j	ɕ	1.0
s	s	1.0
r_ə	r	1.0
pː	p	1.0
p	p	1.0
nː	n	1.0
n_ə	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_ˈi	l_ˈɪ	1.0
l_ə	l	1.0
kː	-	1.0
k	k	1.0
j	j	1.0
iː	ɪ	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
dː	d	1.0
d_ə	ə	1.0
bː	v	1.0
b	b	1.0
a	ə	1.0
n	n	0.957
l	l	0.941
t	t	0.925
r	r	0.873
ə	ə	0.823
ˈaː	ˈɪə̯	0.763
e	ə	0.743
ˈoː	ˈuə̯	0.73
ɣ	ɣ	0.663
ˈi	ˈɪ	0.653
w	ʋ	0.637
d	d	0.63
ˈi̯uː	j	0.596
ˈo	ˈɔ	0.587
θ	t	0.586
ˈuː	ˈuː	0.569
ˈi̯aː	ˈiə̯	0.566
ˈeː	ˈiə̯	0.545
z	s	0.525
ˈɔː	ˈa	0.5
ɡː	χ	0.5
ɡː	ɣ	0.5
ð	d	0.5
ð	-	0.5
z	z	0.475
ˈɛː	ˈiə̯	0.455
ˈiː	ˈiː	0.435
ˈu	ˈɔ	0.426
ˈo	ˈoə̯	0.413
ˈa	ˈa	0.413
ˈiː	ˈi	0.369
ɣ	-	0.337
ˈa	ˈaː	0.298
w	v	0.281
d	d̥	0.275
ˈoː	-	0.27
ˈu	ˈu	0.26
ˈi̯aː	ˈɪə̯	0.26
e	-	0.257
ˈe	ˈɛ	0.251
ˈɔː	ˈɔː	0.25
ˈɔː	ˈoə̯	0.25
ˈuː	-	0.241
ˈaː	-	0.237
ˈi̯uː	-	0.215
ˈu	-	0.203
ˈe	ˈɪ	0.202
ˈeː	-	0.197
ˈiː	j	0.196
ˈuː	ˈoː	0.19
ˈi̯uː	ˈøə̯	0.189
θ	d̥	0.187
ˈɛː	ˈɪ	0.185
ˈɛː	-	0.184
ˈi	ˈi	0.18
ˈɛː	ˈɪə̯	0.177
ˈi̯aː	ˈiː	0.174
ˈi	ˈiː	0.167
ə	-	0.165
ˈe	ˈa	0.154
θ	ʦ	0.151
ˈa	ˈɔː	0.145
r	-	0.127
ˈe	ˈaː	0.117
ˈa	ˈɪə̯	0.111
ˈu	ˈɪ	0.11
d	-	0.095
ˈeː	ˈø	0.092
w	-	0.082
ˈe	-	0.078
ˈe	ˈɪə̯	0.077
θ	-	0.076
ˈeː	ˈɛ_j	0.075
t	-	0.075
ˈe	ˈɛː	0.063
ˈeː	ˈaː	0.062
l	-	0.059
