Ukrainian	Standard Croatian	probability
ʧʲ	ʧ	1.0
ʦʲ	ʦ	1.0
ʦ	ʦ	1.0
ʒʲ	ʒ	1.0
ʒ	ʒ	1.0
ʍ	-	1.0
ʃʲ	ʃ	1.0
ɦʲ	ʎ	1.0
ɦ_ɔ	ɡ	1.0
ɔ_ɫ	l	1.0
ɔ_r	r	1.0
zʲ	z	1.0
z	z	1.0
x	x	1.0
w_u	u	1.0
w	ʋ	1.0
tʲ	t	1.0
t	t	1.0
sʲ	s	1.0
rʲ	r	1.0
r_ɑ	r_a	1.0
r_e	a_r	1.0
pʲ	p	1.0
p	p	1.0
n_ɑ	n_a	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
kʲ	k	1.0
j_ɑ	eː	1.0
j_ɐ	eː	1.0
i_m	m	1.0
dʲ	d_j	1.0
d	d	1.0
bʲ	b	1.0
b	b	1.0
a	a	1.0
s	s	0.913
k	k	0.858
ʋ	ʋ	0.853
ɦ	ɡ	0.834
ɫ	l	0.827
e	-	0.776
ˈ	̂	0.757
ʋʲ	ʋ_j	0.73
nʲ	n	0.712
ɑ	a	0.708
u	uː	0.705
r	r	0.619
ɔ_ˈ	̂	0.606
ɪ_ˈ	i	0.596
ʊ	uː_̌	0.565
ɛ_ˈ	a	0.562
ɛ	e	0.474
ɪ	i	0.441
ɛ_ˈ	̂	0.438
ʊ	uː	0.435
ɪ_ˈ	̂	0.404
ʧ	ʨ	0.398
ɛ	r̩	0.394
ɔ_ˈ	a	0.394
lʲ	l	0.368
ɔ	o	0.364
lʲ	l_j	0.364
ɐ	eː	0.348
ɐ	-	0.348
ʧ	-	0.319
r	-	0.314
ɐ	a	0.304
i	e	0.301
u	u	0.295
nʲ	ɲ	0.288
ɪ	-	0.285
ʧ	ʧ	0.283
ɪ	iː	0.275
ʋʲ	ʋ	0.27
e	e_̌	0.224
ɔ	a	0.222
ˈ	-	0.178
i	oː	0.177
ɦ	-	0.166
i	eː	0.165
i	j_eː	0.162
lʲ	ʎ	0.15
ʋ	-	0.147
k	-	0.142
ɑ	aː	0.138
ɛ	a	0.132
lʲ	-	0.117
i	o	0.109
ɔ	uː	0.108
ɔ	-	0.1
ɫ	-	0.097
s	s_a	0.087
ɑ	eː	0.086
ɔ	aː	0.082
ɫ	o	0.076
ɑ	e	0.068
r	r̩ː_̂	0.067
ˈ	̌	0.065
ɔ	oː	0.059
