Swabian	Danish	probability
a	ə	0.593
a	-	0.232
a	wˀ	0.061
b	b̥	0.549
b	-	0.265
b	w	0.104
b	b̥_j	0.06
b̥͡f	b̥	1.0
d	-	0.275
d	ð̞ˠ	0.21
d	d̥	0.178
d	ʦʰ	0.152
d	t	0.113
d	nˀ	0.069
e	-	0.86
e	ɐ	0.14
eə̯	n	1.0
f	f	0.601
f	-	0.182
f	b̥	0.159
f	p	0.059
h	h	0.817
h	j	0.183
i	ə	1.0
j	ˈɔˀ	0.823
j	ˈɔ	0.177
kʰ	kʰ	0.908
kʰ	-	0.092
l	l	0.794
l	lˀ	0.17
m	m	0.78
m	-	0.162
m	mˀ	0.058
n	n	0.605
n	-	0.165
n	nˀ	0.152
p͡f	ð̞ˠ	1.0
s	s	0.64
s	ð̞ˠ	0.306
s	-	0.054
t	-	0.395
t	j	0.395
t	ð̞ˠ	0.21
x	t	0.485
x	-	0.279
x	w	0.2
ç	-	0.314
ç	k	0.265
ç	s	0.218
ç	j	0.203
ŋ	ŋ	0.461
ŋ	ŋˀ	0.459
ŋ	-	0.08
ɐ	n	1.0
ə	ə	1.0
ɡ	ɡ̊	0.371
ɡ	-	0.365
ɡ	j	0.111
ɡ	k	0.105
ɪ	e	0.5
ɪ	i	0.5
ʁ	ʁ	0.845
ʁ	-	0.057
ʃ	s_k	0.511
ʃ	s	0.467
ʋ	ʋ	0.751
ʋ	-	0.098
ʋ	ˈœ	0.054
ʋ	ˈo	0.054
ʌ	ɐ	0.482
ʌ	-	0.234
ʌ	ˈi	0.15
ʕ	-	1.0
ʦ	ʦʰ	0.737
ʦ	t	0.189
ʦ	-	0.073
ˈa	ˈa	0.265
ˈa	ˈɑ	0.208
ˈa	ˈɛ	0.105
ˈa	ˈɛː	0.058
ˈa	ˈʌ	0.057
ˈa	ˈaː	0.056
ˈae̯	ˈɑ	0.35
ˈae̯	ˈœ	0.161
ˈae̯	ˈuː	0.124
ˈae̯	ˈuˀ	0.112
ˈae̯	ˈiˀ	0.094
ˈae̯	ˈɛ	0.069
ˈae̯	ˈɔˀ	0.062
ˈao̯	ˈuˀ	0.46
ˈao̯	ˈuː	0.184
ˈao̯	ˈœˀ	0.096
ˈao̯	ˈʌ	0.072
ˈao̯	ˈɔ	0.063
ˈaː	ˈɔˀ	0.225
ˈaː	ˈa	0.177
ˈaː	ˈiː	0.128
ˈaː	ˈɑ	0.128
ˈaː	ˈɑː	0.128
ˈaː	ˈʌ	0.128
ˈaː	ˈæˀ	0.088
ˈe	ˈe	0.431
ˈe	ˈœ	0.162
ˈe	ˈiˀ	0.161
ˈe	ˈɛ	0.156
ˈe	ˈʌ	0.09
ˈeə̯	ˈiˀ	0.494
ˈeə̯	ˈuˀ	0.388
ˈeə̯	ˈœˀ	0.117
ˈeː	ˈøː	0.371
ˈeː	ˈʌ	0.197
ˈeː	ˈe	0.175
ˈeː	ˈeː	0.106
ˈeː	ˈɑ	0.097
ˈeː	ˈeˀ	0.053
ˈi	ˈe	0.264
ˈi	ˈiː	0.188
ˈi	j	0.128
ˈi	ˈiˀ	0.127
ˈi	ʋ	0.1
ˈi	ˈy	0.074
ˈi	ˈyˀ	0.068
ˈiə̯	ˈyˀ	0.402
ˈiə̯	ˈyː	0.233
ˈiə̯	ˈœ	0.231
ˈiə̯	ˈœˀ	0.134
ˈiː	ˈyː	0.479
ˈiː	ˈyˀ	0.404
ˈiː	ˈi	0.117
ˈo	ˈu	0.341
ˈo	ˈɔː	0.209
ˈo	ˈɔ	0.15
ˈo	ɐˀ	0.062
ˈo	ˈœ	0.062
ˈo	-	0.06
ˈo	ˈʌ	0.051
ˈoː	ˈeˀ	0.237
ˈoː	ˈœˀ	0.213
ˈoː	ˈʌ	0.143
ˈoː	ˈøː	0.111
ˈoː	ˈɔː	0.082
ˈoː	ˈɒˀ	0.07
ˈoː	ˈɒ	0.053
ˈu	ˈœ	0.58
ˈu	ˈoː	0.21
ˈu	ˈy	0.12
ˈu	ˈɔ	0.09
ˈuə̯	ˈoˀ	0.569
ˈuə̯	ˈøː	0.289
ˈuə̯	ˈo	0.142
ˈuː	ˈoˀ	0.5
ˈuː	ˈu	0.5
ˈɔ	ˈʌ	0.325
ˈɔ	ˈoː	0.17
ˈɔ	ˈœˀ	0.17
ˈɔ	ɐˀ	0.158
ˈɔ	ˈu	0.109
ˈɔ	ˈɛ	0.067
ˈɔe̯	ˈeˀ	0.594
ˈɔe̯	ˈeˀ_n	0.242
ˈɔe̯	ˈɛˀ	0.12
ˈɔə̯	ˈʌ	1.0
ˈɔː	-	0.192
ˈɔː	ˈa	0.183
ˈɔː	ˈɒˀ	0.176
ˈɔː	ˈɒː	0.176
ˈɔː	ˈɛː	0.106
ˈɔː	ˈɛ	0.093
ˈɔː	ˈɔˀ	0.075
ˈəi̯	ˈiˀ	0.413
ˈəi̯	ˈiː	0.245
ˈəi̯	ˈyˀ	0.208
ˈəi̯	ˈɛ	0.084
ˈɛ	ˈɛ	0.375
ˈɛ	ˈe	0.237
ˈɛ	ˈœː	0.08
ˈɛ	ˈa	0.08
ˈɛː	ˈeˀ	0.439
ˈɛː	ˈiˀ	0.252
ˈɛː	ˈœˀ	0.154
ˈɛː	ˈɑˀ	0.154
ˈɪ	ˈe	0.657
ˈɪ	ˈø	0.18
ˈɪ	ˈœ	0.105
ˈɪ	ˈeˀ	0.057
ˈʌ	ˈɛ	0.683
ˈʌ	ˈi	0.317
