Sixian	Sixian	probability
ʨ	ʦ	1.0
ʦ	ʦ	1.0
ɨ	i	1.0
ɕ	s	1.0
ŋ	ŋ	1.0
³¹	²¹	1.0
v	w	1.0
u_k̚	y	1.0
t̚_²	²⁴	1.0
t	t	1.0
p̚	-	1.0
p	p	1.0
o_k̚	ɔ	1.0
o_j	ɛ	1.0
l	l	1.0
k̚_⁵	⁴²	1.0
k	k	1.0
j_u	j_u	1.0
i_t̚	i	1.0
e_w	e	1.0
e_t̚	ɛ	1.0
a_m	a_ŋ	1.0
a_k̚	a	1.0
<#_ŋ	<#_ŋ	1.0
<#_h_o	<#_ɔ	1.0
<#_f	<#	1.0
<#	<#_t	1.0
s	s	0.818
²	²⁴	0.8
m	m	0.8
²⁴	⁵⁴	0.795
ʦʰ	ʦʰ	0.778
ɲ	n	0.75
n	ŋ	0.704
f	x	0.7
w	w	0.667
tʰ	tʰ	0.667
a	a	0.632
¹¹	³³	0.618
⁵	⁴²	0.6
pʰ	p	0.6
⁵⁵	⁵⁵	0.571
h	x	0.571
ʨʰ	ʦʰ	0.5
ʨʰ	ʦ	0.5
kʰ	kʰ	0.5
kʰ	k	0.5
i	i	0.5
h	kʰ	0.429
j	-	0.407
⁵	-	0.4
pʰ	pʰ	0.4
u	ɔ	0.385
¹¹	²¹	0.382
⁵⁵	³³	0.333
w	-	0.333
tʰ	t	0.333
o	ɔ	0.3
f	p	0.3
e	j_a	0.273
e	j	0.273
e	i	0.273
u	u	0.269
ɲ	-	0.25
i	e	0.25
ʦʰ	t	0.222
n	j_ŋ	0.222
j	y	0.222
²	⁴²	0.2
o	a_w	0.2
m	j_ŋ	0.2
s	ʦ	0.182
e	a_j	0.182
a	u_j	0.158
o	o	0.15
o	a	0.15
i	y	0.15
j	ɛ	0.148
j	j	0.148
²⁴	²¹	0.128
u	y	0.115
a	w	0.105
a	a_j	0.105
o	y	0.1
o	j	0.1
i	œ	0.1
⁵⁵	-	0.095
²⁴	³³	0.077
u	ɥ	0.077
u	œ_ɥ	0.077
u	j_u	0.077
n	n	0.074
j	œ	0.074
