Bavarian	Bavarian	probability
β	-	1.0
ˈuɐ̯_#>	ˈaʊ̯_#>	1.0
ˈou̯	ˈaʊ̯	1.0
ˈiː	-	1.0
ˈiɐ̯_s	ˈɔʏ̯_d	1.0
ˈiɐ̯	ˈaɪ̯	1.0
ˈi_m	ˈiː	1.0
ˈeː_s	ˈɛː	1.0
ˈeɐ̯	-	1.0
ˈa	-	1.0
ʋ_ˈo	v	1.0
ʋ_ˈi	v	1.0
ɡ̊_ə	i	1.0
ɡ̊_s	s	1.0
ə	-	1.0
ɑ	-	1.0
ɐ_ʦ	ˈa_d	1.0
ŋ_ɡ̊	ŋ	1.0
ŋ_a	ŋ	1.0
ç	ɡ	1.0
x_d̥	ç	1.0
s_n	d_n	1.0
n_d̥	n	1.0
m_a	m	1.0
m	m	1.0
kʰ	kʰ	1.0
j_d̥	l_d	1.0
i	-	1.0
h	h	1.0
f_a	b_m	1.0
f_#>	b_#>	1.0
f	f	1.0
eɐ̯	aɪ̯	1.0
d̥_n	d	1.0
d̥_a	ɐ	1.0
b̥_#>	f_#>	1.0
b̥	b	1.0
<#_ˈo	<#_ˈaʊ̯	1.0
n	n	0.936
l	l	0.917
ʋ	v	0.9
j	l	0.882
ʃ	ʃ	0.852
d̥	d	0.831
a	ɐ	0.818
r	r	0.815
ˈau̯	ˈuː	0.8
ˈɑ	ˈa	0.778
ˈuɐ̯	ˈaʊ̯	0.75
ˈoɐ̯	ˈaɪ̯	0.75
ɐ	ɐ	0.733
ˈi	ˈɪ	0.682
ˈɑː	ˈoː	0.667
ˈoː	ˈoː	0.667
ˈaː	-	0.667
ʦ	tʰ	0.643
#>	n_#>	0.636
ɡ̊	ɡ	0.609
x	ɡ	0.571
ˈai̯	ˈiː	0.55
ˈeː	-	0.538
ŋ	ŋ	0.538
ɡ̊_a	ɡ_n	0.5
ɡ̊_a	ç	0.5
n_a	n_n	0.5
n_a	n	0.5
b̥͡v̥	pʰ	0.5
b̥͡v̥	b	0.5
ˈe	-	0.476
s	z	0.463
x	x	0.429
ˈɒː	ˈoː	0.417
ˈɒː	ˈa	0.417
ˈɑː	-	0.333
ˈu	ˈʊ	0.333
ˈoː	-	0.333
ˈaː	ˈaʊ̯	0.333
ˈeː	ˈaɪ̯	0.308
ŋ	n	0.308
ˈo	ˈʊ	0.3
ˈu	ˈʏ	0.286
ɐ	ˈaː	0.267
ˈuɐ̯	ˈɔʏ̯	0.25
ˈoɐ̯	ˈɪ	0.25
ˈo	ˈaʊ̯	0.25
ˈai̯	-	0.25
s	d	0.244
ˈu	-	0.238
ˈɑ	ˈoː	0.222
ɡ̊	ç	0.217
ʦ	d	0.214
ˈo	ˈɔ	0.2
ˈau̯	-	0.2
ˈai̯	ˈyː	0.2
ˈe	ˈeː	0.19
a	n	0.182
#>	ɐ_#>	0.182
#>	ç_#>	0.182
s	z̥	0.171
ˈɒː	-	0.167
ˈeː	ˈeː	0.154
ŋ	ɡ_n	0.154
ˈo	ˈa	0.15
ʃ	s	0.148
ˈu	ˈɔ	0.143
ˈe	ˈɛ	0.143
ʦ	t	0.143
ˈi	-	0.136
ɡ̊	x	0.13
j	ʒ	0.118
r	-	0.111
ˈo	-	0.1
ʋ	v_ˈɪ	0.1
ˈe	ˈœː	0.095
ˈe	ˈoː	0.095
d̥	t	0.092
ˈi	ˈʏ	0.091
ˈi	ˈiː	0.091
l	l_ˈaʊ̯	0.083
r	ɐ	0.074
s	t	0.073
n	-	0.064
