Macedonian	Polish	probability
b	b	1.0
f	f	1.0
i	ɨ	1.0
j	j	1.0
l	l	1.0
u	ɛ	1.0
ʃ	ʂ	1.0
ʒ	ʐ	1.0
ʦ	ʦ	1.0
ʧ	ʈ͡ʂ	1.0
ˈu	ˈu	1.0
a	-	0.091
d	ʥ	0.321
r	ʂ	0.081
t	ɲ_ʨ	0.181
ɛ	-	0.311
ɛ	ɛ	0.421
ɫ	w	0.771
ˈa	ˈɛ	0.181
s	s	0.452
ɛ	ɛ_w̃	0.052
ɡ	ɡ	0.852
r	ʐ	0.13
s	ɕ	0.43
a	a	0.884
k	k_i	0.074
m	m	0.574
n	n_ɨ	0.194
p	m_p	0.074
t	ʨ	0.194
ɡ	ʨ_#>	0.054
ɫ	w_ɨ	0.074
ɫ	l	0.154
ˈi	ˈi	0.294
ˈo	ˈɔ	0.574
ˈr̩	ˈɛ_r	0.194
n	ɲ	0.345
o	-	0.245
o	ɔ	0.755
t	t	0.625
z	z	0.275
ˈa	ˈɔ	0.625
ˈo	ˈɛ	0.095
ˈɛ	ɛ	0.075
k	k	0.926
m	m_j	0.426
n	n	0.46
p	p	0.926
ˈa	ˈu	0.076
ˈi	ˈɨ	0.706
ˈr̩	ˈa_r	0.806
ˈɛ	ˈa	0.196
ˈɛ	ˈɛ	0.466
v	v_j	0.477
v	v	0.507
z	w̃_z	0.227
ɛ	ˈɔ	0.087
z	ʑ	0.498
ɡ	ɨ_#>	0.08
ˈa	ˈa	0.118
ˈo	ˈu	0.238
d	d	0.679
r	r	0.789
s	<#_j	0.079
ɛ	j	0.129
ˈɛ	ˈɔ	0.179
