Luxembourgish	Yiddish	probability
b	b	1.0
d	d	0.509
d	t	0.451
e	-	0.714
e	ɪ	0.286
f	f	0.979
h	h	1.0
j	j	1.0
k	k	0.853
k	ɡ	0.147
kʰ	k	1.0
l	l	0.972
m	m	1.0
n	n	0.917
n	ɡ_n	0.066
p	p	0.772
p	f	0.228
s	s	0.558
s	z	0.442
t	t	0.771
t	d	0.156
t	-	0.06
v	v	0.802
v	b	0.198
w	v	1.0
z	z	0.968
ŋ	ŋ	0.612
ŋ	n	0.363
ɐ	ə	0.519
ɐ	ʀ	0.429
ɕ	χ	0.815
ɕ	k	0.131
ɕ	ɡ	0.054
ə	-	0.765
ə	ə	0.214
ɡ	ɡ	0.97
ʀ	ʀ	1.0
ʃ	ʃ	0.89
ʃ	s	0.08
ʑ	ɡ	1.0
ʦ	ʦ	1.0
ˈaː	ˈa	0.467
ˈaː	ˈɔ	0.283
ˈaː	ˈɔɪ̯	0.222
ˈe	ˈɪ	0.552
ˈe	ˈaɪ̯	0.228
ˈe	ˈɛ	0.221
ˈeː	ˈɛɪ̯	0.674
ˈeː	ˈɛ	0.219
ˈeː	ˈɔɪ̯	0.107
ˈi	ˈɛ	0.607
ˈi	ˈɪ	0.325
ˈi	ˈʊ	0.068
ˈiə̯	ˈɛ	1.0
ˈiː	ˈɪ	0.415
ˈiː	ˈa	0.207
ˈiː	ˈɛ	0.193
ˈiː	ˈaɪ̯	0.095
ˈiː	-	0.09
ˈo	ˈʊ	0.714
ˈo	ˈɔ	0.271
ˈoː	ˈɔ	0.882
ˈoː	ˈɛɪ̯	0.118
ˈu	ˈʊ	0.553
ˈu	ˈɔ	0.397
ˈu	ˈɔɪ̯	0.05
ˈuə̯	ˈɔ	0.444
ˈuə̯	ˈa	0.4
ˈuə̯	ˈɔɪ̯	0.156
ˈuː	ˈɔ	0.669
ˈuː	ˈʊ	0.331
ˈæ	ˈɛ	0.505
ˈæ	ˈa	0.495
ˈæːɪ̯	ˈaɪ̯	1.0
ˈæːʊ̯	ˈɔɪ̯	1.0
ˈɑ	ˈɪ	0.491
ˈɑ	ˈa	0.428
ˈɑ	ˈɔ	0.082
ˈɑɪ̯	ˈaɪ̯	0.746
ˈɑɪ̯	ˈɪ	0.139
ˈɑɪ̯	ˈʊ	0.115
ˈɑʊ̯	ˈɔɪ̯	1.0
ˈɔ	ˈɔɪ̯	0.5
ˈɔ	ˈʊ	0.5
ˈə	ˈɪ	0.674
ˈə	ˈɛ	0.228
ˈə	ˈaɪ̯	0.085
ˈəʊ̯	ˈɔɪ̯	0.622
ˈəʊ̯	ˈɔ	0.257
ˈəʊ̯	ˈʊ	0.12
ˈɛ	ˈɛ	0.742
ˈɛ	ˈɛɪ̯	0.258
ˈɛː	ˈɛ	0.75
ˈɛː	ˈa	0.25
ˈɜɪ̯	ˈɪ	0.458
ˈɜɪ̯	ˈɛɪ̯	0.188
ˈɜɪ̯	ˈɛ	0.156
ˈɜɪ̯	ˈɔɪ̯	0.119
ˈɜɪ̯	ˈaɪ̯	0.078
ˈʊ	ˈʊ	1.0
χ	χ	0.84
χ	ɡ	0.16
