Gallurese	Gallurese	probability
ˈɔ_r	ˈo_ɾ	1.0
ˈɔ_cː	ˈu_ʎ	1.0
ˈɔ_a	ˈo_β	1.0
ˈa_z	ˈa_s	1.0
ˈa_i	ˈa_t	1.0
ʦː	θ	1.0
ʦ	-	1.0
ʣ	-	1.0
ʒ	-	1.0
ʃː	ʃ	1.0
ɟ	ʧ	1.0
ɔ	o	1.0
ŋ	ŋ	1.0
z_u	z	1.0
v_i	b_e	1.0
v	b	1.0
u_#>	#>	1.0
tː_i	j	1.0
rː	ɾ_n	1.0
r_ˈa	ɾ_ˈa	1.0
r_a	ɾ_a	1.0
r	ɾ	1.0
pː	-	1.0
p_u	p_o	1.0
p_j	p_l	1.0
p_a	β	1.0
n_t	ˈe_n	1.0
mː	m	1.0
l_u	l_o	1.0
l_t	t_ɾ	1.0
kː	-	1.0
i_#>	#>	1.0
fː	f	1.0
f	f	1.0
e	-	1.0
cː	ʎ	1.0
c	k_l	1.0
bː	β	1.0
a_t	a_ð	1.0
a_r	ɾ	1.0
a_#>	#>	1.0
<#_ˈu	<#	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_θ	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_a	<#_a	1.0
a	a	0.971
n	n	0.936
<#_l	<#_l	0.895
m	m	0.875
k	k	0.87
p	p	0.867
ˈa	ˈa	0.86
ʧ	θ	0.846
u	o	0.824
s	s	0.778
b	b	0.778
ɲː	ɲ	0.714
ˈɔ	w_ˈe	0.7
#>	ɾ_#>	0.7
ˈu	ˈu	0.69
t	t	0.654
ɖː	ʎ	0.647
ˈɛ	ˈe	0.64
sː	s	0.6
o	o	0.6
ɡ	ɣ	0.545
d	d	0.538
ˈi	ˈi	0.512
ɟː	ð	0.5
ɟː	-	0.5
nː	ɲ	0.5
nː	n	0.5
l	ɾ	0.5
l	l	0.5
<#	<#_ɡ	0.5
<#	<#_a	0.5
ɡ	ɡ	0.455
tː	t	0.417
tː	j_t	0.417
ˈo	ˈo	0.4
ˈo	w_ˈe	0.4
ˈe	ˈe	0.4
ˈe	j_ˈe	0.4
sː	ʃ	0.4
o	u	0.4
j	l	0.4
i	e	0.385
ɖː	l	0.353
ˈu	ˈo	0.31
ˈi	ˈe	0.302
ˈɔ	ˈo	0.3
j	s	0.3
j	-	0.3
ɲː	-	0.286
t	ð	0.269
ˈɛ	j_ˈe	0.24
d	ð	0.231
s	e_s	0.222
b	β	0.222
ˈo	w	0.2
ˈe	ˈe_ɾ	0.2
tː	ð	0.167
ʧ	-	0.154
i	i	0.154
d	-	0.154
p	β	0.133
m	m_b	0.125
ˈɛ	j	0.12
<#_l	<#	0.105
i	w	0.103
#>	ˈe_ɾ_#>	0.1
#>	n_#>	0.1
#>	e_#>	0.1
ˈi	ˈi_ɾ	0.093
ˈi	e	0.093
ˈa	ˈe	0.088
k	ɣ	0.087
t	-	0.077
i	ˈi	0.077
i	o_s	0.077
i	o	0.077
i	-	0.077
d	ʝ	0.077
u	e	0.066
n	-	0.064
ˈa	ɾ	0.053
i	b_ɾ	0.051
