Catalan	Catalan	probability
ˈi_#>	e_#>	1.0
ˈa_ɾ	ˈa_t	1.0
ˈa_#>	ˈa_#>	1.0
ʧ	sː	1.0
ʤ	d	1.0
ʎ_#>	lː_u_#>	1.0
ɾ_ˈɛ	r_ˈɛ	1.0
ɲ_ə	ɲ_u	1.0
ə_β	a_p	1.0
ə_ð	a_t	1.0
ə_s	ʃ	1.0
ə_l	a_l	1.0
ə_#>	#>	1.0
ð_ə	t_a	1.0
ð	t	1.0
w_ˈa	w_ˈa	1.0
w_ɾ	d	1.0
t_#>	#>	1.0
r_t	r_t	1.0
r_n	r_n	1.0
p	p	1.0
n_d	n	1.0
mː	tː_i_m	1.0
m_#>	m_e_#>	1.0
k_l	c	1.0
j_t	tː	1.0
j	-	1.0
d	d	1.0
a	a	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_l	1.0
<#_u	<#_o	1.0
<#_t	<#_t	1.0
<#_s	<#_ʧ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#	<#_ˈa	1.0
f	f	0.958
ˈa	ˈa	0.941
m	m	0.935
n	n	0.905
k	k	0.902
r	r	0.882
ˈi	ˈi	0.848
ɾ	r	0.821
ʒ	ɟ	0.8
ɡ	ɡ	0.8
u	u	0.8
ɾ_ə	r_u	0.778
i	i	0.778
ˈɔ	ˈɔ	0.763
ˈu	ˈu	0.714
s	s	0.706
ə	a	0.685
ŋ	ŋ	0.667
n_#>	n_t_u_#>	0.667
t	t	0.655
l_#>	l_u_#>	0.636
ɣ	k	0.6
ˈɛ	ˈɛ	0.571
ɲ	ɲ	0.571
s_#>	#>	0.571
ˈe	ˈɛ	0.553
β	v	0.5
ʃ	ʃː	0.5
ʃ	ʃ	0.5
z	z	0.5
z	-	0.5
b	v	0.5
<#_ə	<#_a	0.5
<#_ə	<#	0.5
ˈo	ˈɔ	0.458
#>	u_#>	0.449
b	b	0.438
ɲ	ɲ_u	0.429
s_#>	i_#>	0.429
l_#>	l_e_#>	0.364
l	l	0.364
ʎ	ʎ	0.333
ʎ	c	0.333
ŋ	ŋ_ɡ	0.333
n_#>	n_t_e_#>	0.333
l	j	0.318
ˈɛ	ˈe	0.314
t	tː	0.31
#>	e_#>	0.296
ˈe	ˈe	0.289
l	lː	0.227
ʎ	lː	0.222
ɾ_ə	e	0.222
i	-	0.222
ˈo	ˈo	0.208
ɣ	ɡ	0.2
ɣ	-	0.2
ɡ	ɟ	0.2
u	ˈɔ	0.2
β	p	0.188
β	b	0.188
ˈɔ	ˈo	0.184
ˈu	ˈo	0.179
ˈo	ˈu	0.167
ʒ	ʤ	0.133
w	ʧ_e	0.13
w	ʦː_u	0.13
w	v_e	0.13
w	e	0.13
w	-	0.13
β	p_e	0.125
#>	n_u_#>	0.122
r	rː	0.118
ə	e	0.117
ʎ	u	0.111
ˈu	ˈɔ	0.107
ɾ	e_r	0.107
ˈe	ˈa	0.105
k	kː	0.098
n	nː	0.095
ˈi	ˈe	0.091
l	-	0.091
ə	i	0.09
w	w	0.087
w	v_u	0.087
w	u	0.087
w	b_e	0.087
ˈo	ˈɔ_n	0.083
ˈo	ˈo_r	0.083
ɾ	-	0.071
ʒ	ʣ	0.067
b	-	0.062
ˈi	-	0.061
ˈa	ˈa_n	0.059
s	ʧː	0.059
s	ʦ	0.059
s	sː	0.059
ˈɛ	ˈɔ_ʧ	0.057
ˈɛ	-	0.057
ˈɔ	ˈɔ_r	0.053
ˈe	-	0.053
#>	a_#>	0.051
