Romanian	Italian	probability
a	a	0.908
a	ˈa	0.092
b	b	0.702
b	-	0.104
b	m	0.092
b	p	0.062
d	d	0.971
e	e	0.739
e	a	0.076
e	o	0.074
e̯ˈa	ˈe	0.717
e̯ˈa	j	0.199
e̯ˈa	ˈɛ	0.084
f	f	0.889
f	b	0.078
i	e	0.276
i	i	0.215
i	j	0.187
i	l	0.151
i	-	0.058
i	ˈe	0.058
i	a	0.054
j	-	0.439
j	j	0.285
j	ɲ	0.098
j	ʎ	0.065
k	k	0.731
k	ɡ	0.139
k	k_o	0.08
kʲ	k	1.0
l	l	0.822
l	j	0.153
m	m	0.705
m	ɲ	0.114
m	-	0.09
n	n	0.792
n	-	0.076
n	ŋ	0.062
n	ɲ	0.051
nʲ	n	1.0
o	o	0.595
o	e	0.247
o	-	0.159
o̯ˈa	ˈɔ	0.531
o̯ˈa	ˈo	0.259
o̯ˈa	ˈu	0.071
o̯ˈa	ˈa	0.063
o̯ˈa	o	0.059
p	p	0.637
p	t	0.147
p	p_o	0.072
p	k	0.055
r	r	0.777
r	-	0.071
r	l_o	0.058
s	s	0.736
s	-	0.188
s	s_o	0.053
t	t	0.627
t	t_o	0.191
t	-	0.063
t	ʃ	0.054
u	o	0.484
u	e	0.115
u	r_o	0.077
u	ˈo	0.075
u	l_o	0.071
u	ˈu	0.071
v	v	1.0
w	o	0.641
w	-	0.129
w	v_o	0.092
w	v	0.06
z	d	0.62
z	v	0.281
z	ʣ	0.05
ŋ	ŋ	0.801
ŋ	-	0.1
ŋ	ʤ	0.1
ə	a	0.643
ə	e	0.181
ə	o	0.051
ɡ	ɡ	0.88
ɡ	-	0.12
ɨ	-	0.313
ɨ	w	0.313
ɨ	ˈɛ	0.245
ɨ	ˈa	0.128
ʃ	s	0.606
ʃ	ʃ	0.346
ʒ	ʤ	0.576
ʒ	j	0.424
ʤ	ʤ	0.69
ʤ	-	0.268
ʦ	t	0.355
ʦ	ʤ	0.221
ʦ	ʦ	0.214
ʦ	ʧ	0.14
ʦ	-	0.071
ʦʲ	t	1.0
ʧ	ʧ	0.627
ʧ	-	0.221
ʧ	d	0.093
ʧ	k	0.059
ʧʲ	s	0.402
ʧʲ	n_t	0.348
ʧʲ	k	0.25
ˈa	ˈa	0.699
ˈa	ˈɛ	0.177
ˈe	ˈɛ	0.485
ˈe	ˈe	0.31
ˈe	-	0.073
ˈe	ˈi	0.066
ˈi	ˈi	0.529
ˈi	ˈɛ	0.224
ˈi	-	0.106
ˈi	ˈe	0.082
ˈo	ˈɔ	0.403
ˈo	ˈo	0.212
ˈo	ˈu	0.171
ˈo	w_ˈɔ	0.112
ˈo	e	0.082
ˈu	ˈo	0.401
ˈu	ˈu	0.323
ˈu	w_ˈɔ	0.147
ˈu	ˈɔ	0.093
ˈə	a	0.511
ˈə	ˈe	0.489
ˈɨ	ˈa	0.822
ˈɨ	ˈe	0.062
ˈɨ	ˈɛ	0.058
