Piedmontese	Megleno-Romanian	probability
b	b	1.0
f	f	1.0
w	l	1.0
ˈy	ˈu	1.0
ˈɔ	ˈo	1.0
j	ʎ_u	0.131
ɡ	ɡ	0.331
ˈu	o̯ˈa	0.061
j	e̯ˈa	0.162
j	l	0.222
r	r	0.772
s	ʦ	0.142
ˈa	ˈɔ	0.382
ˈø	ˈo	0.272
ˈø	ˈo_k	0.482
m	m	0.943
p	kʲ	0.113
s	ʃ	0.083
ʤ	-	0.353
ˈa	ˈa	0.543
a	-	0.164
e	i	0.644
j	-	0.214
n	n	0.964
v	v	0.554
ŋ	-	0.154
ɡ	k	0.254
ˈu	ˈu	0.834
d	z	0.185
d	d	0.815
i	i	0.355
i	-	0.645
j	k_ʎ	0.065
k	-	0.075
k	k	0.925
l	l	0.785
z	ʦ	0.435
z	k	0.565
ŋ	n	0.75
ɡ	-	0.415
ˈe	ˈi	0.265
ˈe	e̯ˈa	0.305
ˈu	ˈo	0.105
ˈɛ	ˈa	0.255
a	ə	0.836
e	ə	0.356
l	ʎ	0.156
r	r_u	0.066
r	-	0.146
s	s	0.776
t	ʦ	0.086
v	-	0.276
ˈe	i	0.286
ˈø	o̯ˈa	0.246
ˈɛ	ˈi	0.356
p	p	0.887
t	t	0.787
v	p	0.17
ʤ	ʒ	0.647
ˈe	ˈe	0.057
ˈe	ˈa	0.087
ˈi	ˈi	0.927
j	ʎ	0.178
t	t_i	0.079
ˈa	ˈɔ_j	0.069
ˈɛ	ˈe	0.339
