Ukrainian	Kashubian	probability
bʲ	b	1.0
kʲ	k	1.0
lʲ	l	1.0
m	m	1.0
mʲ	m_j	1.0
n	n	1.0
p	p	1.0
rʲ	ʐ	1.0
sʲ	s	1.0
tʲ	ʦ	1.0
x	x	1.0
zʲ	z	1.0
ɛ	ɛ	1.0
ʃ	ʃ	1.0
ʋ	v	1.0
ʍ	-	1.0
ʦ	ʦ	1.0
ʦʲ	ʦ	1.0
ʧ	ʧ	1.0
ˈu	ˈõ	1.0
d	ʣ	0.361
d	d	0.451
z	z	0.911
ˈi	ˈe	0.11
ˈi	ˈu	0.171
s	<#_j	0.102
t	t	0.92
w	f	0.682
ɔ	ɔ	0.242
ɫ	l	0.352
ˈɔ	ˈɛ	0.2
ˈɔ	ˈɞ	0.212
ˈɛ	j_ˈɛ	0.092
ˈɛ	ˈe	0.112
ˈɪ	ˈi	0.302
b	b	0.253
i	ˈɞ	0.413
k	ʧ	0.093
k	-	0.103
nʲ	n	0.253
r	ʂ	0.053
ˈi	ɛ	0.073
ˈɔ	w_ˈu	0.113
ˈɔ	u̯ˈɛ	0.213
ˈɪ	ə	0.13
j	i	0.74
ʋʲ	j	0.344
ˈi	u̯ˈɛ	0.054
k	k	0.805
ɐ	ˈɞ	0.195
ɦ	ɡ	0.625
ʒ	ʃ	0.495
ʒ	ʒ	0.505
ˈi	ˈɛ	0.135
j	j	0.26
ɔ	u̯ɛ	0.136
ɔ	ˈɔ	0.236
ʋʲ	v_j	0.656
ˈɛ	ˈɛ	0.796
b	p	0.747
i	e	0.587
nʲ	ɲ	0.747
ɐ	a	0.547
ɔ	-	0.057
ɦ	k	0.267
d	t	0.188
r	-	0.058
s	s	0.898
t	ʦ	0.08
w	v	0.318
ɦ	ʤ	0.108
ɫ	w	0.648
ˈɑ	a	0.658
ˈɪ	ˈə	0.568
r	r	0.889
z	ŋ_z	0.089
ɐ	ˈa	0.109
ɐ	a_ŋ	0.149
ɔ	u̯ˈɛ	0.329
ˈi	ˈɔ	0.199
ˈi	ˈa	0.259
ˈɑ	ˈa	0.329
ˈɔ	ˈu	0.059
ˈɔ	-	0.159
