Wymysorys	Alsatian	probability
ˈɪ	ˈiː	1.0
ˈɑi̯_ɛ	ˈiː	1.0
ˈi̯ø	ˈaː_ʋ	1.0
ʧ	ʃ	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ɪ	i	1.0
ɡ	ɡ̊	1.0
ɟ	j	1.0
ɛ	ə	1.0
ɑ	eː_n	1.0
ŋ_ɟ	ŋ	1.0
ç	ʃ	1.0
z	s	1.0
u_w	l	1.0
r	ʁ	1.0
n_s	n_s	1.0
l	l	1.0
h	h	1.0
f	f	1.0
d̥	d̥	1.0
c	k	1.0
b̥	-	1.0
b	b̥	1.0
s	s	0.959
a	ə	0.929
m	m	0.917
n	n	0.9
w	l	0.881
ˈø	ˈoː	0.877
d	d̥	0.849
t	t	0.834
ˈɘ̟	ˈi	0.792
ə	-	0.757
ˈei̯	ˈeː	0.728
v	ʋ	0.717
ŋ	ŋ	0.667
ˈɔ	ˈɒ	0.624
ˈu	ˈu	0.624
p	p͡f	0.608
k	kʰ	0.582
x	ʃ	0.561
ˈi	ˈiː	0.552
j	-	0.551
ˈɛ	ˈe	0.544
ˈʏ	ˈʊː	0.534
ˈɑ	ˈɒ	0.494
ˈai̯	ˈiː	0.465
ˈa	ˈəi̯	0.462
j	j	0.449
x	x	0.439
ˈɑi̯	ˈyː	0.434
p	p	0.392
ˈa	-	0.385
ˈai̯	ˈi	0.382
ŋ	n_i	0.333
ˈʏ	ˈoː	0.305
ˈei̯	ˈi	0.272
ˈi	ˈeː	0.269
ˈɛ	ˈɒ	0.266
k	k	0.262
ˈɔ	ˈɒː	0.247
ə	i	0.243
ˈu	ˈoː	0.222
v	-	0.198
ˈɑ	-	0.194
ˈɛ	-	0.19
ˈi	-	0.179
ˈɑi̯	ˈʊː	0.166
t	d̥	0.166
ˈʏ	ˈu_ʁ	0.162
k	-	0.156
ˈu	ˈo	0.154
ˈai̯	ˈei̯	0.153
ˈa	ˈei̯	0.153
d	-	0.151
ˈɔ	-	0.129
ˈɑi̯	ˈi	0.126
ˈø	ˈø	0.123
ˈɘ̟	ˈu	0.122
w	-	0.119
ˈɑ	ˈæː	0.118
ˈɑi̯	-	0.116
ˈɑi̯	ˈai̯	0.101
ˈɑ	ˈæ	0.1
n	ə	0.1
ˈɘ̟	ˈe	0.086
v	w	0.085
m	-	0.083
ˈɑ	ˈe	0.072
a	-	0.071
ˈɑi̯	ˈøi̯	0.058
