Proto-Germanic	Old English	probability
a	-	1.0
b	b	1.0
d	d	0.985
e	e	0.95
e	iːy̯	0.05
i	-	0.639
i	e	0.213
i	i	0.109
iː	e	0.806
iː	-	0.194
j	-	0.638
j	w	0.084
j	j	0.083
j	tː	0.07
j	x	0.07
j	r	0.053
jː	j	1.0
k	ʧ	0.347
k	k	0.301
k	-	0.291
k	kː	0.051
kʷ	k	1.0
kː	ʧː	0.818
kː	k	0.182
l	l	0.652
l	ɫ	0.309
lː	lː	0.569
lː	ɫ	0.431
m	m	0.961
mː	mː	1.0
n	n	0.901
n	-	0.071
nː	nː	1.0
p	p	0.933
p	pː	0.067
pː	pː	1.0
r	r	0.884
r	-	0.078
s	s	0.746
s	ʃ	0.164
sː	s	1.0
t	t	0.894
t	-	0.08
u	-	0.504
u	o	0.248
u	e	0.197
u	u	0.051
w	w	0.896
wː	ˈuː	1.0
x	h	0.583
x	-	0.096
x	ç	0.096
x	x	0.085
x	r̥	0.084
xʷ	ʍ	0.626
xʷ	-	0.374
z	-	1.0
ð	d	0.84
ð	dː	0.093
ð	-	0.067
ŋ	ŋ	0.914
ŋ	n	0.07
ɑ	-	0.485
ɑ	ɑ	0.446
ɑi̯	ˈeː	1.0
ɑː	i	1.0
ɑ̃	-	1.0
ɔː	e	0.491
ɔː	u	0.289
ɔː	-	0.161
ɔːu̯	ɑ	1.0
ɔːː	ɑ	0.614
ɔːː	e	0.311
ɔːː	a	0.075
ɔ̃ː	e	0.86
ɔ̃ː	ɑ	0.14
ɛː	o	0.833
ɛː	e	0.167
ɡ	ɡ	0.926
ɡ	-	0.074
ɡʷ	ɡ	1.0
ɣ	j	0.285
ɣ	ɡ	0.283
ɣ	ɣ	0.175
ɣ	ʤ	0.138
ɣ	-	0.054
ɸ	f	0.921
ˈe	ˈeo̯	0.403
ˈe	ˈe	0.201
ˈe	ˈi	0.112
ˈe	ˈeːo̯	0.083
ˈe	ˈu	0.065
ˈeu̯	ˈeːo̯	1.0
ˈeː	ˈeː	1.0
ˈi	ˈi	0.7
ˈi	ˈeːo̯	0.201
ˈi	ˈiː	0.053
ˈiu̯	ˈiːy̯	0.836
ˈiu̯	ˈeːo̯	0.126
ˈiː	ˈiː	0.916
ˈiː	ˈeː	0.084
ˈĩː	ˈeːo̯	1.0
ˈu	ˈu	0.421
ˈu	ˈo	0.312
ˈu	ˈy	0.147
ˈuː	ˈuː	0.745
ˈuː	ˈeː	0.152
ˈuː	ˈyː	0.104
ˈɑ	ˈɑ	0.308
ˈɑ	ˈæɑ̯	0.247
ˈɑ	ˈæ	0.135
ˈɑ	ˈoː	0.083
ˈɑ	ˈe	0.06
ˈɑi̯	ˈɑː	0.872
ˈɑi̯	ˈe	0.067
ˈɑi̯	ˈæː	0.056
ˈɑu̯	ˈæːɑ̯	0.586
ˈɑu̯	ˈiːy̯	0.328
ˈɑː	ˈɑː	1.0
ˈɔ	ˈeː	1.0
ˈɔː	ˈoː	0.464
ˈɔː	ˈeː	0.358
ˈɔː	ˈyː	0.113
ˈɔː	ˈe	0.065
ˈɛː	ˈæː	0.573
ˈɛː	ˈoː	0.291
ˈɛː	ˈæːɑ̯	0.136
β	f	0.468
β	v	0.424
β	bː	0.109
θ	θ	0.652
θ	d	0.181
θ	ð	0.166
