Neapolitan	Brazilian Portuguese	probability
a	a	0.652
a	-	0.117
a	ɐ̃	0.058
a	ɐ	0.051
b	-	0.417
b	b	0.37
b	v	0.212
d	d	0.637
d	-	0.225
d	ʤ	0.111
e	e	0.458
e	i	0.323
e	ˈi	0.196
f	f	1.0
i	-	0.245
i	i	0.208
i	e	0.155
i	ˈĩ	0.122
i	ẽ	0.121
i	ˈe	0.066
i	ˈi	0.051
j	-	0.694
j	ʒ	0.164
j	ɾ	0.075
j	j	0.055
k	k	0.549
k	ɡ	0.201
k	-	0.124
k	ʎ	0.066
k	ʃ	0.059
l	l	0.499
l	-	0.328
l	w	0.107
l	ɾ	0.06
m	m	0.775
m	-	0.214
n	n	0.443
n	j̃	0.243
n	-	0.191
n	ʤ	0.066
n	h	0.058
o	u	0.803
o	o	0.197
p	p	0.77
p	b	0.23
r	h	0.411
r	ɾ	0.318
r	-	0.271
s	s	0.575
s	ʃ	0.239
s	-	0.094
t	d	0.392
t	t	0.362
t	-	0.077
t	ʧ	0.072
t	j	0.072
u	-	0.326
u	õ	0.233
u	o	0.208
u	u	0.128
u	i	0.068
v	v	0.893
v	-	0.069
w	-	0.513
w	w	0.487
z	z	1.0
ŋ	ˈĩ	0.81
ŋ	ĩ	0.19
ə	u	0.329
ə	ɐ	0.266
ə	-	0.227
ə	i	0.122
ɡ	ɡ	1.0
ɲ	j̃	0.503
ɲ	-	0.166
ɲ	h	0.136
ɲ	j	0.123
ɲ	b	0.072
ɾ	ɾ	0.394
ɾ	-	0.375
ɾ	ɦ	0.148
ʃ	s	0.371
ʃ	ʃ	0.366
ʃ	-	0.235
ʎ	ʎ	0.467
ʎ	-	0.44
ʤ	ʒ	0.544
ʤ	-	0.188
ʤ	v	0.155
ʤ	ɾ	0.059
ʤ	z	0.054
ʦ	s	0.569
ʦ	-	0.39
ʧ	-	0.626
ʧ	k	0.245
ʧ	j	0.129
ˈa	ˈa	0.432
ˈa	ˈɐ̃	0.263
ˈa	ˈa_h	0.116
ˈa	a	0.056
ˈe	ˈe	0.64
ˈe	ˈẽ	0.184
ˈe	ˈi	0.076
ˈe	-	0.056
ˈi	ˈĩ	0.313
ˈi	ˈe	0.277
ˈi	ˈi	0.208
ˈi	ˈẽ	0.102
ˈo	ˈo	0.303
ˈo	ˈõ	0.239
ˈo	ˈũ	0.156
ˈo	-	0.145
ˈo	ˈɔ	0.092
ˈu	ˈu	0.415
ˈu	ˈo	0.158
ˈu	ˈɔ	0.122
ˈu	ˈõ	0.109
ˈu	ˈũ	0.109
ˈɔ	ˈo	0.547
ˈɔ	ˈɔ	0.246
ˈɔ	ˈõ	0.105
ˈɔ	ˈu	0.052
ˈɛ	ˈɛ	0.534
ˈɛ	ˈẽ	0.209
ˈɛ	ˈe	0.205
ˈɛ	ˈe_h	0.052
