Gascon	Gascon	probability
β_ɔ	a	1.0
β_e	f	1.0
ˈɛ_t	ˈɛ_l	1.0
ˈɛ_r	ˈɛ_r	1.0
ˈɛ_j	ˈa	1.0
ˈu_ŋ	ˈu	1.0
ˈo	ˈu_l	1.0
ˈi_ʎ	ˈø_l	1.0
ˈi_ŋ	ˈi	1.0
ˈe_ŋ	ˈe	1.0
ˈa_ŋ	ˈa	1.0
ˈa_w	ˈo	1.0
ˈa_t	ˈa_t	1.0
ˈa_m	ˈa_m	1.0
ˈa_#>	ˈa_#>	1.0
ʦ_#>	s_#>	1.0
ʤ	d	1.0
ʃ	s	1.0
ɾ_ˈe	r_ˈɛ	1.0
ɾ_e	e_r	1.0
ɣ	ɡ	1.0
ɡ_l	ʤ	1.0
ɔ_#>	#>	1.0
ð_ɔ	d_a	1.0
t_ɔ	t_a	1.0
s_t	s_t	1.0
s_#>	#>	1.0
s	s	1.0
r_k	r_k	1.0
p	p	1.0
nː	-	1.0
n_ˈa	n_ˈø	1.0
n_#>	t_#>	1.0
mː	t_m	1.0
m_#>	m_#>	1.0
m	m	1.0
l_ɔ	l_a	1.0
k_l	ʧ	1.0
k_a	k_a	1.0
k_#>	k_#>	1.0
k	k	1.0
j_ʃ	s	1.0
j_t	ʧ	1.0
i_#>	#>	1.0
i	i	1.0
e_h	f	1.0
e_#>	#>	1.0
d_ɾ	d	1.0
d	d	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_b_ˈi	<#_ˈe	1.0
<#_b	<#	1.0
<#_a_w	<#_o	1.0
<#_a_r	<#_r	1.0
<#_a	<#	1.0
ɔ	a	0.935
ɾ	r	0.905
h	f	0.889
n	n	0.87
ˈa	ˈa	0.829
b	b	0.824
ˈi	ˈi	0.818
ɲ	ɲ	0.818
t	t	0.808
ʒ	z	0.8
a	a	0.8
r	r	0.75
ð	d	0.714
ŋ	ŋ	0.7
<#_ˈa	<#_ˈa	0.667
l	j	0.615
β	-	0.6
ˈɛ	ˈe	0.583
w_ˈe	ˈø	0.571
z	z	0.556
u	o	0.545
ˈɔ	ˈɔ	0.5
ˈe_j	ˈɛ	0.5
ˈe_j	ˈɔ	0.5
ˈe	ˈɛ	0.5
w_#>	l_#>	0.5
ˈu	ˈu	0.48
ʎ	ʧ	0.455
z	-	0.444
w_ˈe	ˈɔ	0.429
β	b	0.4
l	l	0.385
e	e	0.382
j	-	0.353
ˈe	ˈe	0.333
<#_ˈa	<#	0.333
ˈy	ˈø	0.318
ˈy	ˈy	0.318
ˈɔ	ˈø	0.312
w_#>	f_#>	0.312
#>	r_#>	0.304
ŋ	n	0.3
e	-	0.294
ð	-	0.286
ˈu	ˈo	0.28
w	ˈɔ	0.273
w	l	0.273
w	-	0.273
u	-	0.273
#>	t_#>	0.261
ˈɛ	ˈɛ	0.25
j	j	0.235
ʒ	ʤ	0.2
a	e	0.2
ˈɔ	ˈo	0.188
w_#>	#>	0.188
ˈy	ˈo	0.182
ˈi	ˈe	0.182
ʎ	ʤ	0.182
ʎ	l	0.182
ʎ	j	0.182
ɲ	n	0.182
w	w	0.182
u	u	0.182
j	e	0.176
b	ʋ	0.176
#>	e_#>	0.174
ˈɛ	-	0.167
ˈu	ˈø	0.16
e	e_r	0.147
n	-	0.13
r	r_n	0.125
r	-	0.125
j	s	0.118
j	d_e	0.118
e	i	0.118
t	ʧ	0.115
ˈe	ˈi	0.111
h	z	0.111
ɾ	-	0.095
ˈy	ˈɔ	0.091
ˈy	-	0.091
#>	s_#>	0.087
#>	o_#>	0.087
#>	a_#>	0.087
ˈu	ˈɔ	0.08
t	l	0.077
ˈa	-	0.073
ɔ	n_a	0.065
e	s	0.059
ˈe	r	0.056
