Proto-Germanic	Danish	probability
θ_ɑ̃	ð̞ˠ	1.0
ˈɑː	-	1.0
ˈɑ_ŋ	ˈɑ	1.0
ˈɑ_r	ˈɑˀ	1.0
ˈɑ_m	ˈa	1.0
ˈuː_z	ˈoˀ	1.0
ˈu_ŋ	ˈɔ	1.0
ˈiu̯	ˈyˀ	1.0
ˈi_ŋ	ˈe	1.0
ɸ_#>	#>	1.0
ɣ_j	ɡ̊	1.0
ɡ_ɑ	ŋˀ	1.0
ɔː	-	1.0
ɑ̃_#>	#>	1.0
ɑː	-	1.0
ɑ_z_#>	ʋ_#>	1.0
ɑ_n	ə	1.0
ŋ	e	1.0
ð_ɑ	ð̞ˠ	1.0
ð_i	ð̞ˠ	1.0
z_#>	#>	1.0
xʷ	-	1.0
x_ˈe	j_ˈɛ	1.0
x_r	ʁ	1.0
w_ˈu	ˈu	1.0
w_ˈi	ʋ	1.0
t_ɑ	ð̞ˠ	1.0
t_s	ð̞ˠ	1.0
s_ɔːː	ɐ	1.0
s_#>	#>	1.0
s	s	1.0
r_ˈɔː	ʁ	1.0
r_ˈi	ʁ	1.0
r_ɔː	ɐ	1.0
r_ɑ	ɐ	1.0
r_ð	ɐˀ	1.0
r_t	ɐ_d̥	1.0
r_i	ɐ	1.0
p_ɑ	b̥	1.0
n_θ	n	1.0
n_i	n	1.0
n_#>	#>	1.0
lː	lˀ	1.0
l_θ	lˀ	1.0
l_β	lˀ	1.0
l_ɑ	l	1.0
kː	-	1.0
kʷ_ɑ	j	1.0
k_ɑ	ɡ̊	1.0
j	-	1.0
iː	-	1.0
b	b̥	1.0
<#_ˈu	<#_ˈɒ	1.0
<#_ɣ	<#_ɡ̊	1.0
<#_xʷ	<#_ʋ	1.0
<#_w	<#	1.0
<#_t	<#_ʦʰ	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_j	<#	1.0
<#_d	<#_d̥	1.0
m	m	0.88
ɸ	f	0.87
i	-	0.84
ɑ	-	0.825
u	-	0.824
ɔ̃ː	ə	0.818
l	l	0.8
β	w	0.778
p	b̥	0.778
ˈuː	ˈuˀ	0.75
r_#>	#>	0.75
n_ɑ̃_#>	ə_#>	0.75
n	n	0.708
ˈiː	ˈiˀ	0.7
ɔːː	ə	0.7
ɡ	ŋ	0.667
x	h	0.667
n_ɑ	n	0.667
t	d̥	0.652
k	ɡ̊	0.625
ˈɑi̯	ˈeˀ	0.6
ɛː	ɐ	0.6
n_d	nˀ	0.6
#>	ə_#>	0.6
nː	nˀ	0.571
ˈeu̯	ˈyː	0.556
ɣ_ɑ	w	0.556
w	ʋ	0.556
ˈe	-	0.536
ˈɔː	ˈoˀ	0.533
ˈi	ˈe	0.529
θ	ʦʰ	0.52
ˈɛː	ˈɔˀ	0.5
ð	ð̞ˠ	0.5
ð	-	0.5
z	n	0.5
z	-	0.5
x_t	ɡ̊_d̥	0.5
x_t	d̥	0.5
e	ʌ	0.5
e	-	0.5
ˈɔː	-	0.467
ˈeu̯	ˈyˀ	0.444
ɣ_ɑ	j	0.444
w	-	0.444
nː	n	0.429
θ	-	0.4
ˈɑu̯	ˈœˀ	0.4
ˈɑi̯	-	0.4
ɛː	-	0.4
n_d	n	0.4
#>	n_#>	0.4
r	ʁ	0.378
ɣ	ˈuː	0.333
ɣ	jˀ	0.333
ɣ	-	0.333
ɡ	ŋˀ	0.333
n_ɑ	wˀ	0.333
ˈiː	ˈiː	0.3
ɔːː	-	0.3
ˈe	j	0.286
ˈɑu̯	ˈøː	0.267
t	ð̞ˠ	0.261
x	-	0.259
ˈɑ	ˈa	0.256
ˈɛː	ˈɔː	0.25
ˈɛː	ˈɒˀ	0.25
ˈuː	-	0.25
r_#>	ɐ_#>	0.25
n_ɑ̃_#>	#>	0.25
k	-	0.25
ˈi	ˈiˀ	0.235
β	-	0.222
p	pʰ	0.222
ˈɑu̯	-	0.2
l	lˀ	0.2
r	ɐˀ	0.189
ɔ̃ː	-	0.182
u	ə	0.176
ˈu	ˈœ	0.167
ˈu	ˈu	0.167
n	nˀ	0.167
ˈɑ	ˈɛ	0.163
ˈɑ	-	0.163
r	-	0.162
ˈu	ˈʌ	0.139
ˈu	ˈo	0.139
r	ʌ	0.135
r	ɐ	0.135
ˈɑu̯	ˈʌˀ	0.133
ɸ	-	0.13
ɑ	ə	0.125
n	-	0.125
k	j	0.125
m	mˀ	0.12
ˈi	ˈi	0.118
ˈi	-	0.118
ˈu	-	0.111
ˈe	ˈɛ	0.107
ˈɑ	ˈʌ	0.093
ˈɑ	ˈe	0.093
t	-	0.087
ˈu	ˈɔ	0.083
ˈu	ˈø	0.083
θ	ð̞ˠ	0.08
i	ɐ	0.08
i	ð̞ˠ	0.08
x	ˈɛ	0.074
ˈe	ˈiː	0.071
ˈɑ	ˈɔˀ	0.07
ˈɑ	ˈɑ	0.07
ˈu	ˈɶ	0.056
ˈu	ˈy	0.056
