Saterland Frisian	Saterland Frisian	probability
ˈœː	ˈøː	1.0
ˈøː	ˈyː	1.0
ˈyː	-	1.0
ˈu	-	1.0
ˈoːu̯_d	ˈʊə̯_ɾ	1.0
ˈoː_l	ˈɑu̯	1.0
ˈiːu̯	ˈeː	1.0
ˈeːu̯	ˈɛː	1.0
ˈaːu̯	-	1.0
ˈaːi̯	-	1.0
ˈa	ˈɑ	1.0
ŋ	ŋ	1.0
z	-	1.0
w	-	1.0
v_ə	v_ə	1.0
s_#>	z̥_#>	1.0
p	p	1.0
n_#>	#>	1.0
m	m	1.0
l_k	ɫ_k	1.0
k	k	1.0
j_ˈuː	ˈiː	1.0
j_ˈoː	ˈiː	1.0
j_ə	ə	1.0
i	iː	1.0
h	ˈʊə̯	1.0
f_#>	v̥_#>	1.0
f	v	1.0
b	b	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
<#_h	<#	1.0
<#_d	<#_d	1.0
<#	<#_d	1.0
n	n	0.955
r	ɾ	0.92
l	ɫ	0.895
ɣ	x	0.882
v	ʋ	0.88
#>	ə_#>	0.864
t	t	0.842
ə	ə	0.806
ˈi	ˈi	0.75
x	x	0.75
d	d̥	0.73
ˈoː	ˈʊə̯	0.65
s	z	0.571
s_k	s	0.545
ˈɪ	ˈɪ	0.5
ˈɛ	ˈæ	0.5
ˈɛ	-	0.5
ˈaː	ˈɑ	0.5
ˈaː	-	0.5
ɪ	ɪ	0.5
ɪ	-	0.5
s_k	s_x	0.455
ˈuː	ˈyː	0.45
ˈɔ	ˈɔ	0.429
ˈeː	ˈɪə̯	0.429
ˈʊ	ˈɔ	0.375
j	-	0.375
s	s	0.357
ˈɔː	ˈɛː	0.353
ˈɪ	ˈi	0.333
ˈɛː	ˈɪ	0.333
ˈɔː	-	0.294
ˈɔ	ˈʏ	0.286
ˈɔ	ˈɑ	0.286
ˈiː	ˈɛː	0.267
ˈiː	ˈi	0.267
ˈʊ	-	0.25
ˈuː	ˈøː	0.25
ˈi	ˈɪ	0.25
j	ˈiː	0.25
j	x	0.25
ˈɛː	ˈɔ	0.222
ˈɛː	ˈɑ	0.222
ˈɛː	ˈæ	0.222
ˈoːu̯	ˈɑ	0.222
ˈeː	ˈeː	0.214
ˈeː	-	0.214
ˈoː	-	0.2
ˈiː	ˈɪ	0.2
ˈʊ	ˈʏ	0.188
ˈʊ	ˈu	0.188
ˈɛɪ̯	ˈɪə̯	0.176
ˈɛɪ̯	ˈɛː	0.176
ˈɛɪ̯	ˈuː	0.176
ˈɛɪ̯	ˈiː	0.176
ˈɛɪ̯	-	0.176
ˈɔː	ˈɑ	0.176
ˈɔː	ˈæ	0.176
ˈɪ	-	0.167
ˈoːu̯	ˈɔ	0.167
ˈoːu̯	ˈuː	0.167
d	d	0.162
ə	-	0.153
ˈuː	ˈɔ	0.15
ˈuː	-	0.15
ˈoː	ˈɛː	0.15
ˈeː	ˈæi̯	0.143
#>	x_#>	0.136
ˈiː	ˈæ	0.133
ˈiː	ˈeː	0.133
x	ŋ_k	0.125
x	v̥	0.125
j	ˈiːə̯	0.125
t	d	0.123
v	-	0.12
ˈɛɪ̯	ˈɛː_ɾ	0.118
ɣ	v	0.118
ˈoːu̯	ˈɛː	0.111
ˈoːu̯	ˈu	0.111
ˈoːu̯	ˈoː	0.111
ˈoːu̯	-	0.111
d	-	0.108
s	k	0.071
l	ˈɑu̯	0.053
l	l	0.053
