Pennsylvania German	Danish	probability
b	b̥	1.0
d	ʦʰ	0.374
d	-	0.298
d	d̥	0.28
eː	n	1.0
f	f	0.634
f	b̥	0.172
f	-	0.075
f	p	0.059
h	h	0.8
h	j	0.2
j	-	0.614
j	w	0.258
j	jˀ	0.129
k	k	0.33
k	ɡ̊	0.297
k	j	0.248
k	-	0.125
kʰ	kʰ	0.992
l	l	0.705
l	lˀ	0.257
m	m	0.828
m	-	0.112
m	mˀ	0.06
n	n	0.581
n	nˀ	0.254
n	-	0.144
p	w	0.502
p	-	0.354
p	ð̞ˠ	0.073
p	b̥	0.071
p͡f	pʰ	1.0
s	s	0.596
s	ð̞ˠ	0.365
t	ð̞ˠ	0.63
t	t	0.279
t	-	0.091
v	w	0.604
v	ʋ	0.271
v	-	0.125
x	-	0.632
x	j	0.22
x	w	0.1
ç	j	0.348
ç	-	0.181
ç	k	0.169
ç	ɡ̊	0.155
ç	ŋ	0.075
ç	s	0.073
ŋ	ŋˀ	0.576
ŋ	ŋ	0.212
ŋ	-	0.212
ɑ	ɐ	0.807
ɑ	ˈi	0.084
ɑ	-	0.07
ə	ə	0.733
ə	-	0.15
ɡ	ɡ̊	0.908
ɡ	-	0.063
ɣ	-	0.726
ɣ	jˀ	0.274
ɪ	w	0.314
ɪ	ə	0.246
ɪ	i	0.169
ɪ	-	0.115
ɪ	e	0.079
ɪ	ɐ	0.076
ɾ	ʁ	0.818
ɾ	-	0.102
ɾ	ɐˀ	0.08
ʃ	s	1.0
ʋ	ʋ	0.608
ʋ	-	0.309
ʦ	ʦʰ	0.636
ʦ	t	0.292
ˈa	ˈa	0.227
ˈa	ˈɑ	0.193
ˈa	ˈɛ	0.121
ˈa	ˈʌ	0.096
ˈa	ˈiˀ	0.072
ˈaɪ̯	ˈiˀ	0.375
ˈaɪ̯	ˈiː	0.137
ˈaɪ̯	ˈɑ	0.099
ˈaɪ̯	ˈyˀ	0.098
ˈaɪ̯	ˈɛˀ	0.074
ˈaɪ̯	ˈɛ	0.069
ˈaʊ̯	ˈuˀ	0.641
ˈaʊ̯	ˈœ	0.083
ˈaʊ̯	ˈuː	0.078
ˈaʊ̯	ˈɔ	0.078
ˈaʊ̯	ˈʌˀ	0.078
ˈaː	ˈo	0.53
ˈaː	ˈa	0.194
ˈaː	ˈɔˀ	0.122
ˈaː	ˈɑˀ	0.11
ˈeː	ˈeˀ	0.422
ˈeː	ˈeː	0.109
ˈeː	ˈɛˀ	0.109
ˈeː	ˈøː	0.094
ˈeː	ˈɔˀ	0.079
ˈiː	ˈyː	0.464
ˈiː	ˈyˀ	0.163
ˈiː	ˈœˀ	0.107
ˈiː	ˈœ	0.078
ˈoː	ˈœˀ	0.327
ˈoː	ˈɔˀ	0.305
ˈoː	ˈɔː	0.19
ˈoː	ˈʌˀ	0.075
ˈuː	ˈoˀ	0.674
ˈuː	ˈøː	0.157
ˈuː	ˈo	0.114
ˈuː	ˈu	0.056
ˈɔ	ˈu	0.363
ˈɔ	ˈœ	0.178
ˈɔ	ˈuː	0.119
ˈɔ	ˈɒ	0.104
ˈɔ	ˈuˀ	0.102
ˈɔ	ˈɛ	0.102
ˈɔɪ̯	ˈeˀ	1.0
ˈɔː	ˈa	0.206
ˈɔː	ˈœ	0.164
ˈɔː	ˈɑˀ	0.091
ˈɔː	ˈɔˀ	0.09
ˈɔː	ˈœˀ	0.082
ˈɔː	ˈiː	0.057
ˈɔː	ˈæˀ	0.057
ˈɔː	ˈøː	0.057
ˈɛ	ˈe	0.222
ˈɛ	ˈɛ	0.21
ˈɛ	ˈeˀ	0.113
ˈɛ	ˈu	0.069
ˈɛ	ʋ	0.063
ˈɛ	ˈɑ	0.061
ˈɛː	ˈɛ	0.555
ˈɛː	ˈæ	0.191
ˈɛː	ˈœˀ	0.149
ˈɛː	ˈi	0.105
ˈɪ	ˈe	0.462
ˈɪ	ˈœ	0.172
ˈɪ	ˈø	0.099
ˈɪ	ˈɛ	0.051
ˈʊ	ˈʌ	0.359
ˈʊ	ˈɔ	0.338
ˈʊ	ˈu	0.227
