Pennsylvania German	Danish	probability
b	b̥	0.887
b	b̥_j	0.107
d	d̥	0.422
d	ʦʰ	0.353
d	-	0.172
d	t	0.039
d	ʨ	0.026
d_l	l	0.463
d_ɑ	ɐ	1.0
f	f	0.584
f	-	0.254
f	b̥	0.124
f	p	0.033
h	h	0.881
h	-	0.112
j	-	0.403
j	ˈɔˀ	0.232
j	jˀ	0.134
j	w	0.134
k	ɡ̊	0.359
k	j	0.257
k	-	0.19
k	k	0.165
kʰ	kʰ	1.0
l	l	0.784
l	lˀ	0.157
l	nˀ	0.031
l	-	0.028
l_t	lˀ	0.463
m	m	0.866
m	mˀ	0.103
m	-	0.035
n	n	0.632
n	-	0.147
n	nˀ	0.106
n	ɐˀ_n	0.053
n	mˀ	0.032
n_t	nˀ	1.0
p	w	0.457
p	-	0.161
p	v	0.14
p	b̥	0.086
p͡f	pʰ	0.463
s	s	0.595
s	ð̞ˠ	0.295
s	-	0.067
s	t	0.032
t	ð̞ˠ	0.442
t	-	0.346
t	t	0.206
v	w	0.596
v	v	0.124
v	ʋ	0.082
v	-	0.079
x	t	0.389
x	j	0.351
x	-	0.107
x	w	0.077
ç	-	0.392
ç	k	0.179
ç	j	0.156
ç	s	0.076
ç	ŋ	0.074
ç_t	t	1.0
ŋ	ŋˀ	0.592
ŋ	ŋ	0.4
ŋ_k	k	1.0
ɑ	ɐ	0.575
ɑ	-	0.244
ɑ	ə	0.07
ɑ	ɐˀ	0.045
ɑ	nˀ	0.037
ə	ə	0.446
ə	-	0.441
ə	wˀ_n	0.049
ə	ɐ	0.033
ə	w	0.03
ɡ	ɡ̊	0.933
ɡ	kʰ	0.056
ɣ	-	0.822
ɣ	jˀ	0.099
ɪ	w	0.361
ɪ	ə	0.171
ɪ	ɐ	0.153
ɪ	-	0.105
ɪ	e	0.102
ɪ_ç	i	1.0
ɾ	ʁ	0.68
ɾ	-	0.202
ɾ	ɐˀ	0.071
ɾ	ˈœˀ	0.041
ʃ	s	0.628
ʃ	s_k	0.34
ʃ	f	0.035
ʋ	ʋ	0.633
ʋ	-	0.171
ʋ	ˈo	0.089
ʋ	ˈœ	0.05
ʋ	ˈyː	0.04
ʋ_ˈɔ	ˈu	1.0
ʦ	ʦʰ	0.614
ʦ	t	0.209
ʦ	d̥	0.12
ʦ	-	0.04
ˈa	ˈɑ	0.204
ˈa	ˈɛ	0.195
ˈa	ˈa	0.172
ˈa	ˈʌ	0.089
ˈa	ɐˀ	0.054
ˈaɪ̯	ˈiˀ	0.318
ˈaɪ̯	ˈiː	0.164
ˈaɪ̯	ˈɛ	0.112
ˈaɪ̯	ˈyˀ	0.097
ˈaɪ̯	ˈɑ	0.064
ˈaʊ̯	ˈuˀ	0.625
ˈaʊ̯	ˈɔ	0.146
ˈaʊ̯	ˈʌˀ	0.146
ˈaʊ̯	ˈoˀ	0.062
ˈaː	ˈo	0.371
ˈaː	ˈa	0.22
ˈaː	ɐˀ	0.168
ˈaː	ˈɔˀ	0.093
ˈaː	ˈɑˀ	0.046
ˈeː	ˈeˀ	0.165
ˈeː	ˈeˀ_n	0.165
ˈeː	ˈøː	0.165
ˈeː	ˈiˀ	0.083
ˈeː	ˈɑˀ	0.083
ˈiː	ˈyˀ	0.298
ˈiː	ˈyː	0.298
ˈiː	ˈœ	0.117
ˈiː	ˈœˀ	0.108
ˈiː	ˈiː	0.059
ˈoː	ˈɔˀ	0.289
ˈoː	ˈœˀ	0.214
ˈoː	ˈøː	0.105
ˈoː	ˈʌˀ	0.105
ˈoː	ˈɒː	0.075
ˈuː	ˈoˀ	0.728
ˈuː	ˈu	0.111
ˈuː	ˈo	0.108
ˈɔ	ˈu	0.394
ˈɔ	ˈuˀ	0.168
ˈɔ	ˈɒ	0.168
ˈɔ	ˈɛ	0.111
ˈɔ	ˈœ	0.107
ˈɔɪ̯	ˈeˀ	1.0
ˈɔː	ˈa	0.225
ˈɔː	ˈœˀ	0.107
ˈɔː	-	0.071
ˈɔː	ˈøː	0.071
ˈɔː	ˈɔˀ	0.057
ˈɛ	ˈɛ	0.202
ˈɛ	ˈe	0.172
ˈɛ	ˈeˀ	0.149
ˈɛ	ˈoˀ	0.058
ˈɛ	ˈɑ	0.058
ˈɛː	ˈɛ	0.357
ˈɛː	ˈæ	0.265
ˈɛː	ˈœˀ	0.153
ˈɛː	ˈi	0.152
ˈɪ	ˈe	0.396
ˈɪ	ˈœ	0.129
ˈɪ	ˈø	0.081
ˈɪ	ˈyˀ	0.071
ˈɪ	ˈy	0.071
ˈʊ	ˈɔ	0.267
ˈʊ	ˈʌ	0.227
ˈʊ	ˈu	0.168
ˈʊ	ɐ	0.096
ˈʊ	ˈoː	0.096
