Ripuarian	Ripuarian	probability
ˈʊ	ˈɔ	1.0
ˈɪ_ɕ	x	1.0
ˈɔː	ˈɔ_r	1.0
ˈøʏ̯	ˈiː	1.0
ˈu	ɑu̯	1.0
ˈoː_ɐ	ˈɑːu̯_r̥	1.0
ˈoʊ̯	-	1.0
ʋ_ˈe	v	1.0
ʀ	r	1.0
ɫ_d̥	l_d̥	1.0
ɪ	-	1.0
ɣ̊	ɣ	1.0
ɣ	-	1.0
ə_#>	#>	1.0
ɕ_#>	ɡ̊_#>	1.0
ŋ_k	ʰk	1.0
z_ˈa	s_ˈa	1.0
v̥	v_ʏ	1.0
s_ɐ	ʰt͡n̥	1.0
n_#>	#>	1.0
e	ˈɛ_ʰt_aːu̯	1.0
d̥_#>	#>	1.0
d_ɐ	ð_ɪ	1.0
b	b̥	1.0
<#_ʋ	<#	1.0
<#_n	<#_n	1.0
<#_d	<#_d̥	1.0
m	m	0.923
z	s	0.9
ʋ	v	0.875
l	l	0.84
h	h	0.8
f	f	0.8
<#_j	<#_ɡ̊	0.8
p	p	0.75
d	θ	0.75
ˈœ	ˈɪ	0.714
ˈyː	-	0.714
<#_ʀ	<#_r	0.714
z̥_#>	s_#>	0.7
t	t	0.7
ʃ	s	0.682
ˈʏ	-	0.667
ˈɔ	-	0.667
ə	a	0.667
v	v	0.667
d̥	ð	0.667
ʦ	tʰ	0.636
s	t	0.588
ˈɔʊ̯	-	0.571
ˈøː	-	0.571
x	ʰt	0.571
ˈuː	ˈuː	0.538
ˈiː	ˈiː	0.538
ˈeɪ̯	ˈɛːi̯	0.5
ˈeɪ̯	-	0.5
j	ˈuː	0.5
j	ɟ̊	0.5
#>	r̥_#>	0.485
ˈe	ˈɪ	0.462
ˈɪ	-	0.444
ˈɔʊ̯	ˈœːy̯	0.429
ˈøː	ˈaːi̯	0.429
x	k	0.429
ˈoː	ˈoːu̯	0.421
ˈo	ˈʏ	0.417
ˈɛː	-	0.4
ŋ	n	0.375
ɫ	t͡l̥	0.35
k	kʰ	0.35
ˈʏ	ˈi	0.333
ˈɪ	ˈi	0.333
ˈɔ	ˈʏ	0.333
ˈo	-	0.333
ɡ̊	-	0.333
ŋ	ŋ	0.333
v	v_ʏ	0.333
#>	ʏ_r̥_#>	0.32
ˈoː	-	0.316
ˈuː	ˈœːy̯	0.308
ɐ	r̥	0.3
z̥_#>	#>	0.3
t	-	0.3
s	t_ʏ	0.294
ˈœ	ˈʏ	0.286
ˈyː	ˈiː	0.286
ˈaː	ˈaː	0.286
ˈa	ˈaː	0.286
ˈa	ˈa	0.286
<#_ʀ	<#_r̥	0.286
n	t͡n̥	0.281
ɕ	k_ʏ	0.273
ɕ	k	0.273
ɕ	-	0.273
ˈɛ	ˈɛ	0.263
ˈɛ	ˈa	0.263
ˈeː	j	0.261
ˈo	ˈu	0.25
ɫ	l	0.25
ɡ̊	ɡ̊_ʏ	0.25
ɡ̊	d̥_ʏ	0.25
p	pʰ	0.25
k	-	0.25
d	ð	0.25
ˈiː	j_ˈoːu̯	0.231
ˈiː	-	0.231
ˈe	ˈɪː	0.231
ˈɪ	ˈiː	0.222
n	n	0.219
ˈaː	ˈa	0.214
ˈaː	-	0.214
ˈɛ	-	0.211
ˈɛː	ˈɛ	0.2
ˈɛː	j_ˈɛ	0.2
ˈɛː	j	0.2
ɫ	l̥	0.2
h	ç	0.2
<#_j	<#	0.2
ʦ	t	0.182
ʦ	r̥_t	0.182
ʃ	s_k	0.182
ɕ	ʏ	0.182
ˈeː	j_ˈoːu̯	0.174
ɡ̊	d̥	0.167
ɐ	ɪ	0.167
ɐ	r	0.167
l	l̥	0.16
ˈɛ	ˈɛː	0.158
ˈoː	ˈɔː	0.158
n	nː	0.156
n	-	0.156
ˈuː	-	0.154
ˈe	c	0.154
ˈe	-	0.154
k	cʰ	0.15
ˈaː	ˈɛː	0.143
ˈaː	ˈɑu̯	0.143
ˈa	ˈɑu̯	0.143
ˈa	ˈœ	0.143
ˈa	-	0.143
ʃ	s_c	0.136
#>	a_#>	0.134
ɐ	ʏ	0.133
ˈeː	ˈɛːi̯	0.13
ˈeː	j_ˈuː	0.13
ˈeː	-	0.13
ʋ	kʰ_v	0.125
ŋ	n_d̥	0.125
f	p	0.12
s	-	0.118
d̥	ʏ_r̥	0.111
d̥	r_ð	0.111
d̥	d̥	0.111
ˈɛ	ˈau̯	0.105
ˈoː	r̥	0.105
ɫ	ɡ̊_l	0.1
ɫ	l_ʏ	0.1
ɐ	r_ɪ	0.1
z	s_j	0.1
k	ɡ̊ː	0.1
k	c	0.1
ə	j_a	0.095
n	ŋ	0.094
n	n̥	0.094
ˈeː	ˈɛː	0.087
ˈeː	ˈɛi̯	0.087
ŋ	nː	0.083
ŋ	-	0.083
f	-	0.08
m	-	0.077
ə	ɡ̊	0.071
ə	-	0.071
ɐ	ɡ̊_ʏ	0.067
ɐ	r_a	0.067
