Portuguese	Portuguese	probability
ˈɛ_ʃ	ˈe_s	1.0
ˈɐ̃_t	ˈa_n	1.0
ˈɐ_ɲ	ˈa_ɲ	1.0
ˈũ	ˈu	1.0
ˈo_w	ˈɔ	1.0
ˈĩ	ˈi	1.0
ˈi_ɲ	ˈi	1.0
ˈẽ	ˈe	1.0
ˈa	ˈa	1.0
ʎ	ʎ	1.0
ʃ_p	s_p	1.0
ʁ	r	1.0
ɾ_ˈɐ	ɾ	1.0
ɾ_ɨ	ɾ_ə	1.0
ɾ_u_#>	#>	1.0
ɾ_k	r_k	1.0
ɫ_#>	l_#>	1.0
ɫ	l	1.0
ɨ_m	mː	1.0
ɨ_#>	#>	1.0
ɐ̃_j̃	ə	1.0
ð_ɨ	t	1.0
w̃_#>	#>	1.0
w̃	ˈo	1.0
w	w	1.0
v_ɨ	w	1.0
v_u	w	1.0
ũ	u	1.0
u_s	u_s	1.0
u_#>	#>	1.0
t_ɨ_#>	n_#>	1.0
t_ɐ	t_ə	1.0
s_ɐ	s_ə	1.0
s_u	w	1.0
s	s	1.0
p_u	s	1.0
p	p	1.0
õ	u_n	1.0
o	u	1.0
m_ɨ_#>	m_#>	1.0
m	m	1.0
l_ˈa	ʎ_ˈa	1.0
k_u	ŋ	1.0
k	k	1.0
j̃_#>	#>	1.0
j_ʃ	ʃ	1.0
j_u	ʧ	1.0
j_#>	j_#>	1.0
ĩ	i	1.0
i	i	1.0
f	f	1.0
ẽ	-	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʁ	<#_r	1.0
<#_ɔ	<#_u	1.0
<#_ɐ	<#_ə	1.0
<#_v	<#_b	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#_i	<#_ə	1.0
<#	<#_ə	1.0
ˈu	ˈu	0.905
ɐ	ə	0.882
ɾ_#>	#>	0.871
b	b	0.867
ʒ	ʒ	0.857
t	t	0.857
d	d	0.842
ɡ	ɡ	0.818
ˈi	ˈi	0.8
β	β	0.769
v	β	0.769
ˈɔ	ˈɔ	0.727
l	ʎ	0.688
ð	ð	0.667
n	n	0.667
j	-	0.667
ˈɐ̃	ˈa	0.65
u	u	0.619
ʃ_#>	s_#>	0.611
ˈɐ	ˈe	0.6
ɨ	ə	0.562
ˈɛ	ˈe	0.55
ɣ	ɣ	0.526
ˈe	ˈɛ	0.519
ɐ̃	ə	0.5
ɐ̃	-	0.5
z	z	0.5
z	-	0.5
ʃ	s	0.474
ˈɛ	ˈɛ	0.45
ɲ	ɲ	0.444
ˈõ	ˈo	0.429
ˈo	ˈɔ	0.429
#>	l_#>	0.429
ˈɐ_j	ˈi	0.417
ˈɐ	ˈa	0.4
ɾ	ɾ	0.392
ɾ	r	0.373
ɣ	k	0.368
ˈo	ˈo	0.357
ˈɐ_j	ˈɛ	0.333
ɲ	n	0.333
n	-	0.333
l	l	0.312
ˈõ	ˈɔ_n	0.286
ˈõ	ˈɔ	0.286
#>	ɾ_ə_#>	0.286
#>	ə_#>	0.286
ʃ_#>	w_#>	0.278
ˈɐ̃	-	0.25
ˈɐ_j	ˈe	0.25
ɨ	-	0.25
β	p	0.231
v	w	0.231
ˈe	ˈe	0.222
ɲ	ŋ_ɡ	0.222
ð	t	0.222
ʃ	p_l	0.211
j	j	0.2
ɨ	i	0.188
ɡ	ŋ	0.182
d	-	0.158
ˈo	ˈu	0.143
ʒ	-	0.143
u	l	0.143
u	-	0.143
t	n	0.143
ɾ	ɾ_ə	0.137
ˈɔ	ˈo	0.136
ˈɔ	-	0.136
ˈi	-	0.133
j	ˈe	0.133
b	m_b	0.133
ɾ_#>	ˈi_#>	0.129
ˈe	ˈɛ_w	0.111
ʃ_#>	#>	0.111
ð	-	0.111
ʃ	ʃ	0.105
ʃ	k_l	0.105
ʃ	f_l	0.105
ɣ	ɡ	0.105
ˈɐ̃	ˈa_n	0.1
ˈu	-	0.095
u	w	0.095
ˈe	ɾ	0.074
ˈe	-	0.074
ˈo	ˈɔ_n	0.071
ˈi	ə	0.067
ɾ	-	0.059
