Catalan	Corsican	probability
b	v	0.619
b	b	0.314
b	p	0.052
d	d	0.818
d	-	0.182
f	f	0.979
i	i	0.63
i	a	0.139
i	u	0.12
i	j	0.112
j	e	0.458
j	t	0.272
j	-	0.232
k	k	0.92
l	l	0.397
l	j	0.331
l	l_e	0.166
l	l_u	0.086
m	m	0.92
m	ʒ	0.051
n	n	0.767
n	n_t	0.215
p	p	1.0
r	r	0.982
s	s	0.548
s	ʧ	0.229
s	-	0.118
t	t	0.781
t	t_u	0.129
u	u	0.504
u	ˈɔ	0.202
u	o	0.187
u	-	0.055
w	-	0.232
w	w	0.181
w	ʧ_e	0.176
w	ʦ	0.113
w	u	0.078
w	j	0.068
w	d_e	0.051
z	-	0.487
z	z	0.312
z	ʧ	0.116
z	d	0.085
ð	t	1.0
ŋ	ŋ	0.834
ŋ	-	0.166
ə	a	0.633
ə	e	0.106
ə	u	0.089
ə	i	0.057
ɡ	ɡ	0.841
ɡ	z	0.089
ɡ	ɟ	0.07
ɣ	k	0.55
ɣ	ɡ	0.314
ɣ	-	0.137
ɲ	ɲ	0.761
ɲ	ŋ	0.108
ɲ	n	0.086
ɾ	r	0.66
ɾ	-	0.146
ɾ	e_r	0.101
ɾ	t_r	0.057
ʃ	ʃ	0.715
ʃ	s	0.285
ʎ	l	0.75
ʎ	ʎ	0.104
ʎ	c_u	0.052
ʎ	-	0.051
ʒ	ɟ	0.835
ʒ	ʤ	0.081
ʤ	ɟ	0.527
ʤ	k	0.282
ʤ	d	0.191
ʧ	s	0.651
ʧ	ʣ	0.349
ˈa	ˈa	0.944
ˈe	ˈɛ	0.586
ˈe	ˈe	0.187
ˈe	ˈa	0.136
ˈi	ˈi	0.733
ˈi	e	0.132
ˈi	ˈe	0.085
ˈo	ˈɔ	0.484
ˈo	ˈu	0.141
ˈo	ˈo_n	0.139
ˈo	ˈo	0.082
ˈo	ˈo_r	0.05
ˈu	ˈu	0.597
ˈu	ˈo	0.189
ˈu	ˈɔ	0.07
ˈu	ˈu_r	0.062
ˈu	ˈu_n	0.052
ˈɔ	ˈɔ	0.752
ˈɔ	ˈo	0.196
ˈɛ	ˈɛ	0.514
ˈɛ	ˈe	0.235
ˈɛ	ˈɛ_r	0.072
ˈɛ	ˈi	0.054
β	p	0.547
β	v	0.381
β	b	0.072
