Bavarian	Swedish	probability
a	ɛ	0.39
a	a	0.279
a	r	0.191
a	-	0.103
b̥	b	0.633
b̥	v	0.31
b̥	tʰ	0.051
d	d	1.0
d̥	d	0.508
d̥	-	0.247
d̥	tʰ	0.138
eɐ̯	ɔ	1.0
f	f	0.622
f	v	0.166
f	p	0.122
h	h	0.927
h	-	0.073
i	ɪ	0.558
i	lː	0.287
i	ŋ	0.155
j	l	0.812
j	-	0.136
j	lː	0.052
k	kː	0.424
k	k	0.332
k	ɡː	0.244
kʰ	kʰ	0.794
kʰ	ɕ	0.184
l	l	0.896
m	m	0.708
m	-	0.25
n	n	0.384
n	a	0.337
n	-	0.169
p	v	1.0
p͡f	p	0.928
p͡f	v	0.072
r	r	0.809
r	-	0.15
s	s	0.547
s	t	0.208
s	ɧ	0.08
s	tː	0.057
s	sː	0.053
t	d	0.612
t	t	0.167
t	-	0.081
t	tʰ	0.076
t	ɖ	0.064
x	k	0.411
x	s	0.297
x	ɡ	0.207
x	kː	0.085
ç	k	0.847
ç	ɡ	0.153
ŋ	ŋː	0.404
ŋ	ɵ	0.207
ŋ	-	0.153
ŋ	kː	0.108
ŋ	ŋ	0.064
ɐ	r	0.58
ɐ	-	0.334
ə	-	0.567
ə	a	0.216
ə	ɛ	0.216
ɡ̊	ɡ	0.709
ɡ̊	j	0.147
ɡ̊	ɡː	0.084
ɪ	ɪ	1.0
ʃ	s	0.383
ʃ	s_k	0.313
ʃ	ɧ	0.289
ʋ	v	0.644
ʋ	-	0.356
ʦ	tʰ	0.61
ʦ	tː	0.16
ʦ	ʈː	0.089
ʦ	t	0.075
ˈa	ˈa	0.591
ˈa	ˈɑː	0.261
ˈa	ˈʉː	0.108
ˈai̯	ˈiː	0.417
ˈai̯	ˈɛ	0.215
ˈai̯	ˈyː	0.132
ˈai̯	ˈeː	0.115
ˈai̯	ˈœ	0.066
ˈau̯	ˈʉː	0.705
ˈau̯	ˈøː	0.143
ˈau̯	ˈɵ	0.076
ˈaː	ˈøː	0.216
ˈaː	ˈɛː	0.207
ˈaː	ˈa	0.203
ˈaː	ˈœ	0.198
ˈaː	ˈɵ	0.088
ˈaː	ˈʉː	0.087
ˈe	ˈɛ	0.261
ˈe	ˈøː	0.147
ˈe	ˈæː	0.141
ˈe	ˈʉː	0.126
ˈe	j	0.112
ˈe	ˈoː	0.09
ˈe	ˈœː	0.078
ˈeɐ̯	ˈʊ	0.352
ˈeɐ̯	ʊ	0.318
ˈeɐ̯	ˈiː	0.176
ˈeɐ̯	ˈøː	0.153
ˈeː	ˈoː	0.339
ˈeː	ˈeː	0.315
ˈeː	ˈɛː	0.121
ˈeː	ˈiː	0.099
ˈeː	ˈɛ	0.086
ˈi	ˈɪ	0.506
ˈi	ˈɛ	0.145
ˈi	ˈɵ	0.116
ˈiɐ̯	ˈʉː	0.584
ˈiɐ̯	ˈøː	0.168
ˈiɐ̯	ˈyː	0.138
ˈiɐ̯	ˈœ	0.099
ˈiː	ˈyː	0.557
ˈiː	ˈʉː	0.305
ˈiː	ˈɪ	0.137
ˈo	ˈa	0.342
ˈo	ˈɵ	0.216
ˈo	ˈɛ	0.181
ˈo	ˈɔ	0.098
ˈo	ˈɑː	0.084
ˈo	ˈœ	0.079
ˈou̯	ˈøː	1.0
ˈoɐ̯	ˈeː	0.225
ˈoɐ̯	ˈuː	0.207
ˈoɐ̯	ˈoː	0.129
ˈoɐ̯	ˈɛ	0.12
ˈoɐ̯	ˈa	0.091
ˈoɐ̯	ˈɛː	0.085
ˈoɐ̯	ˈœː	0.051
ˈoː	ˈɑː	0.464
ˈoː	ˈoː	0.343
ˈoː	ˈɛː	0.088
ˈoː	ˈɵ	0.078
ˈu	ˈɵ	0.304
ˈu	ˈʏ	0.168
ˈu	ˈœ	0.147
ˈu	ˈʉː	0.125
ˈu	ˈoː	0.093
ˈu	ˈʊ	0.093
ˈu	ˈɔ	0.07
ˈuɐ̯	ˈuː	0.737
ˈuɐ̯	ˈøː	0.263
ˈy	ˈøː	1.0
ˈɒ	ˈa	0.372
ˈɒ	ˈɛ	0.357
ˈɒ	ˈɑː	0.237
ˈɒː	ˈɑː	0.46
ˈɒː	ˈoː	0.28
ˈɒː	ˈa	0.26
ˈɔ	ˈoː	0.401
ˈɔ	ˈa	0.312
ˈɔ	ˈʉː	0.153
ˈɔ	ˈɔ	0.134
ˈɛ	ˈɛ	0.219
ˈɛ	ˈoː	0.213
ˈɛ	ˈæː	0.172
ˈɛ	ˈɔ	0.172
ˈɛ	ˈɛː	0.156
ˈɛː	ˈøː	1.0
ˈʏ	ˈœ	0.817
ˈʏ	ˈɵ	0.183
