Eastern Lombard	Eastern Lombard	probability
ˈo_r	ˈɔ_l	1.0
ˈe_l	ˈi_l	1.0
ʤ	-	1.0
w	-	1.0
u_l	u_l	1.0
r_ˈɛ	r_ˈi	1.0
r_n	rː	1.0
r_#>	#>	1.0
p_j	p_i	1.0
p_#>	p_u_#>	1.0
p	p	1.0
n_ʤ	ɲː	1.0
k_r	k_r	1.0
j_#>	ɖː_u_#>	1.0
i	i	1.0
f_#>	i_#>	1.0
e_r	a_r	1.0
e_#>	#>	1.0
<#_ˈɛ	<#_ˈa	1.0
<#_ˈo	<#_ˈu	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_a	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#	<#_v	1.0
a	a	0.939
n	n	0.917
k	k	0.896
f	f	0.88
m	m	0.867
o	u	0.857
b	b	0.85
ˈa	ˈa	0.844
ˈɔ	ˈɔ	0.778
ˈy	ˈu	0.778
ɲ	ɲː	0.75
#>	u_#>	0.717
j	j	0.7
ˈi	ˈi	0.633
t	t	0.63
ŋ	ŋ	0.625
ʋ	v	0.6
s_#>	u_#>	0.6
r	r	0.6
l	l	0.531
z	ɟ	0.5
ˈɛ	ˈɛ	0.486
ɡ	ɡ	0.467
d	t	0.462
ˈø	ˈɔ	0.455
e	i	0.452
ˈu	ˈɔ	0.45
s	s	0.444
ˈo	ˈu	0.412
ʋ	p	0.4
s_#>	#>	0.4
d	d	0.385
ŋ	-	0.375
z	-	0.375
l	ɖː	0.375
ˈø	ˈu	0.364
ʧ	cː	0.364
ɡ	-	0.333
ˈɛ	ˈe	0.324
ˈe	ˈe	0.31
j	u	0.3
s	ʧ	0.286
#>	i_#>	0.283
ʧ	tː_i	0.273
ɲ	-	0.25
ˈe	ˈɛ	0.241
ˈɔ	-	0.222
ˈy	ˈu_n	0.222
t	tː	0.217
ˈe	ˈi	0.207
ˈi	ˈe	0.2
ɡ	k	0.2
r	l	0.2
ˈɛ	ˈi	0.189
ˈø	ˈo	0.182
ʧ	tː	0.182
ʧ	c	0.182
ˈo	ˈɔ	0.176
ˈo	ˈo	0.176
ˈe	ˈɛ_n	0.172
ˈi	ˈi_n	0.167
e	u	0.161
e	-	0.161
d	-	0.154
ˈu	ˈu	0.15
ˈu	ˈo_n	0.15
ˈu	ˈo	0.15
b	-	0.15
o	-	0.143
m	mː	0.133
ˈa	ˈa_n	0.125
z	z	0.125
f	u	0.12
ˈo	ˈa_l	0.118
ˈo	ˈa	0.118
ˈu	ˈɔ_n	0.1
e	a	0.097
l	l_i	0.094
n	nː	0.083
s	sː	0.079
ˈe	-	0.069
r	-	0.067
t	d	0.065
e	r	0.065
e	e	0.065
s	ʦ	0.063
s	ʃː	0.063
k	u	0.062
