Latin	French	probability
a	a	0.513
a	-	0.19
a	ɛ	0.161
a	ɑ̃	0.067
a	ə	0.056
ae̯	e	1.0
au̯	ɔ	0.574
au̯	e	0.294
aː	a	0.625
aː	-	0.206
aː	ɑ̃	0.087
aː_t	a	1.0
ãː	-	1.0
b	b	0.602
b	-	0.132
b	v	0.132
b	ʒ	0.112
b_ãː	b	1.0
b_ɪ	o	0.513
b_ʊ	b	1.0
b_ˈɔ	b	0.513
d	d	0.531
d	-	0.331
d	ʒ	0.075
d_ˈeː	w	1.0
e	-	0.278
e	e	0.237
e	ɛ̃	0.179
e	j	0.087
e	i	0.07
e	a	0.067
e	w	0.067
eː	-	0.826
eː	ɛ	0.148
f	f	0.911
f	b	0.066
h	-	1.0
h_ˈɔ	ɔ	1.0
i	-	0.957
i_ãː	j	0.561
i_ãː	a	0.151
i_ãː	i	0.128
i_k	s	0.135
i_lʲ	i	0.135
i_n	ɛ̃	0.513
i_ʊ̃ː	ɛ̃	0.488
i_ʊ̃ː	i	0.147
i_ʊ̃ː	j	0.147
iː	i	0.557
iː	-	0.184
iː	ɛ̃	0.132
j	ʒ	1.0
k	k	0.316
k	-	0.266
k	ʃ	0.232
k	s	0.091
k	ɡ	0.058
k_ãː	ʃ	1.0
k_i	s	0.513
k_ɛ̃ː	s	0.644
k_ɛ̃ː	a	0.25
k_ʊ̃ː	ø	0.699
k_ʊ̃ː	ʃ	0.16
k_ˈuː	y	0.513
k_ˈɛ	i	0.263
kʷ	k	0.662
kʷ	s	0.155
kʷ	ɡ	0.121
l	l	0.862
l	-	0.123
lʲ	-	0.814
lʲ	a	0.09
lʲ	l	0.088
lʲ_ãː	l	0.513
lʲ_i	j	0.513
lʲ_lʲ	l	1.0
m	m	0.711
m	-	0.289
m_ãː	m	0.852
m_ãː	n	0.109
m_ɪ	m	1.0
n	n	0.476
n	-	0.402
n	ɲ	0.118
n_aː	n	0.411
n_aː	d	0.094
n_ãː	n	1.0
n_t	t	1.0
n_ɛ	d	1.0
n_ɛ̃ː	n	0.66
n_ɛ̃ː	ɛ̃	0.173
n_ʊ̃ː	n	0.699
n_ʊ̃ː	ɛ̃	0.16
o	u	0.5
o	w	0.5
oː	-	0.531
oː	ɔ̃	0.157
oː	œ	0.099
oː	ɔ	0.099
oː	ɛ̃	0.077
oː_r	o	0.85
oː_r	ɛ̃	0.087
oː_t	u	0.263
p	p	0.733
p	-	0.167
p	v	0.062
p_ɛ	v	0.683
p_ɛ	p	0.231
r	ʁ	0.895
r	-	0.099
r_ãː	ʁ	1.0
r_iː	e	0.513
r_n	ʁ	1.0
r_p	ʁ	0.513
r_t	ʁ	1.0
r_ɛ	ʁ	1.0
r_ɛ̃ː	ʁ	1.0
r_ʊ̃ː	ʁ	1.0
r_ˈaː	i	0.135
s	-	0.505
s	s	0.435
s_k	t	0.341
s_k	s	0.265
s_k	k	0.218
