Sixian	Sixian	probability
⁵	¹²	1.0
ʨ	ʦ	1.0
ʦ	ʦ	1.0
ɲ	nʲ	1.0
ɨ	z̩	1.0
ɕ	ɕ	1.0
ŋ̍	ɦ_ŋ̍	1.0
¹¹	²³	1.0
t̚	ʔ	1.0
p̚	ʔ	1.0
o_n	ø	1.0
o_k̚	o_ʔ	1.0
o_j	e	1.0
n_³¹	²³	1.0
l	l	1.0
k̚	ʔ	1.0
kʰ_j	ɡ	1.0
k_j	ʨ	1.0
j_u	o	1.0
e_w	ɜ	1.0
e_n	i	1.0
a_n	e	1.0
a_m	ø	1.0
<#_ŋ	<#_ŋ	1.0
<#_j	<#_ɦ	1.0
³¹	³⁴	0.87
ŋ	ŋ	0.818
m	m	0.818
²⁴	⁵³	0.81
i	i	0.8
²	⁵⁵	0.773
n	n	0.75
w	ɔ	0.714
k	k	0.714
o_ŋ	ɑ̃	0.7
v	ɦ	0.667
pʰ	b	0.667
ʦʰ	ʦʰ	0.636
p	p	0.625
⁵⁵	²³	0.545
ʨʰ	ʨʰ	0.5
ʨʰ	ʑ	0.5
tʰ	tʰ	0.5
tʰ	d	0.5
t	ʦ	0.5
t	t	0.5
s	s	0.5
kʰ	ʥ	0.5
kʰ	kʰ	0.5
a_ŋ	ə_n	0.5
a_ŋ	n	0.5
a	a	0.474
⁵⁵	³⁴	0.455
j	j	0.45
j	-	0.45
h	h	0.4
s	z	0.375
p	f	0.375
o	u	0.375
ʦʰ	z	0.364
f	f	0.364
v	m	0.333
pʰ	pʰ	0.333
u	o	0.324
o_ŋ	ã	0.3
w	-	0.286
k	ʨ	0.286
f	v	0.273
a	o	0.263
o	ɔ	0.25
o	-	0.25
e	ɪ	0.25
u	ə	0.235
h	ʨʰ	0.2
h	ɦ	0.2
h	kʰ	0.2
²⁴	²³	0.19
e	ə	0.188
e	-	0.188
ŋ	ɑ̃	0.182
m	n	0.182
f	ɦ	0.182
f	h	0.182
u	u	0.176
a	e	0.158
n	-	0.15
²	¹²	0.136
³¹	²³	0.13
s	ɕ	0.125
o	w	0.125
e	ɥ	0.125
e	o	0.125
e	j	0.125
u	-	0.118
a	-	0.105
n	ø	0.1
j	i	0.1
i	j_ɪ	0.1
i	-	0.1
²	⁵	0.091
u	ɜ	0.088
u	ɤ	0.059
