West Frisian	Alsatian	probability
b	b̥	0.911
b	-	0.089
d	t	0.543
d	d̥	0.457
f	f	1.0
h	h	0.979
j	-	0.622
j	ˈeː	0.148
j	ˈiː	0.141
j	j	0.089
k	ʃ	0.433
k	kʰ	0.227
k	x	0.129
k	k	0.082
k	-	0.072
k	ɡ̊	0.057
l	l	0.989
m	m	0.927
m	-	0.073
n	n	0.905
n	-	0.063
p	f	0.839
p	p	0.102
p	p͡f	0.059
r	ʁ	0.969
s	ʃ	0.545
s	s	0.417
t	t	0.395
t	s	0.327
t	ʦ	0.204
t	d̥	0.073
v	ʋ	0.398
v	w	0.263
v	-	0.244
v	v	0.059
z	v	0.924
z	s	0.076
ŋ	ŋ	0.932
ŋ	n	0.068
ɕ	s	1.0
ə	ə	0.776
ə	-	0.144
ɡ	ɡ̊	1.0
ɣ	k	0.754
ɣ	ɡ̊	0.181
ɣ	-	0.065
ɪ	i	1.0
ʋ	ʋ	1.0
ʦ	kʰ	0.752
ʦ	ʦ	0.248
ˈa	ˈɒ	0.722
ˈa	ˈɒː	0.127
ˈa	ˈeː	0.109
ˈaː	ˈæ	0.365
ˈaː	ˈɒ	0.218
ˈaː	ˈəi̯	0.19
ˈaː	ˈoː	0.09
ˈaː	ˈɒː	0.087
ˈaː	ˈe	0.05
ˈeː	ˈæː	0.52
ˈeː	ˈi	0.276
ˈeː	ˈoː	0.118
ˈeː	ˈæ	0.068
ˈi	ˈi	0.633
ˈi	ˈeː	0.155
ˈi	ˈəi̯	0.083
ˈi	ˈæ	0.072
ˈi	ˈiː	0.058
ˈiə̯	ˈoː	0.273
ˈiə̯	ˈəi̯	0.24
ˈiə̯	ˈeː	0.174
ˈiə̯	ˈiː	0.155
ˈiə̯	ˈæː	0.11
ˈiː	ˈɒː	0.348
ˈiː	ˈiː	0.219
ˈiː	ˈi	0.199
ˈiː	ˈəi̯	0.124
ˈiː	ˈæː	0.111
ˈoə̯	ˈo_ʁ	0.429
ˈoə̯	ˈoː	0.325
ˈoə̯	ə	0.092
ˈoə̯	ˈu	0.06
ˈoə̯	ˈɒː	0.055
ˈoː	ˈʊː	1.0
ˈu	ˈu	0.689
ˈu	ˈø	0.311
ˈuə̯	ˈʊː	0.499
ˈuə̯	ˈøː	0.212
ˈuə̯	ˈo	0.202
ˈuə̯	ˈɒ	0.087
ˈuː	ˈyː	0.461
ˈuː	ˈu	0.163
ˈuː	ˈoː	0.101
ˈuː	-	0.082
ˈuː	ˈøi̯	0.075
ˈy	ˈu	1.0
ˈyː	ˈyː	0.415
ˈyː	ˈi	0.368
ˈyː	ˈu	0.217
ˈø	w	0.5
ˈø	ˈoː	0.5
ˈøə̯	ˈi	1.0
ˈɔ	ˈu	0.452
ˈɔ	ˈo	0.321
ˈɔ	ˈi	0.169
ˈɔ	ˈoː	0.058
ˈɔu̯	ˈiː	1.0
ˈɔː	ˈɒ	0.656
ˈɔː	ˈɒ_l	0.181
ˈɔː	ˈi	0.164
ˈɛ	ˈei̯	0.333
ˈɛ	ˈe	0.271
ˈɛ	-	0.147
ˈɛ	ˈæ	0.123
ˈɛ	ˈʊː	0.058
ˈɛi̯	ˈɒ	0.351
ˈɛi̯	j	0.31
ˈɛi̯	ˈɒː	0.102
ˈɛi̯	ˈaː	0.087
ˈɛi̯	ˈe	0.087
ˈɛi̯	ˈəi̯	0.062
ˈɛː	ˈɒ	0.308
ˈɛː	ˈɒː	0.308
ˈɛː	ˈu	0.192
ˈɛː	ˈəi̯	0.192
ˈɪ	ˈi	0.495
ˈɪ	ˈe	0.18
ˈɪ	-	0.171
ˈɪ	ˈu	0.071
ˈɪə̯	ˈoː	0.28
ˈɪə̯	ˈʊː	0.255
ˈɪə̯	ˈæː	0.135
ˈɪə̯	ˈɛ	0.135
ˈɪə̯	j	0.062
ˈɪə̯	ˈeː	0.057
ˈɵ	ˈiː	1.0
χ	x	0.452
χ	ʃ	0.209
χ	-	0.183
χ	k	0.156
